Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches


Hendrik Bonmann,de GER,GK,Wolfsberger AC,29,1994,24,24,"2,160",24.0,32,1.33,98,69,69.4,8,7,9,4,16.7,3,2,1,0,33.3,Matches
Alexander Eckmayr,at AUT,GK,SCR Altach,24,1999,1,1,90,1.0,2,2.00,3,1,33.3,0,1,0,0,0.0,0,0,0,0,,Matches
Christian Früchtl,de GER,GK,Austria Wien,23,2000,29,29,"2,610",29.0,29,1.00,86,65,72.1,10,10,9,12,41.4,8,5,3,0,37.5,Matches
Lukas Gütlbauer,at AUT,GK,Wolfsberger AC,22,2000,8,8,720,8.0,6,0.75,37,31,83.8,4,3,1,2,25.0,0,0,0,0,,Matches
Niklas Hedl,at AUT,GK,Rapid Wien,22,2001,32,32,"2,880",32.0,35,1.09,104,70,68.3,11,12,9,8,25.0,2,2,0,0,0.0,Matches
Timo Horn,de GER,GK,RB Salzburg,30,1993,3,3,270,3.0,4,1.33,7,4,57.1,2,0,1,0,0.0,1,1,0,0,0.0,Matches
Vitezslav Jaros,cz CZE,GK,Sturm Graz,22,2001,14,14,"1,260",14.0,11,0.79,41,31,75.6,7,6,1,3,21.4,1,1,0,0,0.0,Matches
Marco Knaller,at AUT,GK,SK Austria Klagenfurt,36,1987,1,1,90,1.0,2,2.00,6,4,66.7,0,1,0,0,0.0,0,0,0,0,,Matches
Mirko Kos,at AUT,GK,Austria Wien,26,1997,3,3,270,3.0,5,1.67,17,12,70.6,2,0,1,0,0.0,0,0,0,0,,Matches
Tobias Lawal,at AUT,GK,LASK,23,2000,32,32,"2,880",32.0,33,1.03,107,77,72.0,14,10,8,12,37.5,4,3,1,0,25.0,Matches
Andreas Lukse,at AUT,GK,Blau-Weiß Linz,35,1987,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches
Nico Mantl,de GER,GK,RB Salzburg,23,2000,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,,Matches
Luka Marić,at AUT,GK,Sturm Graz,21,2002,2,2,180,2.0,0,0.00,5,5,100.0,2,0,0,1,50.0,0,0,0,0,,Matches
Phillip Menzel,de GER,GK,SK Austria Klagenfurt,24,1998,31,31,"2,790",31.0,47,1.52,138,92,66.7,9,11,11,8,25.8,1,1,0,0,0.0,Matches
Benjamin Ozegovic,at AUT,GK,WSG Tirol,23,1999,1,0,39,0.4,1,2.31,1,0,0.0,0,0,0,0,,0,0,0,0,,Matches
Raphael Sallinger,at AUT,GK,Hartberg,27,1995,32,32,"2,880",32.0,51,1.59,135,90,65.9,12,9,11,8,25.0,6,5,1,0,16.7,Matches
Paul Schermer,at AUT,GK,WSG Tirol,19,2004,1,0,10,0.1,1,9.00,1,0,0.0,0,0,0,0,,0,0,0,0,,Matches
Kjell Scherpen,nl NED,GK,Sturm Graz,23,2000,16,16,"1,440",16.0,12,0.75,51,41,78.4,10,4,2,7,43.8,2,1,1,0,50.0,Matches
Domenik Schierl,at AUT,GK,SC Austria Lustenau,29,1994,31,31,"2,790",31.0,56,1.81,158,111,68.4,4,8,19,5,16.1,9,6,3,0,33.3,Matches
Alexander Schlager,at AUT,GK,RB Salzburg,27,1996,28,28,"2,520",28.0,24,0.86,73,54,72.6,18,7,3,13,46.4,5,4,1,0,20.0,Matches
Nicolas Schmid,at AUT,GK,Blau-Weiß Linz,26,1997,31,31,"2,790",31.0,47,1.52,134,92,68.7,7,11,13,8,25.8,6,5,1,0,16.7,Matches
Tobias Schützenauer,at AUT,GK,SCR Altach,26,1997,6,5,517,5.7,9,1.57,14,7,50.0,1,1,3,1,20.0,2,2,0,0,0.0,Matches
Adam Stejskal,cz CZE,GK,WSG Tirol,20,2002,32,32,"2,829",31.4,53,1.69,140,91,64.3,7,5,20,2,6.3,4,3,1,0,25.0,Matches
Dejan Stojanović,at AUT,GK,SCR Altach,30,1993,26,26,"2,273",25.3,29,1.15,102,73,72.5,5,11,10,8,30.8,1,1,0,0,0.0,Matches
Simon Täubl,at AUT,GK,SC Austria Lustenau,18,2005,1,1,90,1.0,0,0.00,0,0,,0,1,0,0,0.0,0,0,0,0,,Matches

