Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Andrea Barberis,it ITA,MF,Monza,28,1993,3.8,7,2,4,3,0,5,11,45.5,6,0,0,0,8,15,1,0,Matches
Tommaso Barbieri,it ITA,DF,Juventus,19,2002,1.2,3,3,3,0,0,3,8,37.5,5,3,0,3,0,3,2,0,Matches
Francesco Bardi,it ITA,GK,Bologna,30,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Nicolò Barella,it ITA,MF,Inter,25,1997,29.0,49,25,17,26,6,28,53,52.8,25,29,5,24,12,61,12,0,Matches
Enzo Barrenechea,ar ARG,MF,Juventus,21,2001,1.8,8,3,3,4,1,3,5,60.0,2,3,0,3,2,10,3,0,Matches
Musa Barrow,gm GAM,"FW,MF",Bologna,23,1998,21.8,21,4,10,6,5,8,14,57.1,6,25,1,24,1,22,7,0,Matches
Federico Baschirotto,it ITA,DF,Lecce,25,1996,37.0,40,30,35,5,0,22,36,61.1,14,45,29,16,36,76,192,0,Matches
Toma Bašić,hr CRO,MF,Lazio,25,1996,5.7,6,4,4,1,1,3,8,37.5,5,9,0,9,7,13,8,0,Matches

Alberto Basso,it ITA,MF,Cremonese,18,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Alessandro Bastoni,it ITA,DF,Inter,23,1999,24.0,41,20,20,14,7,11,27,40.7,16,27,13,14,24,65,45,0,Matches
Simone Bastoni,it ITA,"MF,DF",Spezia,25,1996,13.2,47,24,23,19,5,15,33,45.5,18,20,5,15,8,55,14,0,Matches
Brian Bayeye,cd COD,DF,Torino,22,2000,0.7,3,0,3,0,0,1,1,100.0,0,1,1,0,1,4,2,0,Matches
Rodrigo Becão,br BRA,DF,Udinese,26,1996,27.6,70,36,50,17,3,40,53,75.5,13,44,24,20,26,96,68,2,Matches
Julius Beck,dk DEN,MF,Spezia,17,2005,0.1,2,1,1,1,0,0,0,,0,0,0,0,0,2,0,0,Matches
Raoul Bellanova,it ITA,DF,Inter,22,2000,5.5,14,6,11,2,1,9,14,64.3,5,6,1,5,4,18,14,0,Matches
Andrea Belotti,it ITA,FW,Roma,28,1993,12.7,12,5,3,5,4,5,11,45.5,6,11,1,10,3,15,5,0,Matches
Marco Benassi,it ITA,DF,Fiorentina,27,1994,1.0,3,3,2,0,1,3,4,75.0,1,0,0,0,1,4,1,0,Matches
Marco Benassi,it ITA,MF,Cremonese,27,1994,11.1,26,15,9,11,6,15,24,62.5,9,13,1,12,12,38,19,0,Matches
Ismaël Bennacer,dz ALG,MF,Milan,24,1997,22.3,59,33,26,31,2,30,51,58.8,21,25,7,18,26,85,16,1,Matches
Domenico Berardi,it ITA,FW,Sassuolo,27,1994,20.7,23,14,8,10,5,9,40,22.5,31,13,0,13,19,42,18,0,Matches
Bartosz Bereszyński,pl POL,DF,Sampdoria,30,1992,13.3,28,18,15,11,2,17,26,65.4,9,18,4,14,21,49,25,0,Matches
Bartosz Bereszyński,pl POL,DF,Napoli,30,1992,1.8,3,2,1,1,1,2,2,100.0,0,4,0,4,3,6,3,0,Matches
