Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Fredrik Aursnes,no NOR,"FW,MF",Benfica,26,1995,23.9,41,29,14,20,7,27,52,51.9,25,18,1,17,32,73,14,0,Matches
Matheus Babi,br BRA,FW,Santa Clara,25,1997,15.1,17,11,1,11,5,9,26,34.6,17,18,3,15,2,19,20,0,Matches
Miguel Baeza,es ESP,"MF,FW",Rio Ave,22,2000,12.0,10,7,2,6,2,3,10,30.0,7,11,2,9,7,17,11,0,Matches
Alexander Bah,dk DEN,DF,Benfica,24,1997,20.9,59,34,25,28,6,28,47,59.6,19,33,5,28,36,95,29,1,Matches
Jason Bahamboula,cg CGO,MF,Vitória,21,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Ibrahima Bamba,ci CIV,"DF,MF",Vitória,20,2002,25.8,63,38,41,21,1,36,46,78.3,10,45,23,22,36,99,126,0,Matches
Daniel Bandeira,pt POR,MF,Vitória,22,2000,18.3,44,27,21,17,6,20,39,51.3,19,18,4,14,24,68,25,0,Matches
Simon Banza,cd COD,FW,Braga,25,1996,16.1,17,10,4,6,7,6,15,40.0,9,7,0,7,2,19,14,0,Matches

Romário Baró,pt POR,"MF,FW",Casa Pia,22,2000,10.4,20,10,8,10,2,11,20,55.0,9,11,1,10,10,30,5,0,Matches
Luís Bastos,pt POR,DF,Paços,20,2001,4.1,10,2,8,2,0,8,16,50.0,8,4,0,4,3,13,11,0,Matches
Gabriel Batista,br BRA,GK,Santa Clara,24,1998,26.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,13,0,Matches
Ricardo Batista,pt POR,GK,Casa Pia,35,1986,31.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,18,1,Matches
Dylan Batubinsika,cd COD,DF,Famalicão,26,1996,2.0,6,2,5,1,0,2,2,100.0,0,3,3,0,4,10,8,0,Matches
Batxi,ao ANG,"FW,MF",Chaves,24,1998,3.6,5,3,1,3,1,3,4,75.0,1,1,1,0,1,6,1,0,Matches
Clésio Baúque,mz MOZ,"MF,DF",Marítimo,27,1994,0.7,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Héctor Bellerín,es ESP,"DF,MF",Sporting CP,27,1995,4.9,9,6,5,3,1,5,9,55.6,4,4,0,4,3,12,7,0,Matches
Stefano Beltrame,it ITA,MF,Marítimo,29,1993,11.7,11,6,4,7,0,5,13,38.5,8,14,3,11,7,18,4,1,Matches
Gilson Benchimol,cv CPV,FW,Estoril,20,2001,3.4,6,3,2,2,2,2,3,66.7,1,1,0,1,0,6,6,0,Matches
Beni,ao ANG,MF,Casa Pia,20,2002,10.4,31,19,12,17,2,17,35,48.6,18,7,2,5,15,46,8,0,Matches
Benny,pt POR,"FW,MF",Chaves,22,2000,13.6,14,8,6,5,3,6,16,37.5,10,16,0,16,4,18,11,0,Matches
Berna,ao ANG,MF,Boavista,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Paulo Bernardo,pt POR,MF,Paços,20,2002,8.4,28,12,9,14,5,14,26,53.8,12,7,0,7,6,34,7,1,Matches
Celton Biai,pt POR,GK,Vitória,21,2000,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Pedro Bicalho,br BRA,"MF,FW",Santa Clara,21,2001,2.1,4,3,1,3,0,3,6,50.0,3,2,0,2,5,9,1,0,Matches
Emmanuel Boateng,gh GHA,"FW,MF",Rio Ave,26,1996,20.7,12,6,5,4,3,4,9,44.4,5,10,1,9,4,16,11,0,Matches
Kennedy Boateng,tg TOG,DF,Santa Clara,25,1996,25.7,41,30,27,11,3,16,29,55.2,13,25,16,9,34,75,136,1,Matches
Victor Bobsin,br BRA,MF,Santa Clara,22,2000,17.9,27,19,12,14,1,16,39,41.0,23,18,7,11,24,51,27,0,Matches
Bolgado,br BRA,DF,Casa Pia,23,1998,5.4,12,6,6,5,1,6,8,75.0,2,9,5,4,9,21,36,0,Matches
Kiko Bondoso,pt POR,"FW,MF",Vizela,26,1995,31.6,35,21,11,15,9,19,44,43.2,25,20,1,19,12,47,7,1,Matches
Gonçalo Borges,pt POR,"FW,MF",Porto,21,2001,1.3,3,3,2,1,0,2,2,100.0,0,1,0,1,0,3,1,0,Matches
Cristian Borja,co COL,DF,Braga,29,1993,7.6,20,14,13,4,3,10,15,66.7,5,10,4,6,11,31,25,0,Matches
Róbert Boženík,sk SVK,FW,Boavista,22,1999,10.8,9,3,1,6,2,3,10,30.0,7,3,0,3,0,9,2,0,Matches
Rafael Bracalli,br BRA,GK,Boavista,41,1981,28.0,2,1,2,0,0,1,2,50.0,1,0,0,0,2,4,10,0,Matches

Pedro Brazão,pt POR,"MF,FW",Famalicão,19,2002,3.4,5,2,1,4,0,2,5,40.0,3,9,0,9,1,6,3,0,Matches
Yan Brice Eteki,cm CMR,MF,Casa Pia,24,1997,6.6,22,11,10,11,1,11,23,47.8,12,8,1,7,6,28,9,0,Matches
Rafael Brito,pt POR,"MF,DF",Marítimo,20,2002,7.1,22,11,7,13,2,13,23,56.5,10,12,3,9,10,32,8,0,Matches
John Brooks,us USA,"MF,DF",Benfica,29,1993,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Bruma,pt POR,"MF,FW",Braga,27,1994,11.3,23,15,9,8,6,11,21,52.4,10,10,0,10,8,31,6,0,Matches
Bruninho,br BRA,FW,Arouca,23,1999,2.5,6,2,1,5,0,3,7,42.9,4,6,0,6,4,10,1,0,Matches
Matheus Bueno,br BRA,MF,Gil Vicente FC,24,1998,6.2,9,5,5,4,0,7,13,53.8,6,5,3,2,6,15,2,0,Matches
André Bukia,cd COD,"FW,MF",Arouca,27,1995,11.4,11,6,4,6,1,6,16,37.5,10,8,0,8,4,15,1,0,Matches
Fabijan Buntić,hr CRO,GK,Vizela,25,1997,33.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,19,2,Matches
Oriol Busquets,es ESP,MF,Arouca,23,1999,12.9,21,14,12,9,0,8,27,29.6,19,17,4,13,16,37,28,1,Matches
Adrián Butzke,es ESP,FW,Paços,23,1999,14.8,9,6,2,2,5,1,7,14.3,6,7,2,5,3,12,14,0,Matches
Jovane Cabral,cv CPV,MF,Sporting CP,24,1998,0.6,4,1,3,1,0,0,0,,0,1,0,1,0,4,0,0,Matches
Paulo Henrique Rodrigues Cabral,pt POR,DF,Santa Clara,25,1996,15.9,28,18,18,7,3,18,26,69.2,8,17,4,13,18,46,38,0,Matches
Jhonder Cádiz,ve VEN,FW,Famalicão,27,1995,14.7,6,5,2,2,2,2,9,22.2,7,4,2,2,3,9,22,0,Matches
Diogo Calila,pt POR,"DF,MF",Santa Clara,23,1998,7.2,15,10,6,8,1,8,11,72.7,3,4,0,4,9,24,11,1,Matches
Ibrahima Camará,gn GUI,MF,Boavista,23,1999,11.5,20,13,9,9,2,10,20,50.0,10,8,3,5,8,28,14,0,Matches
Francis Cann,gh GHA,FW,Vizela,24,1998,0.4,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0,Matches
Reggie Cannon,us USA,DF,Boavista,24,1998,25.7,46,29,36,9,1,25,40,62.5,15,27,14,13,59,105,93,0,Matches
Fábio Cardoso,pt POR,DF,Porto,28,1994,13.7,7,3,4,2,1,3,7,42.9,4,8,5,3,12,19,47,0,Matches
Felippe Cardoso,br BRA,FW,Casa Pia,23,1998,5.6,2,1,0,1,1,2,6,33.3,4,1,0,1,2,4,7,0,Matches
Yago Cariello,br BRA,FW,Portimonense,23,1999,15.2,11,6,2,4,5,5,14,35.7,9,14,1,13,2,13,18,0,Matches
Carlinhos,br BRA,MF,Portimonense,28,1994,7.6,11,9,3,5,3,7,11,63.6,4,8,2,6,1,12,5,0,Matches
João Carlos,br BRA,FW,Estoril,27,1995,7.9,2,2,0,1,1,1,5,20.0,4,8,1,7,2,4,9,0,Matches
Luíz Carlos,br BRA,MF,Paços,37,1985,12.6,26,15,14,10,2,15,24,62.5,9,21,3,18,7,33,13,1,Matches
José Carlos Marafona,pt POR,GK,Paços,35,1987,15.8,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,4,2,Matches

Zé Carlos,pt POR,"MF,DF",Vitória,20,2001,9.5,27,12,19,5,3,15,29,51.7,14,17,1,16,20,47,15,0,Matches
Zé Carlos,pt POR,DF,Gil Vicente FC,24,1998,4.4,5,5,2,3,0,5,14,35.7,9,1,0,1,10,15,10,0,Matches
David Carmo,ao ANG,DF,Porto,23,1999,7.1,5,3,2,3,0,3,4,75.0,1,8,4,4,10,15,25,0,Matches
Marcelo Carné,br BRA,GK,Marítimo,32,1990,14.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,0,Matches
Carraça,pt POR,DF,Gil Vicente FC,29,1993,20.6,32,22,21,9,2,23,38,60.5,15,15,7,8,17,49,39,0,Matches
Anderson Carvalho,br BRA,MF,Santa Clara,32,1990,5.5,19,8,5,12,2,8,19,42.1,11,3,0,3,6,25,13,0,Matches
João Carvalho,pt POR,MF,Estoril,25,1997,25.6,53,33,24,26,3,25,53,47.2,28,34,10,24,16,69,12,2,Matches
Vitor Carvalho,br BRA,MF,Gil Vicente FC,25,1997,30.0,83,45,40,38,5,40,64,62.5,24,26,8,18,43,126,48,0,Matches
Cassiano,br BRA,FW,Estoril,33,1989,10.0,16,10,4,6,6,6,13,46.2,7,9,1,8,1,17,6,0,Matches
Moises Castillo,co COL,DF,Marítimo,21,2001,17.5,49,36,41,8,0,29,34,85.3,5,16,4,12,47,96,72,1,Matches
André Castro,pt POR,MF,Braga,34,1988,6.9,18,12,8,8,2,6,15,40.0,9,6,2,4,7,25,6,0,Matches
Geny Catamo,mz MOZ,"FW,MF",Marítimo,21,2001,3.8,6,2,0,3,3,2,4,50.0,2,4,0,4,2,8,1,0,Matches
