Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches


Yunis Abdelhamid,ma MAR,DF,Reims,34,1987,37.0,82,50,47,33,2,39,52,75.0,13,65,27,38,64,146,116,1,Matches
Himad Abdelli,dz ALG,"MF,FW",Angers,22,1999,23.7,64,38,22,32,10,31,67,46.3,36,30,1,29,28,92,15,0,Matches
Salis Abdul Samed,gh GHA,MF,Lens,22,2000,32.2,46,26,18,23,5,29,52,55.8,23,38,9,29,36,82,26,0,Matches
Laurent Abergel,fr FRA,MF,Lorient,29,1993,26.0,92,52,59,30,3,39,92,42.4,53,47,8,39,34,126,39,0,Matches
Matthis Abline,fr FRA,"FW,MF",Auxerre,19,2003,9.0,4,2,0,3,1,0,5,0.0,5,6,1,5,1,5,1,0,Matches
Matthis Abline,fr FRA,"FW,MF",Rennes,19,2003,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0,Matches
Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,22,2000,27.5,33,23,13,9,11,14,45,31.1,31,18,1,17,22,55,23,0,Matches
Mohamed Achi,fr FRA,FW,Nantes,20,2002,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Martin Adeline,fr FRA,"MF,FW",Reims,18,2003,1.2,3,3,2,1,0,3,4,75.0,1,3,1,2,3,6,3,0,Matches
Emmanuel Agbadou,ci CIV,DF,Reims,25,1997,26.5,71,49,53,16,2,42,65,64.6,23,30,14,16,32,103,107,3,Matches
Lucien Agoume,fr FRA,MF,Troyes,20,2002,12.2,42,25,18,15,9,17,33,51.5,16,14,5,9,27,69,24,0,Matches
Ruben Aguilar,fr FRA,DF,Monaco,29,1993,13.0,19,9,7,7,5,8,22,36.4,14,13,1,12,18,37,28,1,Matches
Amar Ahmed,se SWE,FW,Troyes,18,2004,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,28,1994,14.4,34,20,10,20,4,12,31,38.7,19,25,0,25,24,58,15,0,Matches
Ludovic Ajorque,fr FRA,FW,Strasbourg,28,1994,8.6,5,4,1,4,0,3,9,33.3,6,3,1,2,2,7,7,0,Matches
Maghnes Akliouche,fr FRA,"MF,FW",Monaco,20,2002,4.5,7,4,4,3,0,2,8,25.0,6,2,0,2,3,10,2,0,Matches
Doğan Alemdar,tr TUR,GK,Rennes,19,2002,4.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Jim Allevinah,ga GAB,"DF,FW",Clermont Foot,27,1995,24.9,39,24,24,11,4,19,62,30.6,43,24,2,22,24,63,26,1,Matches
Mickaël Alphonse,gp GLP,DF,Ajaccio,33,1989,15.1,35,23,20,11,4,20,33,60.6,13,17,5,12,35,70,44,1,Matches
