Player,Nation,Position,Squad,Age,Year of birth,90s Played,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Passes Blocked,Interceptions,Tkl+Int,Clearances,Errors,Matches
Ibrahim Amadou,fr FRA,"DF,MF",Metz,28,1993,9.0,16,8,10,6,0,8,15,53.3,7,4,2,2,14,30,26,0,Matches
Jordan Amavi,fr FRA,DF,Nice,27,1994,4.6,16,10,8,7,1,10,17,58.8,7,3,1,2,15,31,7,0,Matches
Jordan Amavi,fr FRA,"DF,FW",Marseille,27,1994,1.4,6,5,3,1,2,5,10,50.0,5,1,0,1,1,7,3,0,Matches
Benjamin André,fr FRA,MF,Lille,30,1990,30.6,123,69,49,65,9,51,113,45.1,62,49,11,38,50,173,56,0,Matches
Houssem Aouar,dz ALG,"MF,FW",Lyon,23,1998,27.8,46,30,9,25,12,27,54,50.0,27,26,1,25,20,66,5,0,Matches

Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,19,2002,12.0,13,6,5,5,3,5,33,15.2,28,18,1,17,17,30,4,0,Matches
Dennis Appiah,fr FRA,DF,Nantes,29,1992,23.3,55,34,35,18,2,28,48,58.3,20,30,13,17,27,82,74,0,Matches
Lorenz Assignon,tg TOG,DF,Rennes,21,2000,6.8,15,10,11,3,1,5,9,55.6,4,3,1,2,11,26,19,0,Matches
Youcef Atal,dz ALG,DF,Nice,25,1996,12.7,29,19,17,10,2,14,25,56.0,11,13,2,11,32,61,21,0,Matches
Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,24,1997,0.9,1,0,0,0,1,0,3,0.0,3,1,0,1,0,1,0,0,Matches
Karim Azamoum,fr FRA,DF,Troyes,31,1990,4.3,6,5,4,2,0,3,5,60.0,2,4,2,2,1,7,10,0,Matches
Loïc Bade,fr FRA,DF,Rennes,21,2000,10.9,6,5,4,2,0,3,5,60.0,2,12,10,2,12,18,48,0,Matches
Benoît Badiashile,fr FRA,DF,Monaco,20,2001,20.4,36,19,21,15,0,14,23,60.9,9,18,12,6,28,64,68,1,Matches
Youssouph Badji,sn SEN,"FW,MF",Brest,19,2001,1.5,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,Matches
Stéphane Bahoken,cm CMR,FW,Angers,29,1992,12.2,13,8,2,7,4,1,9,11.1,8,15,0,15,3,16,3,0,Matches
Dénys Bain,fr FRA,DF,Brest,28,1993,2.0,3,3,1,2,0,1,1,100.0,0,3,1,2,3,6,5,0,Matches
Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Cédric Bakambu,cd COD,FW,Marseille,30,1991,4.0,2,0,1,0,1,0,3,0.0,3,2,0,2,0,2,1,0,Matches
Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,18,2002,3.4,15,9,13,2,0,8,12,66.7,4,5,4,1,12,27,15,0,Matches
Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18,2002,0.5,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
Ibrahima Baldé,fr FRA,"FW,MF",Lens,18,2003,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Leonardo Balerdi,ar ARG,DF,Marseille,22,1999,10.6,9,6,9,0,0,5,14,35.7,9,11,4,7,19,28,30,0,Matches
Abdoulaye Bamba,ci CIV,"DF,FW",Angers,31,1990,5.1,6,5,6,0,0,4,11,36.4,7,5,1,4,9,15,13,0,Matches
Jonathan Bamba,ci CIV,"MF,FW",Lille,25,1996,27.0,30,12,13,9,8,13,36,36.1,23,24,1,23,21,51,10,0,Matches
Simon Banza,cd COD,FW,Lens,24,1996,1.4,2,1,0,0,2,0,2,0.0,2,1,0,1,1,3,2,0,Matches
Danilo Barbosa,br BRA,DF,Nice,25,1996,1.0,0,0,0,0,0,0,0,,0,1,1,0,2,2,10,0,Matches
Bradley Barcola,fr FRA,"FW,MF",Lyon,18,2002,2.9,7,4,2,3,2,1,8,12.5,7,7,1,6,2,9,1,0,Matches
Melvin Bard,fr FRA,DF,Nice,20,2000,28.8,59,37,38,17,4,41,63,65.1,22,33,10,23,51,110,56,0,Matches
Toma Bašić,hr CRO,MF,Bordeaux,24,1996,2.3,2,2,1,0,1,0,4,0.0,4,4,1,3,2,4,0,0,Matches
Amine Bassi,fr FRA,"MF,FW",Metz,23,1997,2.0,6,3,2,3,1,1,3,33.3,2,5,0,5,0,6,0,0,Matches

Paul Baysse,fr FRA,"MF,DF",Bordeaux,33,1988,0.1,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
Youcef Belaïli,dz ALG,"MF,FW",Brest,29,1992,9.2,2,1,0,0,2,2,9,22.2,7,5,1,4,7,9,4,0,Matches
Haris Belkebla,dz ALG,MF,Brest,27,1994,25.7,46,23,21,21,4,18,39,46.2,21,26,6,20,48,94,30,1,Matches
Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23,1998,25.9,51,32,21,21,9,17,41,41.5,24,29,4,25,27,78,19,0,Matches
Jeanuël Belocian,fr FRA,DF,Rennes,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Hatem Ben Arfa,fr FRA,"FW,MF",Lille,34,1987,3.5,4,2,2,1,1,2,4,50.0,2,3,0,3,0,4,1,0,Matches
Salim Ben Seghir,fr FRA,MF,Marseille,18,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,28.1,18,8,1,11,6,6,15,40.0,9,12,1,11,0,18,1,0,Matches
Darío Benedetto,ar ARG,"FW,MF",Marseille,31,1990,0.6,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
Walter Benítez,ar ARG,GK,Nice,28,1993,37.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,12,2,Matches
Loris Benito,ch SUI,DF,Bordeaux,29,1992,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,Matches
Nabil Bentaleb,dz ALG,MF,Angers,26,1994,16.8,42,24,15,20,7,16,29,55.2,13,24,9,15,28,70,13,0,Matches
Patrick Berg,no NOR,MF,Lens,23,1997,3.4,14,6,6,8,0,0,4,0.0,4,2,1,1,4,18,3,0,Matches
Mitchell van Bergen,nl NED,"FW,MF",Reims,21,1999,10.9,8,5,7,0,1,6,15,40.0,9,9,0,9,4,12,7,0,Matches
Valon Berisha,xk KVX,"MF,FW",Reims,28,1993,5.1,10,7,2,5,3,2,10,20.0,8,9,0,9,4,14,3,0,Matches
Paul Bernardoni,fr FRA,GK,Angers,24,1997,13.0,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,8,1,Matches
Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,2,Matches
Juan Bernat,es ESP,"DF,MF",Paris S-G,28,1993,10.6,24,14,10,10,4,13,18,72.2,5,8,0,8,8,32,16,0,Matches
Dimitry Bertaud,cd COD,GK,Montpellier,23,1998,9.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,19.2,29,14,5,17,7,12,34,35.3,22,14,2,12,8,37,4,1,Matches
Giulian Biancone,fr FRA,"DF,MF",Troyes,21,2000,25.5,70,42,44,22,4,40,69,58.0,29,23,8,15,53,123,71,1,Matches
El Bilal Touré,ml MLI,FW,Reims,19,2001,13.3,13,6,4,6,3,2,7,28.6,5,10,3,7,6,19,19,0,Matches
Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,10.9,17,8,14,1,2,8,11,72.7,3,9,1,8,10,27,35,0,Matches
Nathan Bitumazala,fr FRA,DF,Paris S-G,18,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Marco Bizot,nl NED,GK,Brest,30,1991,38.0,3,1,3,0,0,3,5,60.0,2,1,0,1,0,3,24,1,Matches

Ludovic Blas,fr FRA,"MF,FW",Nantes,23,1997,32.9,33,18,7,20,6,15,44,34.1,29,33,3,30,31,64,6,1,Matches
Myron Boadu,nl NED,FW,Monaco,20,2001,10.7,9,7,2,3,4,1,5,20.0,4,6,0,6,2,11,1,0,Matches
Jérôme Boateng,de GER,DF,Lyon,32,1988,18.0,20,15,11,9,0,9,17,52.9,8,20,10,10,20,40,73,0,Matches
Antonin Bobichon,fr FRA,"MF,FW",Angers,25,1995,0.4,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0,Matches
Quentin Boisgard,fr FRA,"MF,FW",Lorient,24,1997,10.6,19,11,6,10,3,8,17,47.1,9,15,0,15,6,25,5,0,Matches
Charles Boli,fr FRA,"MF,DF",Lens,22,1998,0.4,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches
Sven Botman,nl NED,DF,Lille,21,2000,25.0,24,11,13,11,0,12,18,66.7,6,32,21,11,26,50,116,0,Matches
Denis Bouanga,ga GAB,"FW,MF",Saint-Étienne,26,1994,27.1,46,25,14,13,19,22,63,34.9,41,30,0,30,8,54,34,1,Matches
Hicham Boudaoui,dz ALG,MF,Nice,21,1999,18.0,31,18,15,10,6,13,36,36.1,23,17,4,13,18,49,15,0,Matches
Ryad Boudebouz,dz ALG,"MF,FW",Saint-Étienne,31,1990,25.0,27,15,11,12,4,12,29,41.4,17,17,2,15,10,37,5,0,Matches
Sofiane Boufal,ma MAR,"FW,MF",Angers,27,1993,25.9,44,29,19,16,9,18,38,47.4,20,19,2,17,7,51,1,0,Matches
Farid Boulaya,dz ALG,"MF,FW",Metz,28,1993,17.0,18,10,7,9,2,14,38,36.8,24,8,2,6,12,30,5,0,Matches
Ismaël Boura,km COM,DF,Lens,20,2000,1.1,2,2,1,1,0,0,0,,0,1,1,0,2,4,5,0,Matches
Benjamin Bourigeaud,fr FRA,"FW,MF",Rennes,27,1994,35.5,46,24,16,18,12,24,67,35.8,43,33,3,30,30,76,44,0,Matches
Redwan Bourles,fr FRA,"MF,FW",Lorient,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Domagoj Bradarić,hr CRO,DF,Lille,21,1999,4.6,11,9,8,2,1,7,12,58.3,5,5,2,3,10,21,7,1,Matches
Bilal Brahimi,dz ALG,MF,Nice,21,2000,4.2,1,1,0,1,0,0,2,0.0,2,1,0,1,2,3,1,0,Matches
Bilal Brahimi,dz ALG,FW,Angers,21,2000,3.8,1,1,0,1,0,0,3,0.0,3,0,0,0,1,2,1,0,Matches
Lilian Brassier,fr FRA,DF,Brest,21,1999,25.1,40,24,23,13,4,10,21,47.6,11,31,21,10,32,72,86,0,Matches
Jimmy Briand,fr FRA,"FW,MF",Bordeaux,35,1985,2.5,2,0,2,0,0,0,2,0.0,2,0,0,0,1,3,2,0,Matches
Dylan Bronn,tn TUN,DF,Metz,26,1995,28.3,47,29,33,13,1,20,31,64.5,11,32,19,13,40,87,78,1,Matches
Osman Bukari,gh GHA,"FW,MF",Nantes,22,1998,11.2,18,8,7,6,5,8,22,36.4,14,8,0,8,8,26,1,0,Matches
Maxime Busi,be BEL,DF,Reims,21,1999,14.4,26,15,20,5,1,19,36,52.8,17,19,5,14,17,43,28,0,Matches
Oriol Busquets,es ESP,MF,Clermont Foot,22,1999,2.2,3,3,0,3,0,2,6,33.3,4,7,4,3,1,4,2,0,Matches
Marcin Bułka,pl POL,GK,Nice,21,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches

Rémy Cabella,fr FRA,"MF,FW",Montpellier,31,1990,3.5,15,7,4,8,3,5,15,33.3,10,7,0,7,5,20,1,0,Matches
Jimmy Cabot,fr FRA,DF,Angers,27,1994,22.3,81,44,59,15,7,47,83,56.6,36,29,0,29,32,113,30,0,Matches
Anthony Caci,fr FRA,DF,Strasbourg,24,1997,26.6,65,34,35,24,6,33,55,60.0,22,22,3,19,33,98,49,1,Matches
Mathieu Cafaro,fr FRA,"MF,FW",Reims,24,1997,2.1,4,2,3,1,0,0,7,0.0,7,2,0,2,3,7,1,0,Matches
Yannick Cahuzac,fr FRA,MF,Lens,36,1985,6.9,5,2,2,3,0,0,5,0.0,5,8,2,6,9,14,12,0,Matches
Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,17.1,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,9,1,Matches
Jens Cajuste,se SWE,"MF,FW",Reims,21,1999,4.0,10,6,6,2,2,6,17,35.3,11,7,2,5,5,15,6,0,Matches
Duje Ćaleta-Car,hr CRO,DF,Marseille,24,1996,22.9,21,8,15,6,0,11,14,78.6,3,11,7,4,24,45,55,2,Matches
Lucas Calodat,fr FRA,DF,Saint-Étienne,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Mahdi Camara,fr FRA,"MF,DF",Saint-Étienne,23,1998,34.1,101,57,39,50,12,39,70,55.7,31,44,8,36,57,158,35,1,Matches
Mamadou Camara,ml MLI,FW,Troyes,20,2001,0.4,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
Eduardo Camavinga,fr FRA,MF,Rennes,18,2002,1.6,4,1,2,1,1,2,5,40.0,3,1,1,0,1,5,3,0,Matches
Fali Candé,gw GNB,DF,Metz,23,1998,10.8,30,18,13,15,2,13,31,41.9,18,11,2,9,6,36,21,0,Matches
Pierrick Capelle,fr FRA,"MF,DF",Angers,34,1987,13.3,36,24,16,17,3,18,52,34.6,34,12,1,11,16,52,20,0,Matches
Maxence Caqueret,fr FRA,MF,Lyon,21,2000,25.9,73,40,29,36,8,30,80,37.5,50,38,10,28,43,116,26,2,Matches
Irvin Cardona,fr FRA,"FW,MF",Brest,23,1997,14.8,13,7,5,4,4,3,16,18.8,13,10,0,10,5,18,17,0,Matches
Igor Carioca,br BRA,DF,Lorient,24,1996,17.5,27,16,16,8,3,15,43,34.9,28,17,2,15,25,52,28,0,Matches
Moreto Cassamã,gw GNB,MF,Reims,23,1998,8.9,12,6,7,4,1,3,19,15.8,16,10,5,5,9,21,5,0,Matches
Jean-Charles Castelletto,cm CMR,DF,Nantes,26,1995,27.9,45,24,27,17,1,25,35,71.4,10,38,27,11,30,75,73,0,Matches
Zeki Çelik,tr TUR,DF,Lille,24,1997,30.0,64,37,43,17,4,36,63,57.1,27,32,9,23,43,107,62,2,Matches
Fabien Centonze,fr FRA,DF,Metz,25,1996,17.6,33,21,22,9,2,13,32,40.6,19,37,8,29,32,65,51,0,Matches
El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Nassim Chadli,fr FRA,"MF,DF",Troyes,20,2001,1.1,5,3,3,0,2,2,4,50.0,2,1,0,1,0,5,0,0,Matches
Mehdi Chahiri,ma MAR,DF,Strasbourg,25,1996,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Dylan Chambost,fr FRA,"MF,FW",Troyes,23,1997,8.4,16,11,6,9,1,4,25,16.0,21,9,2,7,8,24,4,0,Matches

Brendan Chardonnet,fr FRA,DF,Brest,26,1994,29.8,44,25,32,11,1,29,40,72.5,11,42,29,13,55,99,141,0,Matches
Xavier Chavalerin,fr FRA,MF,Troyes,30,1991,30.2,49,26,19,25,5,12,55,21.8,43,32,5,27,39,88,36,0,Matches
Xavier Chavalerin,fr FRA,MF,Reims,30,1991,2.4,4,4,2,1,1,1,3,33.3,2,2,0,2,5,9,2,1,Matches
Rayan Cherki,fr FRA,"FW,MF",Lyon,17,2003,4.9,6,2,1,3,2,4,9,44.4,5,2,0,2,1,7,0,0,Matches
Pedro Chirivella,es ESP,MF,Nantes,24,1997,29.3,49,31,14,26,9,25,70,35.7,45,23,2,21,37,86,11,0,Matches
Joris Chotard,fr FRA,MF,Montpellier,19,2001,32.6,59,30,33,23,3,36,78,46.2,42,27,15,12,42,101,56,0,Matches
Alexis Claude-Maurice,fr FRA,MF,Nice,23,1998,2.3,2,0,1,0,1,1,4,25.0,3,7,0,7,3,5,1,0,Matches
Jonathan Clauss,fr FRA,DF,Lens,28,1992,33.8,63,34,33,20,10,22,55,40.0,33,43,1,42,73,136,51,0,Matches
Marcus Coco,fr FRA,"MF,FW",Nantes,25,1996,10.3,34,14,17,11,6,8,18,44.4,10,11,1,10,10,44,15,0,Matches
Abdu Conté,pt POR,DF,Troyes,23,1998,15.0,22,12,16,5,1,12,24,50.0,12,12,2,10,4,26,10,0,Matches
Sébastien Corchia,fr FRA,DF,Nantes,30,1990,14.7,33,20,17,11,5,24,42,57.1,18,24,3,21,13,46,36,0,Matches
Maxwel Cornet,ci CIV,DF,Lyon,24,1996,0.7,3,1,1,0,2,3,4,75.0,1,0,0,0,1,4,1,0,Matches
David Costa,pt POR,"MF,FW",Lens,20,2001,16.3,22,12,9,6,7,11,26,42.3,15,12,0,12,13,35,5,0,Matches
Benoît Costil,fr FRA,GK,Bordeaux,34,1987,25.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,6,3,Matches
Kalifa Coulibaly,ml MLI,FW,Nantes,29,1991,9.4,5,1,1,1,3,0,4,0.0,4,2,2,0,0,5,11,0,Matches
Nicolas Cozza,fr FRA,DF,Montpellier,22,1999,30.8,80,47,50,23,7,35,65,53.8,30,35,19,16,38,118,82,1,Matches
Enzo Crivelli,fr FRA,"FW,MF",Saint-Étienne,26,1995,1.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches
Wylan Cyprien,fr FRA,MF,Nantes,26,1995,16.6,33,17,12,18,3,13,32,40.6,19,16,6,10,10,43,14,2,Matches
Lucas Da Cunha,fr FRA,MF,Nice,20,2001,4.4,13,7,2,7,4,6,11,54.5,5,2,0,2,1,14,2,0,Matches
Lucas Da Cunha,fr FRA,"FW,MF",Clermont Foot,20,2001,9.3,17,11,5,8,4,9,18,50.0,9,13,0,13,1,18,3,0,Matches
Damien Da Silva,fr FRA,DF,Lyon,33,1988,12.5,13,9,7,5,1,5,9,55.6,4,15,10,5,22,35,53,1,Matches
Colin Dagba,fr FRA,DF,Paris S-G,22,1998,1.8,4,2,2,2,0,3,6,50.0,3,4,2,2,2,6,1,0,Matches
Flavius Daniliuc,at AUT,DF,Nice,20,2001,14.4,46,31,26,17,3,34,43,79.1,9,13,7,6,14,60,34,1,Matches
Kevin Danso,at AUT,DF,Lens,22,1998,31.0,41,29,29,12,0,23,34,67.6,11,38,25,13,40,81,111,0,Matches
Dante,br BRA,DF,Nice,37,1983,31.9,42,29,30,12,0,23,33,69.7,10,43,27,16,49,91,96,1,Matches

Jonathan David,ca CAN,FW,Lille,21,2000,31.2,24,9,7,11,6,9,30,30.0,21,14,4,10,5,29,15,0,Matches
Konrad De La Fuente,us USA,"FW,MF",Marseille,20,2001,8.7,11,7,8,2,1,7,11,63.6,4,5,0,5,2,13,4,0,Matches
Romain Del Castillo,fr FRA,"MF,FW",Rennes,25,1996,0.3,2,1,0,1,1,2,2,100.0,0,0,0,0,1,3,0,0,Matches
Romain Del Castillo,fr FRA,"MF,FW",Brest,25,1996,10.8,27,16,3,17,7,12,31,38.7,19,12,0,12,7,34,3,0,Matches
Thomas Delaine,fr FRA,DF,Metz,29,1992,25.7,48,35,34,12,2,22,42,52.4,20,20,7,13,27,75,31,0,Matches
Sacha Delaye,fr FRA,"MF,FW",Montpellier,19,2002,2.8,8,6,3,2,3,2,8,25.0,6,1,0,1,1,9,1,1,Matches
Andy Delort,dz ALG,FW,Nice,29,1991,27.2,15,9,3,5,7,7,12,58.3,5,13,4,9,9,24,14,0,Matches
Andy Delort,dz ALG,FW,Montpellier,29,1991,3.0,2,0,0,1,1,0,1,0.0,1,1,0,1,0,2,4,0,Matches
Moussa Dembélé,fr FRA,FW,Lyon,25,1996,24.5,18,9,5,5,8,6,15,40.0,9,13,0,13,8,26,30,1,Matches
Jason Denayer,be BEL,DF,Lyon,26,1995,11.1,11,4,8,3,0,6,7,85.7,1,8,7,1,16,27,52,0,Matches
Arthur Desmas,fr FRA,GK,Clermont Foot,27,1994,14.5,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,1,3,Matches
Ángel Di María,ar ARG,FW,Paris S-G,33,1988,18.3,29,18,6,13,10,14,37,37.8,23,17,0,17,6,35,3,0,Matches
Yadaly Diaby,gn GUI,"FW,MF",Clermont Foot,20,2000,0.7,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,2,0,Matches
Ibrahim Diakité,gn GUI,MF,Reims,17,2003,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Abdou Diallo,sn SEN,DF,Paris S-G,25,1996,9.7,22,14,10,9,3,8,14,57.1,6,6,2,4,10,32,19,1,Matches
Habib Diallo,sn SEN,FW,Strasbourg,26,1995,17.1,9,5,0,8,1,0,8,0.0,8,13,4,9,4,13,11,0,Matches
Habib Diarra,sn SEN,MF,Strasbourg,17,2004,1.2,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
Stéphane Diarra,fr FRA,"MF,FW",Lorient,22,1998,5.8,11,9,7,3,1,5,10,50.0,5,4,0,4,7,18,1,0,Matches
Krépin Diatta,sn SEN,"MF,DF",Monaco,22,1999,3.2,3,2,1,0,2,1,3,33.3,2,2,0,2,1,4,0,0,Matches
Bamba Dieng,sn SEN,FW,Marseille,21,2000,10.8,17,11,5,5,7,4,14,28.6,10,7,0,7,5,22,8,0,Matches
Elhadji Dieye,sn SEN,"FW,MF",Saint-Étienne,19,2002,0.4,3,2,2,1,0,0,1,0.0,1,2,0,2,1,4,0,0,Matches
Javairô Dilrosun,nl NED,"MF,FW",Bordeaux,23,1998,19.2,13,4,2,8,3,7,24,29.2,17,14,1,13,11,24,5,0,Matches
Junior Dina Ebimbe,fr FRA,MF,Paris S-G,20,2000,3.5,9,4,3,4,2,2,3,66.7,1,5,3,2,2,11,1,0,Matches
Tristan Dingomé,cm CMR,"MF,FW",Troyes,30,1991,12.0,23,11,10,12,1,10,18,55.6,8,7,1,6,9,32,3,0,Matches
Sinaly Diomande,ci CIV,DF,Lyon,20,2001,6.4,6,3,4,2,0,5,6,83.3,1,6,6,0,12,18,26,0,Matches

Sofiane Diop,fr FRA,"MF,FW",Monaco,21,2000,21.6,38,20,12,19,7,15,47,31.9,32,10,0,10,23,61,4,0,Matches
Andy Diouf,fr FRA,MF,Rennes,18,2003,0.2,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
Assane Dioussé,sn SEN,MF,Saint-Étienne,23,1997,0.3,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Axel Disasi,fr FRA,DF,Monaco,23,1998,30.2,42,27,20,21,1,23,39,59.0,16,40,30,10,26,68,75,0,Matches
Tiago Djaló,pt POR,DF,Lille,21,2000,25.9,60,39,39,19,2,26,39,66.7,13,26,10,16,24,84,71,0,Matches
Alexander Djiku,gh GHA,DF,Strasbourg,26,1994,29.9,50,37,33,13,4,18,35,51.4,17,30,13,17,61,111,90,2,Matches
Bryan Djile Nokoué,cm CMR,"DF,MF",Saint-Étienne,19,2002,0.6,3,3,1,2,0,2,2,100.0,0,1,0,1,1,4,2,0,Matches
Ouparine Djoco,gw GNB,GK,Clermont Foot,23,1998,23.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,2,Matches
Jeremy Doku,be BEL,"FW,MF",Rennes,19,2002,5.2,10,5,3,5,2,3,6,50.0,3,4,0,4,3,13,0,0,Matches
Kasper Dolberg,dk DEN,FW,Nice,23,1997,16.6,9,4,4,3,2,3,9,33.3,6,15,1,14,6,15,17,0,Matches
Brandon Domingues,fr FRA,"MF,FW",Troyes,21,2000,2.6,6,2,2,4,0,2,3,66.7,1,3,0,3,3,9,0,0,Matches
Anastasios Donis,gr GRE,"FW,MF",Reims,24,1996,4.1,8,7,4,2,2,2,6,33.3,4,3,0,3,0,8,1,0,Matches
Gianluigi Donnarumma,it ITA,GK,Paris S-G,22,1999,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,2,Matches
Jodel Dossou,bj BEN,FW,Clermont Foot,29,1992,22.3,36,17,15,14,7,15,43,34.9,28,14,0,14,5,41,7,0,Matches
Lohann Doucet,fr FRA,"MF,DF",Nantes,18,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
