nation_rank,nation_prev_rank,nation,confederation,points,season
167,167,Cuba,CONCACAF,979,2021_2022
168,171,Bermuda,CONCACAF,977,2021_2022
169,172,Malta,UEFA,975,2021_2022
170,157,Puerto Rico,CONCACAF,974,2021_2022
171,173,Grenada,CONCACAF,969,2021_2022
172,154,Guyana,CONCACAF,969,2021_2022
173,170,Saint Lucia,CONCACAF,966,2021_2022
174,180,Cambodia,AFC,954,2021_2022
175,183,Belize,CONCACAF,951,2021_2022
176,175,Nepal,AFC,950,2021_2022
177,152,Moldova,UEFA,945,2021_2022
178,176,Montserrat,CONCACAF,941,2021_2022
179,174,Saint Vincent and the Grenadines,CONCACAF,940,2021_2022
180,179,Mauritius,CAF,932,2021_2022
181,178,Chad,CAF,932,2021_2022
182,185,Macau,AFC,922,2021_2022
183,188,Laos,AFC,915,2021_2022
184,189,Mongolia,AFC,914,2021_2022
185,181,Dominica,CONCACAF,912,2021_2022
186,182,Bhutan,AFC,911,2021_2022
187,191,São Tomé and Príncipe,CAF,908,2021_2022
188,187,American Samoa,OFC,900,2021_2022
189,186,Cook Islands,OFC,899,2021_2022
190,190,Brunei,AFC,897,2021_2022
191,192,Samoa,OFC,894,2021_2022
192,184,Bangladesh,AFC,883,2021_2022
193,193,Djibouti,CAF,878,2021_2022
194,199,Liechtenstein,UEFA,874,2021_2022
195,197,Pakistan,AFC,867,2021_2022
196,195,Cayman Islands,CONCACAF,866,2021_2022
197,200,Tonga,OFC,862,2021_2022
198,201,Seychelles,CAF,860,2021_2022
199,196,Timor-Leste,AFC,860,2021_2022
200,198,Gibraltar,UEFA,857,2021_2022
202,194,Aruba,CONCACAF,855,2021_2022
203,203,Bahamas,CONCACAF,855,2021_2022
204,202,Somalia,CAF,855,2021_2022
205,204,Guam,AFC,838,2021_2022
206,206,Turks and Caicos Islands,CONCACAF,832,2021_2022
207,205,Sri Lanka,AFC,825,2021_2022
208,208,United States Virgin Islands,CONCACAF,824,2021_2022
209,207,British Virgin Islands,CONCACAF,809,2021_2022
210,209,Anguilla,CONCACAF,791,2021_2022
211,210,San Marino,UEFA,764,2021_2022
