squad,#_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
Chaves,31,34,10980,14227,77,211796,86357,4184,4888,85,5127,6081,84,1422,2490,57,17,26,27,-9,325,902,236,85,1209,Primeira_Liga,2022_2023
Estoril,33,34,11010,14168,77,219402,76986,3897,4564,85,5440,6286,86,1520,2731,55,26,22,22,3,246,787,181,58,1015,Primeira_Liga,2022_2023
Famalicão,33,34,11626,14900,78,224596,85561,4580,5278,86,5205,6128,84,1581,2771,57,31,29,25,1,323,785,218,90,1096,Primeira_Liga,2022_2023
Gil Vicente FC,32,34,13826,17360,79,253577,94737,5721,6490,88,6130,7106,86,1603,2806,57,19,29,30,-10,314,1053,259,71,1428,Primeira_Liga,2022_2023
Marítimo,39,34,10991,14487,75,216660,83688,3955,4640,85,5267,6174,85,1517,2886,52,21,29,24,-8,341,917,215,69,1199,Primeira_Liga,2022_2023
Paços,36,34,11264,14541,77,215792,83061,4582,5222,87,4878,5760,84,1564,2831,55,17,24,23,-7,292,802,204,85,1040,Primeira_Liga,2022_2023
Portimonense,35,34,11520,15159,76,222400,87088,4422,5207,84,5284,6215,85,1514,2857,53,15,27,26,-12,300,904,206,89,1072,Primeira_Liga,2022_2023
Porto,28,34,15093,18528,81,273118,97649,6720,7568,88,6202,7175,86,1794,2806,63,49,52,55,-3,391,1170,391,78,1624,Primeira_Liga,2022_2023
Rio Ave,30,34,12658,15875,79,239467,86039,4997,5663,88,5916,6818,86,1519,2678,56,29,26,25,2,280,910,197,82,1148,Primeira_Liga,2022_2023
Santa Clara,34,34,9314,12905,72,184185,77502,3691,4463,82,3939,4922,80,1446,2753,52,18,22,21,-4,245,737,168,53,919,Primeira_Liga,2022_2023
Sporting CP,32,34,17895,21201,84,315993,98694,7713,8503,90,8385,9316,90,1518,2507,60,51,50,44,0,414,1538,365,85,1847,Primeira_Liga,2022_2023
Vitória,34,34,11381,14815,76,210741,83755,4849,5624,86,4765,5685,83,1453,2643,55,25,24,24,0,271,927,196,72,1132,Primeira_Liga,2022_2023
Vizela,30,34,11045,14729,75,190235,80839,5318,6144,86,4250,5233,81,1110,2378,46,24,30,27,-6,295,908,244,60,1150,Primeira_Liga,2022_2023
Arsenal,26,38,18281,21969,83,310206,100635,8542,9478,90,7825,8821,88,1454,2548,57,64,53,46,10,443,1637,459,62,2049,Premier_League,2022_2023
Aston Villa,26,38,13782,17396,79,244073,87581,6111,6947,88,5979,6934,86,1345,2579,52,35,38,31,-3,318,964,268,80,1242,Premier_League,2022_2023
Bournemouth,31,38,11715,15381,76,206704,82672,5412,6278,86,4751,5644,84,1192,2491,47,24,28,26,-4,261,850,237,75,1006,Premier_League,2022_2023
Brentford,25,38,11317,15551,72,209962,87002,5142,6116,84,4475,5602,79,1438,2947,48,36,38,30,-2,284,922,279,87,1131,Premier_League,2022_2023
Brighton,29,38,19210,22888,83,319736,106474,9346,10305,90,7892,8919,88,1463,2462,59,46,52,44,-6,480,1459,391,78,1849,Premier_League,2022_2023
Chelsea,32,38,19147,22836,83,316440,104718,9510,10494,90,7700,8709,88,1461,2499,58,27,38,35,-11,376,1426,370,68,1737,Premier_League,2022_2023
Crystal Palace,26,38,13395,17308,77,238779,88389,6005,6901,87,5794,6772,85,1309,2751,47,29,29,23,0,316,1013,239,51,1243,Premier_League,2022_2023
Everton,28,38,11790,15783,74,214056,82478,5336,6174,86,4771,5750,83,1366,2947,46,24,32,26,-8,308,964,224,67,1052,Premier_League,2022_2023
Fulham,29,38,13974,18014,77,255629,89303,5867,6818,86,6222,7333,84,1551,2860,54,33,28,23,4,306,1044,284,97,1326,Premier_League,2022_2023
Leeds United,29,38,12437,16924,73,206567,84295,6115,7225,84,4782,5973,80,1072,2528,42,31,31,27,0,337,1086,270,70,1429,Premier_League,2022_2023
Leicester City,28,38,14887,18871,78,249219,89055,7245,8221,88,6087,7165,85,1165,2422,48,36,38,26,-2,319,1142,220,52,1304,Premier_League,2022_2023
Liverpool,28,38,20043,24361,82,352929,120466,9023,10114,89,8561,9758,87,1962,3283,59,58,55,52,2,458,1615,452,85,1992,Premier_League,2022_2023
Manchester City,24,38,23263,26642,87,396454,114920,11020,11888,92,9848,10836,90,1932,2849,67,69,57,57,11,464,1770,445,75,2073,Premier_League,2022_2023
Manchester Utd,26,38,16603,20525,80,276625,97026,8273,9294,89,6359,7306,87,1438,2651,54,42,52,44,-10,478,1268,398,57,1595,Premier_League,2022_2023
Newcastle Utd,27,38,13925,17837,78,246297,90893,6433,7370,87,5580,6605,84,1523,2774,54,42,51,45,-9,435,1083,403,64,1618,Premier_League,2022_2023
Nott'ham Forest,33,38,9543,13606,70,177315,72656,4046,4952,81,4071,5126,79,1187,2708,43,22,26,20,-4,246,660,172,50,859,Premier_League,2022_2023
Southampton,36,38,12319,16391,75,211636,79814,5972,6925,86,4830,5823,82,1170,2625,44,25,28,26,-3,302,938,239,71,1125,Premier_League,2022_2023
Tottenham,29,38,15972,19672,81,277567,92695,7333,8180,89,6707,7682,87,1499,2669,56,46,43,34,3,386,1071,323,104,1449,Premier_League,2022_2023
West Ham,25,38,12369,16357,75,219013,84296,5883,6778,86,4784,5831,82,1383,2753,50,25,32,26,-7,340,990,212,80,1274,Premier_League,2022_2023
Wolves,32,38,14554,18294,79,264071,87310,6350,7195,88,6306,7257,86,1574,2890,54,12,25,21,-13,294,1110,252,71,1343,Premier_League,2022_2023
Atalanta,32,38,17108,21261,80,290891,103683,8273,9367,88,6740,7834,86,1583,2760,57,48,48,47,0,479,1384,425,81,1858,Serie_A,2021_2022
Bologna,36,38,14442,18249,79,246735,94908,6960,7925,87,5408,6437,84,1536,2701,56,34,33,25,0,343,1024,299,89,1276,Serie_A,2021_2022
Cagliari,33,38,11503,15761,73,221202,88862,4745,5714,83,4799,5957,80,1656,3147,52,26,29,27,-3,317,853,226,93,1088,Serie_A,2021_2022
Empoli,28,38,12796,16700,76,227799,91038,5530,6362,86,5584,6695,83,1315,2560,51,27,28,25,-1,343,1013,337,72,1477,Serie_A,2021_2022
Fiorentina,28,38,17418,20910,83,337614,110293,6638,7448,89,8158,9133,89,2366,3482,67,33,39,41,-6,386,1211,346,105,1584,Serie_A,2021_2022
Genoa,40,38,11185,15587,71,198763,81665,5123,6155,83,4390,5629,78,1298,2719,47,19,26,25,-7,281,829,211,74,1101,Serie_A,2021_2022
Hellas Verona,31,38,13047,17398,75,226861,89360,6087,7199,84,5057,6178,81,1410,2728,51,44,34,32,9,333,1046,350,71,1587,Serie_A,2021_2022
Inter,27,38,18367,21832,84,329949,112120,8090,8994,89,7784,8750,89,2046,3033,67,57,57,53,0,503,1453,451,128,1778,Serie_A,2021_2022
Juventus,32,38,16459,19835,83,307159,106118,6680,7513,88,7417,8335,89,2015,3048,66,37,36,33,0,388,1266,305,79,1464,Serie_A,2021_2022
Lazio,27,38,19632,23041,85,320293,109239,9872,10871,90,7249,8150,88,1711,2620,65,48,38,34,9,346,1398,309,53,1527,Serie_A,2021_2022
Milan,28,38,15719,19320,81,283818,100443,6814,7777,87,6719,7647,87,1787,2874,62,39,42,40,-3,436,1202,371,95,1486,Serie_A,2021_2022
Napoli,27,38,19572,22921,85,313472,105507,10332,11215,92,6928,7820,88,1611,2509,64,46,37,37,8,450,1389,366,57,1665,Serie_A,2021_2022
Roma,29,38,15221,18828,80,286185,100442,6118,7018,87,6937,7898,87,1874,3044,61,31,46,38,-15,434,1200,332,70,1587,Serie_A,2021_2022
Salernitana,42,38,10680,14461,73,195791,85345,4826,5745,84,4093,5155,79,1387,2552,54,19,24,25,-5,305,841,222,99,1031,Serie_A,2021_2022
Sampdoria,34,38,12901,17022,75,235384,91587,5582,6565,85,5317,6436,82,1566,2904,53,29,26,27,2,295,921,266,89,1187,Serie_A,2021_2022
Sassuolo,29,38,17027,20327,83,290090,104090,8123,8959,90,6598,7443,88,1724,2681,64,39,39,33,0,431,1178,316,55,1507,Serie_A,2021_2022
Spezia,30,38,11650,15503,75,210448,83575,5218,6112,85,4666,5591,83,1421,2833,50,25,27,22,-2,280,827,209,60,999,Serie_A,2021_2022
Torino,31,38,13943,18082,77,249442,87682,6255,7220,86,5904,6933,85,1434,2885,49,27,36,31,-9,364,1153,271,95,1320,Serie_A,2021_2022
Udinese,29,38,11650,15251,76,201058,80592,5511,6357,86,4617,5570,82,1128,2322,48,36,36,29,0,375,905,280,54,1226,Serie_A,2021_2022
Venezia,39,38,11575,15320,75,214514,84877,4947,5783,85,4826,5800,83,1487,2780,53,23,26,23,-3,250,802,215,77,1088,Serie_A,2021_2022
Augsburg,34,34,8422,12742,66,169408,75215,3104,4032,77,3844,5050,76,1253,2819,44,29,24,24,4,240,662,191,44,847,Bundesliga,2022_2023
Bayern Munich,28,34,19404,22716,85,335478,115394,8781,9678,90,8580,9490,90,1653,2553,64,67,56,63,10,488,1561,474,70,2041,Bundesliga,2022_2023
Bochum,26,34,9209,13549,68,185905,86106,3742,4704,79,3734,4954,75,1534,3145,48,28,28,31,0,289,856,225,73,1022,Bundesliga,2022_2023
Dortmund,30,34,16445,19889,82,290786,100043,7277,8180,89,6704,7585,88,1853,2872,64,61,51,50,9,423,1265,341,78,1628,Bundesliga,2022_2023
Eint Frankfurt,28,34,13930,17975,77,240605,87723,6239,7247,86,6164,7319,84,1196,2423,49,33,36,40,-3,289,1003,263,64,1372,Bundesliga,2022_2023
Freiburg,27,34,11653,15533,75,224503,85849,4532,5503,82,5212,6241,83,1565,2829,55,34,28,33,5,288,884,237,67,1039,Bundesliga,2022_2023
Gladbach,27,34,15516,18854,82,267610,95706,7012,7776,90,6828,7668,89,1280,2371,54,39,41,39,-2,327,885,247,50,1168,Bundesliga,2022_2023
Hertha BSC,32,34,8876,12800,69,165190,72608,3726,4615,80,3761,4869,77,1117,2467,45,23,25,26,-2,247,665,161,42,914,Bundesliga,2022_2023
Hoffenheim,31,34,11754,15564,75,218184,88463,4941,5830,84,5108,6136,83,1405,2668,52,30,32,39,-2,294,928,260,77,1175,Bundesliga,2022_2023
Köln,27,34,12242,16367,74,229690,84892,4634,5485,84,6017,7208,83,1352,2725,49,31,35,37,-4,307,840,259,84,1247,Bundesliga,2022_2023
Leverkusen,27,34,14683,18206,80,247352,87593,7075,8019,88,5908,6837,86,1279,2372,53,44,38,36,5,349,926,230,48,1243,Bundesliga,2022_2023
Mainz 05,27,34,10075,14492,69,186572,81107,4418,5434,81,4059,5270,77,1293,2828,45,35,30,33,5,278,872,270,80,1155,Bundesliga,2022_2023
RB Leipzig,25,34,16911,20529,82,297606,99659,7461,8392,88,7606,8572,88,1511,2537,59,39,43,48,-4,376,1237,320,53,1450,Bundesliga,2022_2023
Schalke 04,35,34,9234,13360,69,182759,80288,3511,4414,79,4162,5223,79,1331,2803,47,24,28,31,-4,282,698,250,110,934,Bundesliga,2022_2023
Stuttgart,30,34,13460,16987,79,253792,92829,5463,6341,86,6101,7070,86,1637,2756,59,34,38,38,-4,361,970,260,78,1278,Bundesliga,2022_2023
Union Berlin,28,34,10312,14418,71,197596,82612,4140,5021,82,4555,5629,80,1359,2892,47,38,25,30,12,272,878,255,115,1012,Bundesliga,2022_2023
Werder Bremen,25,34,12443,16554,75,236998,93050,5048,6006,84,5399,6523,82,1688,3071,55,37,29,34,8,274,922,274,66,1140,Bundesliga,2022_2023
Wolfsburg,28,34,12571,16129,77,245765,94282,4610,5453,84,6097,7016,86,1638,2876,57,44,39,40,4,303,1009,272,67,1306,Bundesliga,2022_2023
Augsburg,29,34,10545,14262,73,199672,80511,4147,4989,83,4851,5902,82,1272,2491,51,35,27,37,7,299,919,284,89,1137,Bundesliga,2023_2024
Bayern Munich,30,34,19987,22946,87,340799,109694,9254,10094,91,8928,9742,91,1476,2208,66,71,65,72,5,506,1563,458,86,1941,Bundesliga,2023_2024
Bochum,25,34,9786,14203,68,185281,85808,4234,5278,80,3854,5032,76,1393,2934,47,30,30,33,0,371,902,265,85,1151,Bundesliga,2023_2024
Darmstadt 98,32,34,11807,15336,77,223927,86971,4830,5582,86,5247,6139,85,1494,2813,53,21,22,28,-1,302,873,226,65,1083,Bundesliga,2023_2024
Dortmund,32,34,17191,20445,84,300426,100507,7696,8552,90,7352,8202,89,1651,2584,63,49,45,48,3,389,1144,301,46,1452,Bundesliga,2023_2024
Eint Frankfurt,34,34,15017,18809,79,260025,91225,6582,7496,87,6907,7959,86,1204,2409,50,36,34,38,1,292,1007,276,60,1305,Bundesliga,2023_2024
Freiburg,25,34,12337,16023,77,223388,83596,5228,6120,85,5515,6445,85,1296,2579,50,32,32,34,0,296,936,246,81,1208,Bundesliga,2023_2024
Gladbach,27,34,13544,16946,79,232267,84618,6222,7073,88,5785,6704,86,1162,2210,52,43,35,37,7,374,801,261,83,1227,Bundesliga,2023_2024
Heidenheim,22,34,10264,14339,71,206040,85936,3699,4713,78,4741,5858,80,1578,2863,55,34,27,30,6,279,730,201,73,983,Bundesliga,2023_2024
Hoffenheim,30,34,13457,17038,79,240505,94518,5931,6757,87,5840,6864,85,1372,2563,53,47,39,42,7,346,1069,292,76,1359,Bundesliga,2023_2024
Köln,26,34,11704,15411,75,209861,79468,4930,5779,85,5377,6369,84,1146,2378,48,17,27,30,-10,319,821,217,85,1086,Bundesliga,2023_2024
Leverkusen,24,34,21192,24301,87,322890,106373,12041,12986,92,7316,8125,90,1249,1977,63,71,55,66,15,490,1716,457,72,1997,Bundesliga,2023_2024
Mainz 05,30,34,10974,15120,72,201446,81453,4718,5730,82,4623,5826,79,1323,2702,49,31,32,35,-1,346,939,248,78,1169,Bundesliga,2023_2024
RB Leipzig,26,34,16254,19590,83,282017,96743,6994,7859,89,7624,8554,89,1287,2207,58,53,47,52,5,404,1185,334,75,1541,Bundesliga,2023_2024
Stuttgart,27,34,19201,22456,85,312129,108823,9516,10371,91,7721,8581,90,1352,2320,58,60,53,58,6,413,1338,356,80,1618,Bundesliga,2023_2024
Union Berlin,30,34,11004,14784,74,204399,86273,4534,5371,84,4773,5802,82,1356,2658,51,23,25,28,-2,300,859,233,80,1146,Bundesliga,2023_2024
Werder Bremen,30,34,12821,16418,78,237961,91530,5250,6169,85,5760,6739,85,1549,2676,57,33,35,38,-2,321,882,276,83,1172,Bundesliga,2023_2024
Wolfsburg,28,34,13092,16624,78,232194,87396,5883,6706,87,5603,6605,84,1288,2422,53,27,28,38,-1,310,954,263,67,1235,Bundesliga,2023_2024
Angers,30,38,15307,18797,81,281097,99557,6193,7006,88,6960,7916,87,1724,2880,59,25,28,25,-3,277,1029,186,56,1349,Ligue_1,2021_2022
Bordeaux,39,38,13552,17385,78,253745,96071,5738,6654,86,5627,6682,84,1815,3091,58,39,33,29,5,326,952,221,59,1271,Ligue_1,2021_2022
Brest,25,38,12684,16506,76,242103,96714,5325,6290,84,5126,6166,83,1852,3141,59,32,28,28,3,305,1087,252,88,1349,Ligue_1,2021_2022
Clermont Foot,28,38,15713,19560,80,268742,97045,7638,8645,88,5961,6974,85,1598,2805,57,25,32,33,-7,326,1066,263,102,1370,Ligue_1,2021_2022
Lens,28,38,16573,20178,82,283832,99071,7613,8583,88,6900,7932,87,1477,2498,59,39,34,32,4,383,1263,281,70,1692,Ligue_1,2021_2022
Lille,26,38,15086,18926,79,265491,93760,6923,7842,88,5970,6972,85,1658,2862,57,29,33,35,-4,344,1124,266,61,1487,Ligue_1,2021_2022
Lorient,29,38,13156,16818,78,241458,86977,5597,6471,86,5492,6467,84,1630,2876,56,20,29,27,-9,321,998,218,76,1258,Ligue_1,2021_2022
Lyon,30,38,19787,23388,84,340268,116719,8987,9961,90,8403,9364,89,1780,2835,62,45,48,50,-3,422,1486,346,66,1756,Ligue_1,2021_2022
Marseille,27,38,21253,24524,86,361998,109449,9918,10745,92,8776,9635,91,1878,2900,64,40,41,41,-1,384,1547,336,59,1866,Ligue_1,2021_2022
Metz,36,38,12069,15688,76,222449,84751,5120,6014,85,5157,6079,84,1430,2715,52,24,21,21,2,275,818,126,49,1015,Ligue_1,2021_2022
Monaco,27,38,16300,20559,79,293016,105290,6964,8022,86,7227,8418,85,1702,3045,55,45,44,49,0,348,1387,393,82,1871,Ligue_1,2021_2022
Montpellier,27,38,13951,17804,78,246694,95721,6234,7133,87,5560,6581,84,1585,2917,54,31,28,28,2,290,957,239,70,1282,Ligue_1,2021_2022
Nantes,26,38,12580,16481,76,232016,88021,5386,6257,86,5234,6315,82,1572,2976,52,37,34,30,2,327,1086,204,76,1330,Ligue_1,2021_2022
Nice,27,38,16159,19832,81,281750,98166,7356,8328,88,6858,7835,87,1515,2645,57,35,39,39,-4,334,1151,261,102,1474,Ligue_1,2021_2022
Paris S-G,36,38,23831,26660,89,379833,120661,12093,12973,93,9125,9855,92,1662,2239,74,65,55,56,9,433,1844,403,51,2055,Ligue_1,2021_2022
Reims,35,38,12097,15811,76,222517,84221,5187,6061,85,5070,6048,83,1511,2767,54,27,26,24,1,307,878,233,76,1185,Ligue_1,2021_2022
Rennes,28,38,17605,21263,82,330949,109096,7052,8029,87,7902,8886,88,2224,3332,66,61,47,45,13,426,1287,367,89,1737,Ligue_1,2021_2022
Saint-Étienne,39,38,13880,17876,77,248220,88275,6137,7086,86,5607,6671,84,1593,2972,53,25,26,26,-1,312,1058,200,62,1400,Ligue_1,2021_2022
Strasbourg,26,38,14576,18653,78,269517,97463,6112,7060,86,6190,7296,84,1856,3259,56,40,39,41,0,348,1184,334,108,1589,Ligue_1,2021_2022
Troyes,35,38,13093,16828,77,232760,90537,6026,6920,87,5156,6130,84,1466,2726,53,23,27,27,-4,285,937,216,85,1216,Ligue_1,2021_2022
