squad,#_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
Lens,27,34,14709,18083,81,249644,91474,6666,7617,87,6203,7157,86,1255,2217,56,29,37,41,-8,368,1312,349,95,1624,Ligue_1,2023_2024
Lille,28,34,16278,19319,84,279186,90871,7309,8169,89,7084,7941,89,1351,2273,59,32,34,38,-2,324,1191,279,50,1468,Ligue_1,2023_2024
Lorient,38,34,13284,16298,81,233137,84711,5717,6546,87,5787,6601,87,1283,2250,57,27,27,27,0,274,1004,251,56,1293,Ligue_1,2023_2024
Lyon,35,34,14823,17984,82,257980,90576,6513,7395,88,6362,7223,88,1409,2376,59,32,36,42,-4,335,1163,330,74,1600,Ligue_1,2023_2024
Marseille,33,34,14716,18000,81,259765,88302,6190,7030,88,6752,7732,87,1310,2344,55,32,40,39,-8,349,1272,324,88,1613,Ligue_1,2023_2024
Metz,30,34,8816,11986,73,177167,68613,3132,3872,80,4173,5024,83,1317,2559,51,25,23,15,1,234,685,152,61,910,Ligue_1,2023_2024
Monaco,30,34,14825,18346,80,260568,96791,6362,7376,86,6547,7589,86,1414,2430,58,45,37,42,7,370,1364,365,46,1726,Ligue_1,2023_2024
Montpellier,31,34,11198,14618,76,209508,81796,4428,5251,84,4815,5705,84,1503,2790,53,26,31,28,-5,304,900,216,64,1174,Ligue_1,2023_2024
Nantes,35,34,12180,15384,79,219808,81996,5084,5814,87,5410,6278,86,1273,2486,51,17,25,28,-8,275,971,230,78,1243,Ligue_1,2023_2024
Nice,27,34,15511,18379,84,255169,85900,7507,8293,90,6438,7248,88,1061,1950,54,23,34,30,-11,326,899,255,68,1245,Ligue_1,2023_2024
Paris S-G,29,34,21536,24396,88,366597,106542,9423,10335,91,9980,10802,92,1507,2177,69,61,51,48,9,425,1763,365,53,1915,Ligue_1,2023_2024
Reims,29,34,12995,16365,79,243795,83980,4942,5830,84,6140,7027,87,1553,2684,57,28,33,34,-5,318,1098,241,76,1425,Ligue_1,2023_2024
Rennes,29,34,14481,17580,82,266518,91799,5645,6490,87,6806,7723,88,1575,2513,62,29,31,34,-2,351,1257,311,61,1639,Ligue_1,2023_2024
Strasbourg,30,34,12021,15031,80,225581,77797,4556,5286,86,5863,6761,86,1315,2383,55,24,31,28,-7,280,903,218,67,1152,Ligue_1,2023_2024
Toulouse,26,34,13014,16304,79,231736,82869,5571,6480,86,5860,6824,85,1239,2195,56,30,26,30,3,301,1057,259,60,1405,Ligue_1,2023_2024
Arouca,35,34,11461,15285,75,218726,86591,4683,5568,84,5039,6074,83,1536,2970,51,18,23,25,-5,292,951,220,65,1187,Primeira_Liga,2021_2022
