player,nation,position,squad,age,year_of_birth,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Bahadır Güngördü,nan,GK,Ankaragücü,25,1997,32,31,"2,838",31.5,40.0,1.27,126.0,89.0,70.6,8.0,13.0,10.0,6.0,19.4,3.0,3.0,0.0,0.0,0.0,Super_Lig,2023_2024
Mert Günok,TUR,GK,Beşiktaş,34,1989,30,30,"2,541",28.2,35.0,1.24,100.0,69.0,68.0,12.0,7.0,11.0,10.0,33.3,4.0,3.0,1.0,0.0,25.0,Super_Lig,2023_2024
Günay Güvenç,nan,GK,Galatasaray,32,1991,2,1,121,1.3,0.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Super_Lig,2023_2024
David Jensen,DEN,GK,İstanbulspor,31,1992,14,14,"1,260",14.0,26.0,1.86,67.0,45.0,65.7,2.0,2.0,10.0,0.0,0.0,4.0,3.0,1.0,0.0,25.0,Super_Lig,2023_2024
Yusuf Karagöz,TUR,GK,Alanyaspor,23,1999,4,4,360,4.0,8.0,2.0,23.0,15.0,65.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Super_Lig,2023_2024
Vedat Karakuş,TUR,GK,Adana Demirspor,25,1998,3,1,180,2.0,6.0,3.0,10.0,4.0,40.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,Super_Lig,2023_2024
Erce Kardeşler,TUR,GK,Hatayspor,29,1994,35,35,"3,108",34.5,45.0,1.3,143.0,102.0,69.9,9.0,13.0,13.0,8.0,22.9,5.0,2.0,2.0,1.0,50.0,Super_Lig,2023_2024
Okan Kocuk,TUR,GK,Samsunspor,28,1995,36,36,"3,240",36.0,47.0,1.31,132.0,87.0,65.9,11.0,10.0,15.0,7.0,19.4,3.0,2.0,1.0,0.0,33.3,Super_Lig,2023_2024
Helton Leite,BRA,GK,Antalyaspor,32,1990,34,34,"3,060",34.0,45.0,1.32,156.0,115.0,73.7,11.0,11.0,12.0,7.0,20.6,5.0,4.0,0.0,1.0,0.0,Super_Lig,2023_2024
Dominik Livaković,CRO,GK,Fenerbahçe,28,1995,34,34,"3,058",34.0,28.0,0.82,87.0,63.0,73.6,27.0,6.0,1.0,12.0,35.3,5.0,5.0,0.0,0.0,0.0,Super_Lig,2023_2024
Shakhruddin Magomedaliyev,AZE,GK,Adana Demirspor,29,1994,25,24,"2,137",23.7,40.0,1.68,115.0,81.0,70.4,4.0,9.0,11.0,4.0,16.7,7.0,6.0,0.0,1.0,0.0,Super_Lig,2023_2024
Fernando Muslera,URU,GK,Galatasaray,37,1986,37,37,"3,299",36.7,26.0,0.71,112.0,89.0,78.6,32.0,3.0,2.0,17.0,45.9,3.0,2.0,1.0,0.0,33.3,Super_Lig,2023_2024
Đorđe Nikolić,SRB,GK,Sivasspor,26,1997,5,5,450,5.0,3.0,0.6,24.0,21.0,87.5,4.0,0.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,,Super_Lig,2023_2024
Florin Niță,ROU,GK,Gaziantep FK,36,1987,34,34,"3,060",34.0,47.0,1.38,150.0,108.0,72.0,12.0,8.0,14.0,8.0,23.5,8.0,5.0,1.0,2.0,16.7,Super_Lig,2023_2024
Burak Öğür,TUR,GK,Pendikspor,33,1989,4,4,360,4.0,13.0,3.25,17.0,4.0,23.5,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,Super_Lig,2023_2024
Ertaç Özbir,TUR,GK,Adana Demirspor,33,1989,12,12,"1,008",11.2,9.0,0.8,54.0,45.0,85.2,5.0,5.0,2.0,5.0,41.7,1.0,1.0,0.0,0.0,0.0,Super_Lig,2023_2024
Ertaç Özbir,TUR,GK,Ankaragücü,33,1989,2,2,127,1.4,2.0,1.42,6.0,4.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Super_Lig,2023_2024
Mehmet Öztürk,TUR,GK,Kayserispor,18,2005,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Super_Lig,2023_2024
Onurcan Piri,TUR,GK,Kayserispor,28,1994,3,3,269,3.0,6.0,2.01,11.0,5.0,45.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Super_Lig,2023_2024
Ali Şaşal Vural,TUR,GK,Sivasspor,33,1990,33,33,"2,970",33.0,51.0,1.55,162.0,113.0,70.4,10.0,12.0,11.0,8.0,24.2,3.0,3.0,0.0,0.0,0.0,Super_Lig,2023_2024
Ahmet Şen,TUR,GK,Gaziantep FK,24,1999,4,4,360,4.0,10.0,2.5,18.0,10.0,50.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,Super_Lig,2023_2024
Muhammed Şengezer,TUR,GK,Başakşehir,26,1997,14,14,"1,260",14.0,13.0,0.93,48.0,36.0,75.0,8.0,1.0,5.0,5.0,35.7,1.0,1.0,0.0,0.0,0.0,Super_Lig,2023_2024
Mücahit Serbest,TUR,GK,İstanbulspor,18,2004,5,4,378,4.2,14.0,3.33,32.0,19.0,59.4,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Super_Lig,2023_2024
Salvatore Sirigu,ITA,GK,Fatih Karagümrük,36,1987,17,17,"1,530",17.0,28.0,1.65,77.0,53.0,68.8,4.0,5.0,8.0,2.0,11.8,4.0,4.0,0.0,0.0,0.0,Super_Lig,2023_2024
Jakub Szumski,POL,GK,Samsunspor,31,1992,2,2,180,2.0,5.0,2.5,10.0,5.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Super_Lig,2023_2024
Jakub Słowik,POL,GK,Konyaspor,31,1991,14,14,"1,260",14.0,14.0,1.0,43.0,31.0,72.1,5.0,5.0,4.0,6.0,42.9,2.0,2.0,0.0,0.0,0.0,Super_Lig,2023_2024
Muhammet Taha Tepe,TUR,GK,Trabzonspor,22,2001,3,3,270,3.0,6.0,2.0,18.0,13.0,72.2,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Super_Lig,2023_2024
Ertuğrul Taşkıran,TUR,GK,Alanyaspor,33,1989,34,34,"3,060",34.0,42.0,1.24,132.0,92.0,70.5,12.0,14.0,8.0,9.0,26.5,3.0,3.0,0.0,0.0,0.0,Super_Lig,2023_2024
Zlatan Alomerović,GER,GK,Jagiellonia,32,1991,34,34,"3,060",34.0,,,,,,18.0,9.0,7.0,7.0,20.6,8.0,8.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Dawid Arndt,POL,GK,Łódzki KS,21,2001,7,7,630,7.0,,,,,,2.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Krzysztof Bąkowski,POL,GK,Radomiak Radom,20,2003,1,1,90,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Filip Bednarek,POL,GK,Lech Poznań,30,1992,3,3,270,3.0,,,,,,2.0,1.0,0.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Jakub Bielecki,POL,GK,Ruch Chorzów,22,2000,4,4,360,4.0,,,,,,1.0,0.0,3.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Daniel Bielica,POL,GK,Górnik Zabrze,24,1999,34,34,"3,060",34.0,,,,,,15.0,8.0,11.0,10.0,29.4,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Kacper Bieszczad,POL,GK,RKS Raków,20,2002,2,2,180,2.0,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Alexander Bobek,POL,GK,Łódzki KS,19,2004,27,27,"2,430",27.0,,,,,,4.0,5.0,18.0,2.0,7.4,9.0,7.0,1.0,1.0,12.5,Ekstraklasa,2023_2024
Michał Buchalik,POL,GK,Ruch Chorzów,34,1989,8,8,720,8.0,,,,,,0.0,4.0,4.0,1.0,12.5,2.0,2.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Jasmin Burić,BIH,GK,Zagłębie Lubin,36,1987,5,5,450,5.0,,,,,,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Valentin Cojocaru,ROU,GK,Pogoń Szczecin,27,1995,27,27,"2,430",27.0,,,,,,13.0,7.0,7.0,7.0,25.9,4.0,2.0,2.0,0.0,50.0,Ekstraklasa,2023_2024
Sokratis Dioudis,GRE,GK,Zagłębie Lubin,30,1993,21,21,"1,889",21.0,,,,,,9.0,5.0,7.0,6.0,28.6,2.0,1.0,1.0,0.0,50.0,Ekstraklasa,2023_2024
Xavier Dziekonski,POL,GK,Korona Kielce,19,2003,29,29,"2,610",29.0,,,,,,7.0,12.0,10.0,5.0,17.2,5.0,5.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Konrad Forenc,POL,GK,Korona Kielce,31,1992,5,5,450,5.0,,,,,,1.0,2.0,2.0,1.0,20.0,1.0,0.0,1.0,0.0,100.0,Ekstraklasa,2023_2024
Rafał Gikiewicz,POL,GK,Widzew Łódź,35,1987,14,14,"1,260",14.0,,,,,,7.0,3.0,4.0,4.0,28.6,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Jędrzej Grobelny,POL,GK,Warta Poznań,22,2001,25,24,"2,212",24.6,,,,,,8.0,6.0,10.0,8.0,33.3,2.0,1.0,0.0,1.0,0.0,Ekstraklasa,2023_2024
Lukáš Hroššo,SVK,GK,Cracovia,36,1987,7,7,630,7.0,,,,,,2.0,2.0,3.0,1.0,14.3,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Dominik Hładun,POL,GK,Legia Warsaw,27,1995,11,11,990,11.0,,,,,,3.0,6.0,2.0,1.0,9.1,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Konrad Jałocha,POL,GK,Stal Mielec,32,1991,1,1,90,1.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Krzysztof Kamiński,POL,GK,Ruch Chorzów,32,1990,8,8,720,8.0,,,,,,0.0,6.0,2.0,1.0,12.5,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Bartosz Klebaniuk,POL,GK,Pogoń Szczecin,21,2002,5,5,450,5.0,,,,,,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Gabriel Kobylak,POL,GK,Radomiak Radom,21,2002,11,11,930,10.3,,,,,,2.0,1.0,8.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,Ekstraklasa,2023_2024
Mateusz Kochalski,POL,GK,Stal Mielec,23,2000,33,33,"2,970",33.0,,,,,,11.0,10.0,12.0,9.0,27.3,6.0,5.0,1.0,0.0,16.7,Ekstraklasa,2023_2024
Kewin Komar,POL,GK,Puszcza Niepołomice,20,2003,6,6,540,6.0,,,,,,2.0,1.0,3.0,1.0,16.7,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Vladen Kovačević,BIH,GK,RKS Raków,25,1998,29,29,"2,610",29.0,,,,,,13.0,8.0,8.0,9.0,31.0,6.0,6.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Jan Krzywański,POL,GK,Widzew Łódź,20,2003,2,2,180,2.0,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Dušan Kuciak,SVK,GK,RKS Raków,38,1985,1,1,90,1.0,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Rafał Leszczyński,POL,GK,Śląsk Wrocław,31,1992,33,33,"2,970",33.0,,,,,,18.0,9.0,6.0,11.0,33.3,8.0,6.0,1.0,1.0,14.3,Ekstraklasa,2023_2024
Adrian Lis,POL,GK,Warta Poznań,31,1992,10,10,848,9.4,,,,,,1.0,4.0,5.0,1.0,10.0,2.0,2.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Sebastian Madejski,POL,GK,Cracovia,26,1997,27,27,"2,430",27.0,,,,,,6.0,13.0,8.0,6.0,22.2,7.0,6.0,1.0,0.0,14.3,Ekstraklasa,2023_2024
Filip Majchrowicz,POL,GK,Radomiak Radom,23,2000,8,7,687,7.6,,,,,,3.0,1.0,3.0,2.0,28.6,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Bartosz Mrozek,POL,GK,Lech Poznań,23,2000,31,31,"2,790",31.0,,,,,,12.0,10.0,9.0,10.0,32.3,7.0,5.0,2.0,0.0,28.6,Ekstraklasa,2023_2024
František Plach,SVK,GK,Piast Gliwice,31,1992,27,27,"2,430",27.0,,,,,,6.0,14.0,7.0,9.0,33.3,8.0,6.0,0.0,2.0,0.0,Ekstraklasa,2023_2024
Albert Posiadala,POL,GK,Radomiak Radom,20,2003,15,15,"1,350",15.0,,,,,,4.0,6.0,5.0,4.0,26.7,4.0,3.0,1.0,0.0,25.0,Ekstraklasa,2023_2024
Henrich Ravas,SVK,GK,Widzew Łódź,25,1997,18,18,"1,620",18.0,,,,,,5.0,4.0,9.0,3.0,16.7,5.0,4.0,1.0,0.0,20.0,Ekstraklasa,2023_2024
Muhamed Šahinović,BIH,GK,RKS Raków,19,2003,1,1,90,1.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Dante Stipica,CRO,GK,Ruch Chorzów,32,1991,14,14,"1,260",14.0,,,,,,5.0,4.0,5.0,4.0,28.6,2.0,2.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Dante Stipica,CRO,GK,Pogoń Szczecin,32,1991,2,2,180,2.0,,,,,,2.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Karol Szymański,POL,GK,Piast Gliwice,30,1993,7,7,630,7.0,,,,,,3.0,2.0,2.0,4.0,57.1,2.0,1.0,1.0,0.0,50.0,Ekstraklasa,2023_2024
Kacper Tobiasz,POL,GK,Legia Warsaw,20,2002,23,23,"2,070",23.0,,,,,,13.0,5.0,5.0,9.0,39.1,1.0,1.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Kacper Trelowski,POL,GK,Śląsk Wrocław,19,2003,1,1,90,1.0,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,Ekstraklasa,2023_2024
Antonis Tsiftsis,GRE,GK,RKS Raków,24,1999,1,1,90,1.0,,,,,,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Szymon Weirauch,POL,GK,Zagłębie Lubin,19,2004,8,8,720,8.0,,,,,,4.0,1.0,3.0,2.0,25.0,2.0,2.0,0.0,0.0,0.0,Ekstraklasa,2023_2024
Krzysztof Wróblewski,POL,GK,Puszcza Niepołomice,21,2002,2,2,180,2.0,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ekstraklasa,2023_2024
Oliwier Zych,POL,GK,Puszcza Niepołomice,19,2004,26,26,"2,340",26.0,,,,,,7.0,12.0,7.0,6.0,23.1,5.0,4.0,1.0,0.0,20.0,Ekstraklasa,2023_2024
Norbert Alblas,NED,GK,Excelsior,27,1994,1,0,28,0.3,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Vasilios Barkas,GRE,GK,Utrecht,28,1994,32,32,"2,880",32.0,50.0,1.56,154.0,104.0,68.2,14.0,8.0,10.0,10.0,31.3,1.0,1.0,0.0,0.0,0.0,Eredivisie,2022_2023
Jan Bekkema,NED,GK,Heerenveen,26,1996,1,0,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Walter Benítez,ARG,GK,PSV Eindhoven,29,1993,30,30,"2,700",30.0,35.0,1.17,106.0,71.0,68.9,20.0,5.0,5.0,10.0,33.3,2.0,2.0,0.0,0.0,0.0,Eredivisie,2022_2023
Justin Bijlow,NED,GK,Feyenoord,24,1998,25,25,"2,250",25.0,19.0,0.76,77.0,59.0,75.3,17.0,6.0,2.0,12.0,48.0,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Jan de Boer,NED,GK,Groningen,22,2000,3,2,226,2.5,12.0,4.78,31.0,19.0,64.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Eredivisie,2022_2023
Mattijs Branderhorst,NED,GK,NEC Nijmegen,28,1993,2,2,180,2.0,2.0,1.0,5.0,3.0,80.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Eredivisie,2022_2023
Joel Castro Pereira,POR,GK,RKC Waalwijk,26,1996,2,2,180,2.0,9.0,4.5,20.0,11.0,60.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Eredivisie,2022_2023
Jasper Cillessen,NED,GK,NEC Nijmegen,33,1989,32,32,"2,880",32.0,43.0,1.34,178.0,136.0,77.5,8.0,14.0,10.0,9.0,28.1,3.0,3.0,0.0,0.0,0.0,Eredivisie,2022_2023
Jeffrey De Lange,NED,GK,Go Ahead Eag,24,1998,34,34,"3,060",34.0,56.0,1.65,172.0,117.0,68.6,10.0,10.0,14.0,8.0,23.5,2.0,2.0,0.0,0.0,0.0,Eredivisie,2022_2023
Mickey van der Hart,NED,GK,Emmen,28,1994,25,25,"2,250",25.0,44.0,1.76,122.0,78.0,65.6,5.0,8.0,12.0,6.0,24.0,2.0,2.0,0.0,0.0,0.0,Eredivisie,2022_2023
Joel Drommel,NED,GK,PSV Eindhoven,25,1996,4,4,360,4.0,5.0,1.25,15.0,12.0,66.7,3.0,1.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Stijn van Gassel,NED,GK,Excelsior,25,1996,34,34,"3,032",33.7,71.0,2.11,239.0,170.0,70.7,9.0,5.0,20.0,8.0,23.5,1.0,1.0,0.0,0.0,0.0,Eredivisie,2022_2023
Jeroen Houwen,NED,GK,Vitesse,26,1996,3,2,194,2.2,8.0,3.71,14.0,6.0,42.9,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Fabian de Keijzer,NED,GK,Utrecht,22,2000,2,2,180,2.0,0.0,0.0,6.0,6.0,100.0,1.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Barry Lauwers,NED,GK,Volendam,22,1999,1,1,90,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Peter Leeuwenburgh,NED,GK,Groningen,28,1994,8,8,673,7.5,14.0,1.87,42.0,28.0,71.4,0.0,2.0,6.0,1.0,12.5,2.0,2.0,0.0,0.0,0.0,Eredivisie,2022_2023
Brett Minnema,NED,GK,Cambuur,20,2002,1,1,90,1.0,4.0,4.0,5.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Xavier Mous,NED,GK,Heerenveen,26,1995,16,16,"1,440",16.0,34.0,2.12,77.0,43.0,59.7,4.0,4.0,8.0,2.0,12.5,4.0,3.0,1.0,0.0,25.0,Eredivisie,2022_2023
Andries Noppert,NED,GK,Heerenveen,28,1994,18,18,"1,619",18.0,16.0,0.89,67.0,51.0,77.6,8.0,6.0,4.0,7.0,38.9,1.0,1.0,0.0,0.0,0.0,Eredivisie,2022_2023
Eric Oelschlägel,GER,GK,Emmen,26,1995,9,9,810,9.0,21.0,2.33,42.0,22.0,50.0,1.0,2.0,6.0,1.0,11.1,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Nick Olij,NED,GK,Sparta R'dam,26,1995,32,32,"2,880",32.0,34.0,1.06,151.0,117.0,78.8,16.0,7.0,9.0,14.0,43.8,3.0,2.0,1.0,0.0,33.3,Eredivisie,2022_2023
Yanick van Osch,NED,GK,Fortuna Sittard,25,1997,3,3,270,3.0,10.0,3.33,19.0,9.0,47.4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Ivor Pandur,CRO,GK,Fortuna Sittard,22,2000,31,31,"2,790",31.0,52.0,1.68,165.0,115.0,70.3,10.0,6.0,15.0,7.0,22.6,3.0,3.0,0.0,0.0,0.0,Eredivisie,2022_2023
Remko Pasveer,NED,GK,Ajax,38,1983,15,15,"1,350",15.0,18.0,1.2,50.0,32.0,64.0,9.0,4.0,2.0,4.0,26.7,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Daan Reiziger,NED,GK,Vitesse,21,2001,8,6,576,6.4,11.0,1.72,24.0,13.0,58.3,2.0,3.0,1.0,2.0,33.3,1.0,1.0,0.0,0.0,0.0,Eredivisie,2022_2023
Robbin Ruiter,NED,GK,Cambuur,35,1987,16,16,"1,440",16.0,37.0,2.31,99.0,64.0,65.7,3.0,1.0,12.0,3.0,18.8,4.0,3.0,0.0,1.0,0.0,Eredivisie,2022_2023
Gerónimo Rulli,ARG,GK,Ajax,30,1992,19,19,"1,710",19.0,20.0,1.05,64.0,44.0,70.3,11.0,5.0,3.0,7.0,36.8,1.0,1.0,0.0,0.0,0.0,Eredivisie,2022_2023
Mathew Ryan,AUS,GK,AZ Alkmaar,30,1992,18,18,"1,620",18.0,18.0,1.0,45.0,27.0,66.7,10.0,4.0,4.0,7.0,38.9,3.0,3.0,0.0,0.0,0.0,Eredivisie,2022_2023
Kjell Scherpen,NED,GK,Vitesse,22,2000,26,26,"2,290",25.4,31.0,1.22,97.0,66.0,68.0,8.0,7.0,11.0,6.0,23.1,1.0,0.0,1.0,0.0,100.0,Eredivisie,2022_2023
Youri Schoonderwaldt,NED,GK,Sparta R'dam,22,2000,2,2,180,2.0,3.0,1.5,7.0,4.0,57.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Filip Stankovic,SRB,GK,Volendam,20,2002,33,33,"2,970",33.0,71.0,2.15,203.0,134.0,66.0,9.0,6.0,18.0,4.0,12.1,4.0,2.0,2.0,0.0,50.0,Eredivisie,2022_2023
Przemysław Tytoń,POL,GK,Twente,35,1987,1,1,90,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Eredivisie,2022_2023
Lars Unnerstall,GER,GK,Twente,32,1990,33,33,"2,970",33.0,27.0,0.82,123.0,96.0,78.9,17.0,10.0,6.0,16.0,48.5,2.0,1.0,1.0,0.0,50.0,Eredivisie,2022_2023
Etienne Vaessen,SUR,GK,RKC Waalwijk,27,1995,32,32,"2,880",32.0,55.0,1.72,188.0,132.0,72.9,11.0,8.0,13.0,6.0,18.8,7.0,4.0,2.0,1.0,33.3,Eredivisie,2022_2023
Hobie Verhulst,NED,GK,AZ Alkmaar,29,1993,16,16,"1,440",16.0,17.0,1.06,51.0,33.0,68.6,10.0,3.0,3.0,5.0,31.3,2.0,1.0,1.0,0.0,50.0,Eredivisie,2022_2023
Michael Verrips,NED,GK,Groningen,25,1996,24,24,"2,160",24.0,49.0,2.04,119.0,70.0,62.2,3.0,4.0,17.0,3.0,12.5,4.0,4.0,0.0,0.0,0.0,Eredivisie,2022_2023
João Virgínia,POR,GK,Cambuur,22,1999,17,17,"1,530",17.0,28.0,1.65,103.0,76.0,75.7,2.0,3.0,12.0,4.0,23.5,3.0,3.0,0.0,0.0,0.0,Eredivisie,2022_2023
Timon Wellenreuther,GER,GK,Feyenoord,26,1995,9,9,810,9.0,11.0,1.22,26.0,15.0,57.7,8.0,1.0,0.0,1.0,11.1,1.0,0.0,1.0,0.0,100.0,Eredivisie,2022_2023
Simone Aresti,ITA,GK,Cagliari,37,1986,1,0,1,0.0,1.0,90.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,Serie_A,2023_2024
Emil Audero,ITA,GK,Inter,26,1997,4,4,337,3.7,3.0,0.8,11.0,8.0,72.7,2.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,,Serie_A,2023_2024
Nicola Bagnolini,ITA,GK,Bologna,19,2004,1,0,5,0.1,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Serie_A,2023_2024
Etrit Berisha,ALB,GK,Empoli,34,1989,14,14,"1,260",14.0,25.0,1.79,74.0,49.0,68.9,3.0,3.0,8.0,4.0,28.6,3.0,2.0,1.0,0.0,33.3,Serie_A,2023_2024
Elia Caprile,ITA,GK,Empoli,21,2001,23,23,"2,070",23.0,27.0,1.17,106.0,78.0,78.3,6.0,6.0,11.0,5.0,21.7,5.0,4.0,1.0,0.0,20.0,Serie_A,2023_2024
Marco Carnesecchi,ITA,GK,Atalanta,23,2000,27,27,"2,425",26.9,30.0,1.11,107.0,75.0,75.7,15.0,5.0,7.0,8.0,29.6,7.0,4.0,2.0,1.0,33.3,Serie_A,2023_2024
Michele Cerofolini,ITA,GK,Frosinone,24,1999,8,7,675,7.5,11.0,1.47,28.0,18.0,60.7,2.0,2.0,3.0,3.0,42.9,1.0,0.0,0.0,1.0,,Serie_A,2023_2024
Oliver Christensen,DEN,GK,Fiorentina,24,1999,4,4,360,4.0,9.0,2.25,19.0,10.0,63.2,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Serie_A,2023_2024
Andrea Consigli,ITA,GK,Sassuolo,36,1987,35,35,"3,150",35.0,68.0,1.94,159.0,93.0,61.6,6.0,8.0,21.0,3.0,8.6,10.0,7.0,1.0,2.0,12.5,Serie_A,2023_2024
Nikita Contini Baranovsky,ITA,GK,Napoli,27,1996,1,0,17,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Serie_A,2023_2024
Benoît Costil,FRA,GK,Salernitana,36,1987,13,13,"1,170",13.0,29.0,2.23,66.0,38.0,60.6,2.0,3.0,8.0,1.0,7.7,3.0,3.0,0.0,0.0,0.0,Serie_A,2023_2024
Alessio Cragno,ITA,GK,Sassuolo,29,1994,3,3,270,3.0,7.0,2.33,14.0,8.0,57.1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Serie_A,2023_2024
Raffaele Di Gennaro,ITA,GK,Inter,29,1993,1,0,23,0.3,0.0,0.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,Serie_A,2023_2024
Michele Di Gregorio,ITA,GK,Monza,26,1997,33,33,"2,872",31.9,35.0,1.1,159.0,122.0,79.9,11.0,11.0,11.0,12.0,36.4,5.0,3.0,2.0,0.0,40.0,Serie_A,2023_2024
Wladimiro Falcone,ITA,GK,Lecce,28,1995,38,38,"3,420",38.0,54.0,1.42,173.0,119.0,71.7,8.0,14.0,16.0,7.0,18.4,6.0,5.0,1.0,0.0,16.7,Serie_A,2023_2024
Vincenzo Fiorillo,ITA,GK,Salernitana,33,1990,4,4,360,4.0,8.0,2.0,26.0,18.0,69.2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Serie_A,2023_2024
