player,nation,position,squad,age,year_of_birth,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Jonas Wendlinger,AUT,GK,Ried,22,2000,6,6,540,6.0,8.0,1.33,24.0,16.0,66.7,1.0,2.0,3.0,1.0,16.7,0.0,0.0,0.0,0.0,,Austrian_Bundesliga,2022_2023
Mio Backhaus,GER,GK,Volendam,19,2004,33,32,"2,881",32.0,79.0,2.47,253.0,174.0,69.2,4.0,7.0,21.0,2.0,6.3,1.0,1.0,0.0,0.0,0.0,Eredivisie,2023_2024
Nordin Bakker,NED,GK,Almere City,25,1997,29,29,"2,596",28.8,53.0,1.84,163.0,110.0,69.3,7.0,9.0,13.0,9.0,31.0,4.0,3.0,1.0,0.0,25.0,Eredivisie,2023_2024
Vasilios Barkas,GRE,GK,Utrecht,29,1994,29,29,"2,610",29.0,42.0,1.45,146.0,104.0,74.0,10.0,11.0,8.0,5.0,17.2,5.0,4.0,1.0,0.0,20.0,Eredivisie,2023_2024
Walter Benítez,ARG,GK,PSV Eindhoven,30,1993,33,33,"2,964",32.9,20.0,0.61,72.0,54.0,76.4,29.0,3.0,1.0,18.0,54.5,3.0,3.0,0.0,0.0,0.0,Eredivisie,2023_2024
Justin Bijlow,NED,GK,Feyenoord,25,1998,17,17,"1,462",16.2,14.0,0.86,41.0,27.0,65.9,12.0,3.0,2.0,6.0,35.3,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
Mattijs Branderhorst,NED,GK,Utrecht,29,1993,5,5,450,5.0,5.0,1.0,16.0,11.0,75.0,3.0,0.0,2.0,3.0,60.0,1.0,1.0,0.0,0.0,0.0,Eredivisie,2023_2024
Michael Brouwer,NED,GK,Heracles Almelo,30,1993,34,34,"3,060",34.0,74.0,2.18,226.0,153.0,69.5,9.0,6.0,19.0,4.0,11.8,5.0,5.0,0.0,0.0,0.0,Eredivisie,2023_2024
Jasper Cillessen,NED,GK,NEC Nijmegen,34,1989,30,30,"2,640",29.3,46.0,1.57,145.0,98.0,71.7,13.0,9.0,8.0,5.0,16.7,6.0,5.0,1.0,0.0,16.7,Eredivisie,2023_2024
Jeffrey De Lange,NED,GK,Go Ahead Eag,25,1998,34,34,"3,060",34.0,46.0,1.35,180.0,135.0,75.6,12.0,10.0,12.0,11.0,32.4,2.0,2.0,0.0,0.0,0.0,Eredivisie,2023_2024
Mickey van der Hart,NED,GK,Heerenveen,29,1994,12,12,"1,080",12.0,27.0,2.25,60.0,34.0,56.7,4.0,3.0,5.0,3.0,25.0,1.0,1.0,0.0,0.0,0.0,Eredivisie,2023_2024
Joel Drommel,NED,GK,PSV Eindhoven,26,1996,1,1,90,1.0,1.0,1.0,5.0,4.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
Stijn van Gassel,NED,GK,Excelsior,26,1996,34,34,"3,060",34.0,73.0,2.15,204.0,132.0,65.2,6.0,11.0,17.0,6.0,17.6,2.0,2.0,0.0,0.0,0.0,Eredivisie,2023_2024
Jay Gorter,NED,GK,Ajax,23,2000,8,7,665,7.4,17.0,2.3,35.0,18.0,51.4,1.0,2.0,4.0,1.0,14.3,1.0,0.0,0.0,1.0,,Eredivisie,2023_2024
Mike Hauptmeijer,NED,GK,Zwolle,26,1997,2,2,180,2.0,3.0,1.5,11.0,8.0,81.8,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Eredivisie,2023_2024
Tom Hendriks,NED,GK,Fortuna Sittard,21,2002,1,1,90,1.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
Jeroen Houwen,NED,GK,RKC Waalwijk,27,1996,4,3,322,3.6,5.0,1.4,19.0,14.0,78.9,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Eredivisie,2023_2024
Luuk Koopmans,NED,GK,Fortuna Sittard,29,1993,5,5,450,5.0,6.0,1.2,19.0,13.0,68.4,0.0,3.0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
Barry Lauwers,NED,GK,Volendam,23,1999,1,1,90,1.0,7.0,7.0,10.0,3.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
Andries Noppert,NED,GK,Heerenveen,29,1994,22,22,"1,980",22.0,43.0,1.95,104.0,62.0,61.5,6.0,4.0,12.0,4.0,18.2,3.0,3.0,0.0,0.0,0.0,Eredivisie,2023_2024
Kayne van Oevelen,NED,GK,Volendam,19,2003,1,1,89,1.0,2.0,2.02,10.0,8.0,80.0,,,1.0,,,,,,,,Eredivisie,2023_2024
Nick Olij,NED,GK,Sparta R'dam,27,1995,34,34,"3,060",34.0,48.0,1.41,161.0,113.0,72.0,14.0,7.0,13.0,8.0,23.5,5.0,3.0,1.0,1.0,25.0,Eredivisie,2023_2024
Rome-Jayden Owusu-Oduro,NED,GK,AZ Alkmaar,19,2004,4,4,360,4.0,7.0,1.75,17.0,11.0,58.8,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Eredivisie,2023_2024
