squad,#_of_players,90s_played,tackles,tackles_won,tackles_(def_3rd),tackles_(mid_3rd),tackles_(att_3rd),dribblers_tackled,dribbles_challenged,%_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tkl+int,clearances,errors,league,season
Estoril,33,34,513,316,251,209,53,270,512,52,242,333,120,213,250,763,647,12,Primeira_Liga,2022_2023
Famalicão,33,34,587,360,300,227,60,280,596,47,316,396,127,269,330,917,717,5,Primeira_Liga,2022_2023
Gil Vicente FC,32,34,539,316,253,209,77,285,572,49,287,369,114,255,306,845,593,6,Primeira_Liga,2022_2023
Marítimo,39,34,594,362,282,234,78,313,582,53,269,344,93,251,334,928,554,11,Primeira_Liga,2022_2023
Paços,36,34,487,292,254,170,63,248,530,46,282,347,115,232,330,817,656,16,Primeira_Liga,2022_2023
Portimonense,35,34,532,331,241,225,66,241,515,46,274,399,126,273,339,871,722,12,Primeira_Liga,2022_2023
Porto,28,34,593,358,251,234,108,305,617,49,312,324,67,257,333,926,487,7,Primeira_Liga,2022_2023
Rio Ave,30,34,542,334,264,231,47,271,548,49,277,390,129,261,298,840,700,12,Primeira_Liga,2022_2023
Santa Clara,34,34,546,342,262,228,56,274,578,47,304,366,112,254,314,860,735,7,Primeira_Liga,2022_2023
Sporting CP,32,34,595,352,203,298,94,312,597,52,285,295,70,225,293,888,363,7,Primeira_Liga,2022_2023
Vitória,34,34,579,353,325,187,67,287,541,53,254,359,97,262,350,929,703,5,Primeira_Liga,2022_2023
Vizela,30,34,558,319,262,227,69,296,546,54,250,370,132,238,381,939,817,5,Primeira_Liga,2022_2023
Arsenal,27,38,540,311,261,195,84,244,500,48,256,386,123,263,296,836,658,20,Premier_League,2021_2022
Aston Villa,31,38,634,382,300,259,75,300,649,46,349,453,140,313,339,973,693,13,Premier_League,2021_2022
Brentford,29,38,607,342,299,228,80,291,616,47,325,383,113,270,393,1000,863,7,Premier_League,2021_2022
Brighton,26,38,668,403,306,257,105,243,563,43,320,480,150,330,358,1026,723,12,Premier_League,2021_2022
Burnley,23,38,590,324,273,235,82,250,534,46,284,509,211,298,410,1000,887,18,Premier_League,2021_2022
Chelsea,26,38,621,348,267,269,85,257,567,45,310,408,96,312,347,968,641,15,Premier_League,2021_2022
Crystal Palace,24,38,637,374,323,236,78,273,575,47,302,452,135,317,333,970,761,5,Premier_League,2021_2022
Everton,33,38,705,402,369,252,84,336,735,45,399,496,140,356,365,1070,815,15,Premier_League,2021_2022
Leeds United,29,38,787,437,396,298,93,408,886,46,478,473,143,330,395,1182,621,15,Premier_League,2021_2022
Leicester City,28,38,690,384,336,270,84,306,720,42,414,469,146,323,367,1057,777,15,Premier_League,2021_2022
Liverpool,27,38,554,320,207,240,107,233,576,40,343,359,74,285,340,894,523,8,Premier_League,2021_2022
Manchester City,26,38,498,284,183,214,101,227,509,44,282,267,55,212,279,777,403,7,Premier_League,2021_2022
Manchester Utd,29,38,585,358,320,197,68,265,608,43,343,404,133,271,340,925,704,20,Premier_League,2021_2022
Newcastle Utd,29,38,659,383,334,266,59,304,641,47,337,420,162,258,360,1019,776,14,Premier_League,2021_2022
Norwich City,28,38,614,368,322,242,50,297,714,41,417,450,180,270,381,995,860,14,Premier_League,2021_2022
Southampton,25,38,602,340,285,243,74,248,581,42,333,430,132,298,446,1048,795,13,Premier_League,2021_2022
Tottenham,25,38,598,349,286,244,68,262,584,44,322,470,161,309,355,953,793,15,Premier_League,2021_2022
Watford,30,38,614,356,341,213,60,278,626,44,348,440,148,292,444,1058,899,19,Premier_League,2021_2022
West Ham,25,38,534,301,273,199,62,240,557,43,317,420,175,245,374,908,781,5,Premier_League,2021_2022
Wolves,26,38,673,377,377,242,54,273,671,40,398,437,135,302,389,1062,820,20,Premier_League,2021_2022
Arminia,26,34,549,311,270,235,44,238,543,43,305,395,110,285,421,970,770,7,Bundesliga,2021_2022
Augsburg,26,34,561,335,254,236,71,250,584,42,334,397,116,281,363,924,769,12,Bundesliga,2021_2022
Bayern Munich,30,34,563,338,231,237,95,259,559,46,300,338,68,270,349,912,404,18,Bundesliga,2021_2022
Bochum,28,34,566,353,298,199,69,277,574,48,297,420,119,301,429,995,616,13,Bundesliga,2021_2022
Dortmund,33,34,541,322,232,236,73,255,550,46,295,351,82,269,347,888,519,11,Bundesliga,2021_2022
Eint Frankfurt,27,34,595,330,260,252,83,283,673,42,390,435,95,340,377,972,592,12,Bundesliga,2021_2022
Freiburg,26,34,518,299,246,207,65,215,477,45,262,352,130,222,355,873,751,13,Bundesliga,2021_2022
Gladbach,26,34,572,345,260,252,60,285,615,46,330,402,91,311,326,898,553,13,Bundesliga,2021_2022
Greuther Fürth,29,34,568,336,258,252,58,270,567,47,297,416,124,292,374,942,712,8,Bundesliga,2021_2022
Hertha BSC,36,34,546,321,294,197,55,252,544,46,292,377,105,272,406,952,816,15,Bundesliga,2021_2022
Hoffenheim,32,34,483,291,191,216,76,223,484,46,261,390,88,302,285,768,520,17,Bundesliga,2021_2022
Köln,26,34,598,361,264,246,88,288,665,43,377,442,99,343,426,1024,628,10,Bundesliga,2021_2022
Leverkusen,29,34,484,281,235,199,50,225,493,45,268,350,101,249,360,844,620,12,Bundesliga,2021_2022
Mainz 05,28,34,579,305,291,220,68,282,595,47,313,404,94,310,439,1018,584,9,Bundesliga,2021_2022
RB Leipzig,29,34,499,289,218,222,59,219,512,42,293,399,81,318,349,848,523,12,Bundesliga,2021_2022
Stuttgart,34,34,532,307,231,236,65,241,530,45,289,386,124,262,342,874,708,8,Bundesliga,2021_2022
Union Berlin,28,34,538,296,266,223,49,268,568,47,300,322,90,232,376,914,657,7,Bundesliga,2021_2022
Wolfsburg,30,34,539,298,278,201,60,257,540,47,283,388,103,285,388,927,740,9,Bundesliga,2021_2022
Almería,29,38,557,322,292,202,63,280,623,44,343,435,122,313,322,879,855,13,La_Liga,2022_2023
Athletic Club,26,38,608,369,267,254,87,322,642,50,320,415,95,320,310,918,598,14,La_Liga,2022_2023
Atlético Madrid,27,38,667,408,332,245,90,334,685,48,351,396,103,293,304,971,704,9,La_Liga,2022_2023
Barcelona,29,38,522,324,211,216,95,227,498,45,271,353,82,271,253,775,439,17,La_Liga,2022_2023
Betis,30,38,665,421,373,238,54,338,701,48,363,411,112,299,364,1029,857,7,La_Liga,2022_2023
Cádiz,38,38,623,410,358,205,60,320,671,47,351,425,128,297,270,893,853,13,La_Liga,2022_2023
Celta Vigo,26,38,664,413,319,269,76,295,676,43,381,393,84,309,368,1032,666,5,La_Liga,2022_2023
Elche,32,38,633,363,367,212,54,280,603,46,323,413,131,282,323,956,766,13,La_Liga,2022_2023
Espanyol,33,38,652,379,330,239,83,301,600,50,299,416,134,282,338,990,788,9,La_Liga,2022_2023
Getafe,25,38,541,339,282,199,60,285,619,46,334,404,113,291,320,861,794,10,La_Liga,2022_2023
Girona,29,38,551,321,271,213,67,244,532,45,288,379,111,268,266,817,662,20,La_Liga,2022_2023
Mallorca,31,38,583,344,318,213,52,283,581,48,298,402,146,256,318,901,859,7,La_Liga,2022_2023
Osasuna,26,38,534,328,256,196,82,266,588,45,322,392,97,295,315,849,749,10,La_Liga,2022_2023
Rayo Vallecano,28,38,636,393,262,276,98,281,664,42,383,428,92,336,309,945,680,11,La_Liga,2022_2023
Real Madrid,26,38,542,353,242,212,88,259,565,45,306,365,105,260,296,838,469,5,La_Liga,2022_2023
Real Sociedad,30,38,660,395,304,254,102,285,613,46,328,399,103,296,271,931,624,13,La_Liga,2022_2023
Sevilla,35,38,587,367,261,230,96,281,591,47,310,361,127,234,339,926,633,9,La_Liga,2022_2023
Valencia,28,38,678,428,340,254,84,311,645,48,334,370,75,295,288,966,643,21,La_Liga,2022_2023
Valladolid,36,38,671,396,334,251,86,296,628,47,332,432,149,283,345,1016,767,8,La_Liga,2022_2023
Villarreal,32,38,578,370,276,201,101,270,534,50,264,372,125,247,262,840,691,16,La_Liga,2022_2023
Alavés,30,38,578,347,284,227,67,290,629,46,339,363,117,246,279,857,810,5,La_Liga,2023_2024
Almería,35,38,633,372,354,222,57,280,582,48,302,430,134,296,313,946,856,19,La_Liga,2023_2024
Athletic Club,27,38,581,362,217,264,100,305,635,48,330,419,106,313,278,859,631,4,La_Liga,2023_2024
Atlético Madrid,27,38,654,399,308,263,83,327,671,48,344,460,114,346,256,910,793,8,La_Liga,2023_2024
Barcelona,29,38,571,363,271,223,77,243,523,46,280,363,97,266,257,828,573,17,La_Liga,2023_2024
Betis,35,38,692,440,305,300,87,358,683,52,325,422,101,321,345,1037,801,9,La_Liga,2023_2024
Cádiz,34,38,671,398,338,264,69,341,728,46,387,443,123,320,298,969,786,13,La_Liga,2023_2024
Celta Vigo,31,38,627,382,302,243,82,308,662,46,354,434,116,318,297,924,832,9,La_Liga,2023_2024
Getafe,33,38,608,364,269,251,88,291,577,50,286,342,103,239,307,915,730,6,La_Liga,2023_2024
Girona,25,38,544,340,264,222,58,274,521,52,247,378,124,254,257,801,661,21,La_Liga,2023_2024
Granada,40,38,637,374,336,237,64,289,623,46,334,404,110,294,280,917,779,26,La_Liga,2023_2024
Las Palmas,29,38,662,397,328,263,71,305,633,48,328,416,98,318,281,943,761,14,La_Liga,2023_2024
Mallorca,25,38,686,388,347,281,58,340,657,51,317,369,131,238,365,1051,785,10,La_Liga,2023_2024
Osasuna,29,38,525,311,247,201,77,243,517,47,274,400,108,292,263,788,756,16,La_Liga,2023_2024
Rayo Vallecano,26,38,630,372,279,282,69,270,608,44,338,410,105,305,308,938,796,12,La_Liga,2023_2024
Real Madrid,27,38,557,368,252,214,91,225,461,48,236,401,104,297,296,853,552,14,La_Liga,2023_2024
Real Sociedad,31,38,650,405,271,285,94,283,552,51,269,405,118,287,253,903,693,15,La_Liga,2023_2024
Sevilla,35,38,697,463,380,237,80,335,626,53,291,395,123,272,313,1010,772,9,La_Liga,2023_2024
Valencia,29,38,657,379,335,250,72,309,618,50,309,392,105,287,324,981,842,9,La_Liga,2023_2024
Villarreal,32,38,576,348,288,212,76,260,532,48,272,386,130,256,304,880,789,12,La_Liga,2023_2024
Arouca,31,34,530,339,255,204,71,291,604,48,313,361,92,269,262,792,637,8,Primeira_Liga,2023_2024
Benfica,34,34,657,420,273,270,114,343,657,52,314,397,87,310,298,955,457,10,Primeira_Liga,2023_2024
Boavista,23,34,554,343,279,229,46,281,554,50,273,348,119,229,273,827,705,15,Primeira_Liga,2023_2024
Braga,25,34,518,313,225,237,56,251,536,46,285,328,83,245,310,828,593,16,Primeira_Liga,2023_2024
Casa Pia,32,34,499,331,248,189,62,270,560,48,290,366,99,267,286,785,712,7,Primeira_Liga,2023_2024
Chaves,31,34,473,282,250,176,47,254,505,50,251,364,108,256,294,767,730,12,Primeira_Liga,2023_2024
Estoril,31,34,538,335,249,228,61,261,539,48,278,359,113,246,269,807,687,18,Primeira_Liga,2023_2024
Estrela,34,34,574,381,265,242,67,314,582,54,268,390,115,275,281,855,709,9,Primeira_Liga,2023_2024
Famalicão,27,34,548,360,286,197,65,270,534,50,264,372,107,265,299,847,687,7,Primeira_Liga,2023_2024
Farense,25,34,515,318,274,199,42,244,519,47,275,472,175,297,332,847,1004,5,Primeira_Liga,2023_2024
Gil Vicente FC,31,34,540,341,261,206,73,289,539,53,250,373,102,271,303,843,677,15,Primeira_Liga,2023_2024
Moreirense,29,34,532,345,269,195,68,242,500,48,258,382,114,268,318,850,797,7,Primeira_Liga,2023_2024
Portimonense,31,34,661,413,343,255,63,312,594,52,282,402,129,273,356,1017,811,10,Primeira_Liga,2023_2024
Porto,32,34,484,308,188,218,78,245,492,49,247,308,71,237,215,699,440,6,Primeira_Liga,2023_2024
Rio Ave,33,34,541,329,253,233,55,283,577,49,294,403,119,284,289,830,755,15,Primeira_Liga,2023_2024
Sporting CP,29,34,562,354,211,259,92,257,496,51,239,281,70,211,216,778,420,8,Primeira_Liga,2023_2024
Vitória,27,34,505,320,241,205,59,283,555,51,272,366,78,288,277,782,643,7,Primeira_Liga,2023_2024
