squad,#_of_players,90s_played,tackles,tackles_won,tackles_(def_3rd),tackles_(mid_3rd),tackles_(att_3rd),dribblers_tackled,dribbles_challenged,%_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tkl+int,clearances,errors,league,season
Sampdoria,40,38,589,351,290,240,59,261,558,46,297,428,152,276,317,906,688,7,Serie_A,2022_2023
Sassuolo,31,38,502,281,237,186,79,216,461,46,245,371,122,249,278,780,658,16,Serie_A,2022_2023
Spezia,34,38,622,359,290,236,96,254,569,44,315,457,161,296,301,923,830,7,Serie_A,2022_2023
Torino,28,38,473,265,231,187,55,199,367,54,168,337,110,227,292,765,627,9,Serie_A,2022_2023
Udinese,30,38,651,365,363,228,60,326,632,51,306,437,128,309,314,965,712,8,Serie_A,2022_2023
Alavés,33,38,550,324,271,221,58,262,637,41,375,373,106,267,376,926,890,7,La_Liga,2021_2022
Athletic Club,26,38,508,292,217,216,75,224,582,38,358,411,128,283,339,847,788,8,La_Liga,2021_2022
Atlético Madrid,26,38,636,346,290,279,67,293,619,47,326,372,98,274,365,1001,649,14,La_Liga,2021_2022
Barcelona,38,38,587,331,236,270,81,244,493,49,249,346,85,261,325,912,467,17,La_Liga,2021_2022
Betis,31,38,662,392,322,261,79,324,695,46,371,386,112,274,361,1023,777,11,La_Liga,2021_2022
Cádiz,33,38,647,380,346,238,63,301,711,42,410,390,106,284,413,1060,768,5,La_Liga,2021_2022
Celta Vigo,25,38,696,409,324,279,93,286,762,37,476,423,91,332,376,1072,634,11,La_Liga,2021_2022
Elche,28,38,589,325,335,191,63,268,622,43,354,367,126,241,305,894,769,14,La_Liga,2021_2022
Espanyol,34,38,557,338,308,196,53,275,646,42,371,360,114,246,326,883,892,20,La_Liga,2021_2022
Getafe,31,38,587,360,266,243,78,248,594,41,346,400,96,304,401,988,719,8,La_Liga,2021_2022
Granada,32,38,611,343,310,240,61,274,632,43,358,437,130,307,326,937,841,8,La_Liga,2021_2022
Levante,31,38,558,305,268,212,78,237,611,38,374,326,110,216,377,935,735,12,La_Liga,2021_2022
Mallorca,33,38,607,332,301,235,71,248,551,45,303,374,119,255,344,951,826,9,La_Liga,2021_2022
Osasuna,29,38,577,331,270,236,71,251,598,42,347,340,115,225,368,945,758,5,La_Liga,2021_2022
Rayo Vallecano,28,38,621,359,320,237,64,280,688,40,408,410,95,315,365,986,686,9,La_Liga,2021_2022
Real Madrid,31,38,560,345,281,195,84,211,502,42,291,379,114,265,334,894,526,17,La_Liga,2021_2022
Real Sociedad,32,38,586,339,271,234,81,260,546,47,286,382,105,277,348,934,703,6,La_Liga,2021_2022
Sevilla,33,38,534,302,252,211,71,236,542,43,306,367,124,243,270,804,603,18,La_Liga,2021_2022
Valencia,34,38,591,364,289,217,85,266,623,42,357,373,93,280,339,930,746,8,La_Liga,2021_2022
Villarreal,29,38,538,312,250,197,91,229,476,48,247,330,109,221,329,867,644,16,La_Liga,2021_2022
