squad,#_of_players,average_age,possession,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non-penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals/90,assists/90,goals_+_assists/90,non-penalty_goals/90,npxg_+_xag/90,league,season,xg:_expected_goals,npxg:_non-penalty_xg,xag:_exp._assisted_goals,npxg_+_xag,progressive_carries,progressive_passes,non-penalty_goals_+_assists/90,xg/90,xag/90,xg_+_xag/90,npxg/90
Vizela,30,25,45.0,34,374,3060,34,30,24.0,54.0,29,1,3,102,5,0,0.0,1.0,0,2.0,Primeira_Liga,2022_2023,42.0,40.0,30.0,70.0,419.0,1150.0,1.0,1.0,0.0,2.0,1.0
Čukarički,43,25,,37,407,3330,37,56,43.0,99.0,53,3,4,76,5,1,1.0,2.0,1,2.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
FK IMT Novi Beograd,38,23,,37,407,3330,37,41,20.0,61.0,36,5,7,89,3,1,0.0,1.0,0,1.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
FK Železničar Pančevo,36,27,,37,407,3330,37,45,29.0,74.0,41,4,6,68,1,1,0.0,2.0,1,1.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Javor Ivanjica,31,25,,37,407,3330,37,32,25.0,57.0,31,1,1,92,6,0,0.0,1.0,0,1.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Mladost Lučani,36,31,,37,407,3330,37,36,26.0,62.0,31,5,5,68,4,0,0.0,1.0,0,1.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Napredak Kruš,36,27,,37,407,3330,37,35,28.0,63.0,33,2,2,84,0,0,0.0,1.0,0,1.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Novi Pazar,40,25,,37,407,3330,37,44,28.0,72.0,38,6,7,94,6,1,0.0,1.0,1,1.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Partizan,32,26,,37,407,3330,37,77,54.0,131.0,67,10,11,78,4,2,1.0,3.0,1,3.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Radnički Kragujevac,37,25,,37,407,3330,37,66,47.0,113.0,61,5,7,109,4,1,1.0,3.0,1,2.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Radnički Niš,40,25,,37,407,3330,37,39,31.0,70.0,35,4,5,78,1,1,0.0,1.0,0,1.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Radnik Surdulica,33,24,,37,407,3330,37,23,14.0,37.0,19,4,4,75,2,0,0.0,1.0,0,0.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Red Star,34,26,,37,407,3330,37,91,60.0,151.0,76,15,15,50,0,2,1.0,4.0,2,3.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Spartak Subotic,38,24,,37,407,3330,37,35,26.0,61.0,34,1,4,62,4,0,0.0,1.0,0,1.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
TSC Bačka Top,26,26,,37,407,3330,37,75,55.0,130.0,69,6,8,87,2,2,1.0,3.0,1,3.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Vojvodina,33,25,,37,407,3330,37,59,41.0,100.0,55,4,4,81,3,1,1.0,2.0,1,2.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Voždovac,35,22,,37,407,3330,37,45,30.0,75.0,40,5,5,94,5,1,0.0,2.0,1,1.0,Serbian_SuperLiga,2023_2024,,,,,,,,,,,
Adana Demirspor,36,29,49.0,36,374,3060,34,69,51.0,120.0,62,7,10,69,7,2,1.0,3.0,1,3.0,Super_Lig,2022_2023,,,,,,,,,,,
Alanyaspor,29,27,53.0,36,374,3060,34,47,31.0,78.0,42,5,6,73,3,1,0.0,2.0,1,2.0,Super_Lig,2022_2023,,,,,,,,,,,
Ankaragücü,40,27,50.0,36,385,3150,35,39,29.0,68.0,36,3,5,68,2,1,0.0,1.0,1,1.0,Super_Lig,2022_2023,,,,,,,,,,,
Antalyaspor,34,28,49.0,36,385,3150,35,42,27.0,69.0,39,3,4,67,6,1,0.0,1.0,1,1.0,Super_Lig,2022_2023,,,,,,,,,,,
Başakşehir,38,29,52.0,36,374,3060,34,47,29.0,76.0,43,4,5,73,6,1,0.0,2.0,1,2.0,Super_Lig,2022_2023,,,,,,,,,,,
Beşiktaş,35,28,52.0,36,374,3060,34,70,49.0,119.0,62,8,10,81,4,2,1.0,3.0,1,3.0,Super_Lig,2022_2023,,,,,,,,,,,
Fatih Karagümrük,34,27,48.0,36,374,3060,34,69,46.0,115.0,61,8,8,82,4,2,1.0,3.0,1,3.0,Super_Lig,2022_2023,,,,,,,,,,,
Fenerbahçe,29,26,59.0,36,374,3060,34,80,49.0,129.0,65,15,17,76,7,2,1.0,3.0,1,3.0,Super_Lig,2022_2023,,,,,,,,,,,
Galatasaray,33,27,56.0,36,374,3060,34,73,49.0,122.0,65,8,12,75,4,2,1.0,3.0,1,3.0,Super_Lig,2022_2023,,,,,,,,,,,
Gaziantep FK,24,28,43.0,36,242,1980,22,31,23.0,54.0,30,1,1,68,3,1,1.0,2.0,1,2.0,Super_Lig,2022_2023,,,,,,,,,,,
Giresunspor,26,26,43.0,36,374,3060,34,35,23.0,58.0,30,5,7,90,3,1,0.0,1.0,0,1.0,Super_Lig,2022_2023,,,,,,,,,,,
Hatayspor,28,28,49.0,36,231,1890,21,19,14.0,33.0,17,2,2,51,2,0,0.0,1.0,0,1.0,Super_Lig,2022_2023,,,,,,,,,,,
İstanbulspor,36,26,43.0,36,374,3060,34,39,24.0,63.0,36,3,3,88,4,1,0.0,1.0,1,1.0,Super_Lig,2022_2023,,,,,,,,,,,
Kasımpaşa,39,28,45.0,36,385,3150,35,41,26.0,67.0,35,6,6,89,4,1,0.0,1.0,1,1.0,Super_Lig,2022_2023,,,,,,,,,,,
Kayserispor,28,28,51.0,36,374,3060,34,49,38.0,87.0,43,6,7,61,4,1,1.0,2.0,1,2.0,Super_Lig,2022_2023,,,,,,,,,,,
Konyaspor,31,28,50.0,36,374,3060,34,41,28.0,69.0,35,6,7,89,5,1,0.0,2.0,1,1.0,Super_Lig,2022_2023,,,,,,,,,,,
Sivasspor,29,30,46.0,36,385,3150,35,42,28.0,70.0,35,7,7,59,4,1,0.0,2.0,1,1.0,Super_Lig,2022_2023,,,,,,,,,,,
Trabzonspor,37,27,54.0,36,385,3150,35,59,30.0,89.0,50,9,9,68,5,1,0.0,2.0,1,2.0,Super_Lig,2022_2023,,,,,,,,,,,
Ümraniyespor,38,29,47.0,36,374,3060,34,40,22.0,62.0,31,9,10,77,5,1,0.0,1.0,0,1.0,Super_Lig,2022_2023,,,,,,,,,,,
AEK Athens,29,28,,36,396,3240,36,68,46.0,114.0,60,8,10,73,0,1,1.0,3.0,1,2.0,Super_League_Greece,2022_2023,,,,,,,,,,,
Aris,28,28,,36,396,3240,36,55,34.0,89.0,51,4,6,82,6,1,0.0,2.0,1,2.0,Super_League_Greece,2022_2023,,,,,,,,,,,
Asteras Tripoli,33,29,,33,363,2970,33,22,14.0,36.0,20,2,2,88,4,0,0.0,1.0,0,1.0,Super_League_Greece,2022_2023,,,,,,,,,,,
Atromitos,26,27,,33,363,2970,33,33,23.0,56.0,31,2,3,75,3,1,0.0,1.0,0,1.0,Super_League_Greece,2022_2023,,,,,,,,,,,
Ionikos,30,30,,33,363,2970,33,22,13.0,35.0,20,2,2,101,6,0,0.0,1.0,0,1.0,Super_League_Greece,2022_2023,,,,,,,,,,,
Levadiakos,34,26,,33,363,2970,33,23,13.0,36.0,20,3,4,85,3,0,0.0,1.0,0,1.0,Super_League_Greece,2022_2023,,,,,,,,,,,
OFI Crete,33,27,,33,363,2970,33,35,26.0,61.0,34,1,1,92,3,1,0.0,1.0,1,1.0,Super_League_Greece,2022_2023,,,,,,,,,,,
Olympiacos,42,28,,36,396,3240,36,69,49.0,118.0,62,7,9,66,3,1,1.0,3.0,1,3.0,Super_League_Greece,2022_2023,,,,,,,,,,,
Panathinaikos,27,28,,36,396,3240,36,45,24.0,69.0,35,10,11,70,4,1,0.0,1.0,0,1.0,Super_League_Greece,2022_2023,,,,,,,,,,,
Panetolikos,33,27,,33,363,2970,33,32,23.0,55.0,27,5,5,76,2,0,0.0,1.0,0,1.0,Super_League_Greece,2022_2023,,,,,,,,,,,
PAOK,30,26,,36,396,3240,36,54,35.0,89.0,47,7,8,77,3,1,0.0,2.0,1,2.0,Super_League_Greece,2022_2023,,,,,,,,,,,
PAS Giannina,34,26,,33,363,2970,33,32,23.0,55.0,28,4,6,75,1,0,0.0,1.0,0,1.0,Super_League_Greece,2022_2023,,,,,,,,,,,
PAS Lamia,37,29,,33,363,2970,33,23,14.0,37.0,23,0,2,84,6,0,0.0,1.0,0,1.0,Super_League_Greece,2022_2023,,,,,,,,,,,
Volos NFC,36,27,,36,396,3240,36,35,22.0,57.0,32,3,5,87,5,0,0.0,1.0,0,1.0,Super_League_Greece,2022_2023,,,,,,,,,,,
Arsenal,27,24,52.0,38,418,3420,38,60,41.0,101.0,55,5,8,67,4,1,1.0,2.0,1,2.0,Premier_League,2021_2022,60.0,55.0,40.0,95.0,734.0,1655.0,2.0,1.0,1.0,2.0,1.0
Aston Villa,31,26,46.0,38,418,3420,38,50,42.0,92.0,47,3,3,81,2,1,1.0,2.0,1,2.0,Premier_League,2021_2022,44.0,42.0,34.0,76.0,653.0,1300.0,2.0,1.0,0.0,2.0,1.0
Brentford,29,25,44.0,38,418,3420,38,46,33.0,79.0,40,6,6,65,3,1,0.0,2.0,1,1.0,Premier_League,2021_2022,45.0,41.0,33.0,74.0,450.0,1189.0,1.0,1.0,0.0,2.0,1.0
Brighton,26,26,54.0,38,418,3420,38,40,30.0,70.0,36,4,7,72,2,1,0.0,1.0,0,1.0,Premier_League,2021_2022,46.0,40.0,32.0,72.0,676.0,1547.0,1.0,1.0,0.0,2.0,1.0
Burnley,23,28,40.0,38,418,3420,38,32,26.0,58.0,31,1,2,68,2,0,0.0,1.0,0,1.0,Premier_League,2021_2022,39.0,38.0,31.0,69.0,388.0,972.0,1.0,1.0,0.0,1.0,1.0
Chelsea,26,27,61.0,38,418,3420,38,75,52.0,127.0,67,8,9,63,1,1,1.0,3.0,1,2.0,Premier_League,2021_2022,63.0,56.0,44.0,101.0,894.0,1967.0,3.0,1.0,1.0,2.0,1.0
Crystal Palace,24,27,51.0,38,418,3420,38,50,31.0,81.0,44,6,8,69,1,1,0.0,2.0,1,1.0,Premier_League,2021_2022,46.0,40.0,31.0,71.0,592.0,1229.0,1.0,1.0,0.0,2.0,1.0
Everton,33,26,40.0,38,418,3420,38,42,29.0,71.0,36,6,7,82,6,1,0.0,1.0,0,1.0,Premier_League,2021_2022,41.0,35.0,28.0,64.0,512.0,1100.0,1.0,1.0,0.0,1.0,0.0
Leeds United,29,26,52.0,38,418,3420,38,42,26.0,68.0,37,5,5,101,3,1,0.0,1.0,0,1.0,Premier_League,2021_2022,44.0,40.0,31.0,71.0,671.0,1483.0,1.0,1.0,0.0,1.0,1.0
Leicester City,28,26,52.0,38,418,3420,38,62,46.0,108.0,60,2,2,55,1,1,1.0,2.0,1,2.0,Premier_League,2021_2022,47.0,46.0,34.0,80.0,622.0,1356.0,2.0,1.0,0.0,2.0,1.0
Liverpool,27,27,62.0,38,418,3420,38,94,71.0,165.0,87,7,8,50,1,2,1.0,4.0,2,3.0,Premier_League,2021_2022,88.0,82.0,63.0,146.0,885.0,2243.0,4.0,2.0,1.0,4.0,2.0
Manchester City,26,27,67.0,38,418,3420,38,96,63.0,159.0,89,7,9,42,1,2,1.0,4.0,2,3.0,Premier_League,2021_2022,88.0,81.0,65.0,146.0,1145.0,2421.0,4.0,2.0,1.0,4.0,2.0
Manchester Utd,29,27,52.0,38,418,3420,38,56,46.0,102.0,53,3,5,77,2,1,1.0,2.0,1,2.0,Premier_League,2021_2022,55.0,51.0,42.0,94.0,784.0,1568.0,2.0,1.0,1.0,2.0,1.0
Newcastle Utd,29,27,40.0,38,418,3420,38,41,23.0,64.0,38,3,3,81,2,1,0.0,1.0,1,1.0,Premier_League,2021_2022,38.0,35.0,25.0,61.0,544.0,923.0,1.0,1.0,0.0,1.0,0.0
Norwich City,28,26,42.0,38,418,3420,38,21,16.0,37.0,18,3,3,57,1,0,0.0,0.0,0,1.0,Premier_League,2021_2022,32.0,30.0,24.0,54.0,566.0,1031.0,0.0,0.0,0.0,1.0,0.0
Southampton,25,25,47.0,38,418,3420,38,41,26.0,67.0,37,4,4,65,2,1,0.0,1.0,0,1.0,Premier_League,2021_2022,44.0,41.0,32.0,74.0,728.0,1326.0,1.0,1.0,0.0,2.0,1.0
Tottenham,25,26,51.0,38,418,3420,38,63,50.0,113.0,58,5,5,69,1,1,1.0,2.0,1,2.0,Premier_League,2021_2022,61.0,57.0,47.0,104.0,791.0,1459.0,2.0,1.0,1.0,2.0,1.0
Watford,30,28,40.0,38,418,3420,38,33,26.0,59.0,32,1,2,63,3,0,0.0,1.0,0,1.0,Premier_League,2021_2022,40.0,38.0,32.0,70.0,557.0,1070.0,1.0,1.0,0.0,1.0,1.0
West Ham,25,28,47.0,38,418,3420,38,58,46.0,104.0,54,4,6,52,3,1,1.0,2.0,1,2.0,Premier_League,2021_2022,51.0,46.0,37.0,84.0,646.0,1449.0,2.0,1.0,0.0,2.0,1.0
Wolves,26,27,49.0,38,418,3420,38,35,22.0,57.0,34,1,1,62,2,0,0.0,1.0,0,1.0,Premier_League,2021_2022,37.0,36.0,26.0,63.0,723.0,1283.0,1.0,0.0,0.0,1.0,0.0
Ajax,35,22,59.0,34,374,3060,34,72,60.0,132.0,67,5,6,44,3,2,1.0,3.0,1,3.0,Eredivisie,2023_2024,65.0,60.0,52.0,112.0,734.0,1646.0,3.0,1.0,1.0,3.0,1.0
Almere City,29,24,44.0,34,374,3060,34,32,27.0,59.0,29,3,3,69,3,0,0.0,1.0,0,1.0,Eredivisie,2023_2024,34.0,32.0,27.0,59.0,421.0,1117.0,1.0,1.0,0.0,1.0,0.0
AZ Alkmaar,33,24,54.0,34,374,3060,34,68,49.0,117.0,66,2,2,47,2,2,1.0,3.0,1,2.0,Eredivisie,2023_2024,56.0,55.0,41.0,96.0,656.0,1561.0,3.0,1.0,1.0,2.0,1.0
Excelsior,27,23,45.0,34,374,3060,34,48,43.0,91.0,47,1,1,51,4,1,1.0,2.0,1,2.0,Eredivisie,2023_2024,45.0,45.0,37.0,82.0,574.0,1037.0,2.0,1.0,1.0,2.0,1.0
Feyenoord,25,24,61.0,34,374,3060,34,90,69.0,159.0,86,4,7,35,1,2,2.0,4.0,2,4.0,Eredivisie,2023_2024,93.0,87.0,69.0,157.0,924.0,2088.0,4.0,2.0,2.0,4.0,2.0
Fortuna Sittard,32,26,43.0,34,374,3060,34,36,24.0,60.0,33,3,7,58,3,1,0.0,1.0,0,2.0,Eredivisie,2023_2024,44.0,39.0,28.0,67.0,547.0,1097.0,1.0,1.0,0.0,2.0,1.0
Go Ahead Eag,23,25,44.0,34,374,3060,34,47,30.0,77.0,43,4,5,39,3,1,0.0,2.0,1,2.0,Eredivisie,2023_2024,49.0,45.0,34.0,80.0,521.0,1234.0,2.0,1.0,1.0,2.0,1.0
Heerenveen,26,25,49.0,34,374,3060,34,52,27.0,79.0,45,7,8,39,4,1,0.0,2.0,1,2.0,Eredivisie,2023_2024,46.0,40.0,29.0,70.0,678.0,1320.0,2.0,1.0,0.0,2.0,1.0
Heracles Almelo,27,25,46.0,34,374,3060,34,41,30.0,71.0,36,5,6,70,2,1,0.0,2.0,1,1.0,Eredivisie,2023_2024,41.0,37.0,29.0,66.0,576.0,1083.0,1.0,1.0,0.0,2.0,1.0
NEC Nijmegen,28,26,48.0,34,374,3060,34,67,42.0,109.0,61,6,6,53,4,1,1.0,3.0,1,2.0,Eredivisie,2023_2024,48.0,43.0,32.0,75.0,555.0,1215.0,3.0,1.0,0.0,2.0,1.0
PSV Eindhoven,29,26,64.0,34,374,3060,34,108,88.0,196.0,101,7,9,32,1,3,2.0,5.0,2,4.0,Eredivisie,2023_2024,99.0,92.0,77.0,169.0,960.0,2159.0,5.0,2.0,2.0,5.0,2.0
RKC Waalwijk,26,26,45.0,34,374,3060,34,37,26.0,63.0,32,5,5,58,4,1,0.0,1.0,0,2.0,Eredivisie,2023_2024,44.0,40.0,33.0,73.0,583.0,1174.0,1.0,1.0,0.0,2.0,1.0
Sparta R'dam,26,25,47.0,34,374,3060,34,49,37.0,86.0,44,5,5,39,2,1,1.0,2.0,1,2.0,Eredivisie,2023_2024,46.0,42.0,33.0,75.0,523.0,1278.0,2.0,1.0,0.0,2.0,1.0
Twente,26,25,56.0,34,374,3060,34,67,46.0,113.0,64,3,3,51,3,1,1.0,3.0,1,2.0,Eredivisie,2023_2024,57.0,55.0,42.0,98.0,635.0,1655.0,3.0,1.0,1.0,2.0,1.0
Utrecht,35,25,48.0,34,374,3060,34,48,33.0,81.0,47,1,1,47,2,1,0.0,2.0,1,2.0,Eredivisie,2023_2024,46.0,45.0,35.0,81.0,552.0,1403.0,2.0,1.0,1.0,2.0,1.0
Vitesse,31,24,50.0,34,374,3060,34,29,24.0,53.0,28,1,1,62,5,0,0.0,1.0,0,1.0,Eredivisie,2023_2024,37.0,36.0,28.0,65.0,590.0,1210.0,1.0,1.0,0.0,1.0,1.0
Volendam,37,23,41.0,34,374,3060,34,33,22.0,55.0,32,1,1,58,3,0,0.0,1.0,0,1.0,Eredivisie,2023_2024,36.0,35.0,26.0,62.0,510.0,936.0,1.0,1.0,0.0,1.0,1.0
Zwolle,29,26,49.0,34,374,3060,34,45,31.0,76.0,43,2,2,67,2,1,0.0,2.0,1,2.0,Eredivisie,2023_2024,43.0,41.0,31.0,72.0,520.0,1239.0,2.0,1.0,0.0,2.0,1.0
Alavés,30,25,41.0,38,418,3420,38,33,28.0,61.0,30,3,7,84,1,0,0.0,1.0,0,1.0,La_Liga,2023_2024,46.0,40.0,32.0,73.0,550.0,1260.0,1.0,1.0,0.0,2.0,1.0
Almería,35,25,46.0,38,418,3420,38,42,25.0,67.0,40,2,2,93,6,1,0.0,1.0,1,2.0,La_Liga,2023_2024,48.0,47.0,34.0,81.0,590.0,1097.0,1.0,1.0,0.0,2.0,1.0
Athletic Club,27,27,49.0,38,418,3420,38,59,41.0,100.0,56,3,5,80,5,1,1.0,2.0,1,2.0,La_Liga,2023_2024,52.0,48.0,37.0,85.0,735.0,1610.0,2.0,1.0,0.0,2.0,1.0
Atlético Madrid,27,29,50.0,38,418,3420,38,68,48.0,116.0,63,5,6,89,5,1,1.0,3.0,1,2.0,La_Liga,2023_2024,62.0,57.0,47.0,105.0,758.0,1597.0,2.0,1.0,1.0,2.0,1.0
Barcelona,29,26,64.0,38,418,3420,38,76,55.0,131.0,70,6,7,87,2,2,1.0,3.0,1,3.0,La_Liga,2023_2024,77.0,72.0,57.0,129.0,964.0,1925.0,3.0,2.0,1.0,3.0,1.0
Betis,35,27,50.0,38,418,3420,38,46,31.0,77.0,44,2,3,87,3,1,0.0,2.0,1,1.0,La_Liga,2023_2024,43.0,41.0,32.0,74.0,676.0,1441.0,1.0,1.0,0.0,2.0,1.0
Cádiz,34,28,43.0,38,418,3420,38,25,17.0,42.0,22,3,3,107,7,0,0.0,1.0,0,1.0,La_Liga,2023_2024,36.0,33.0,25.0,58.0,456.0,1017.0,1.0,0.0,0.0,1.0,0.0
Celta Vigo,31,26,46.0,38,418,3420,38,45,35.0,80.0,42,3,5,66,5,1,0.0,2.0,1,2.0,La_Liga,2023_2024,50.0,46.0,38.0,85.0,660.0,1345.0,2.0,1.0,1.0,2.0,1.0
Getafe,33,27,44.0,38,418,3420,38,42,27.0,69.0,36,6,7,135,10,1,0.0,1.0,0,1.0,La_Liga,2023_2024,45.0,40.0,27.0,68.0,439.0,1141.0,1.0,1.0,0.0,1.0,1.0
Girona,25,26,56.0,38,418,3420,38,84,64.0,148.0,77,7,8,75,1,2,1.0,3.0,2,3.0,La_Liga,2023_2024,70.0,64.0,54.0,118.0,894.0,1685.0,3.0,1.0,1.0,3.0,1.0
Granada,40,26,45.0,38,418,3420,38,35,27.0,62.0,30,5,8,98,4,0,0.0,1.0,0,1.0,La_Liga,2023_2024,42.0,36.0,31.0,67.0,512.0,1044.0,1.0,1.0,0.0,1.0,0.0
Las Palmas,29,25,59.0,38,418,3420,38,33,23.0,56.0,30,3,5,84,5,0,0.0,1.0,0,1.0,La_Liga,2023_2024,33.0,29.0,23.0,52.0,577.0,1596.0,1.0,0.0,0.0,1.0,0.0
Mallorca,25,28,45.0,38,418,3420,38,33,27.0,60.0,32,1,3,105,4,0,0.0,1.0,0,1.0,La_Liga,2023_2024,40.0,38.0,30.0,69.0,498.0,1174.0,1.0,1.0,0.0,1.0,1.0
Osasuna,29,27,47.0,38,418,3420,38,45,32.0,77.0,41,4,5,78,5,1,0.0,2.0,1,1.0,La_Liga,2023_2024,40.0,36.0,28.0,65.0,501.0,1322.0,1.0,1.0,0.0,1.0,0.0
Rayo Vallecano,26,29,49.0,38,418,3420,38,29,12.0,41.0,23,6,6,108,5,0,0.0,1.0,0,1.0,La_Liga,2023_2024,42.0,37.0,24.0,62.0,506.0,1335.0,0.0,1.0,0.0,1.0,0.0
Real Madrid,27,27,59.0,38,418,3420,38,85,66.0,151.0,83,2,5,69,4,2,1.0,3.0,2,3.0,La_Liga,2023_2024,68.0,65.0,52.0,117.0,950.0,1935.0,3.0,1.0,1.0,3.0,1.0
Real Sociedad,31,25,55.0,38,418,3420,38,48,36.0,84.0,44,4,4,98,2,1,0.0,2.0,1,1.0,La_Liga,2023_2024,44.0,41.0,30.0,72.0,685.0,1414.0,2.0,1.0,0.0,1.0,1.0
Sevilla,35,28,50.0,38,418,3420,38,46,30.0,76.0,44,2,2,108,4,1,0.0,2.0,1,1.0,La_Liga,2023_2024,44.0,43.0,31.0,75.0,635.0,1416.0,1.0,1.0,0.0,2.0,1.0
Valencia,29,23,44.0,38,418,3420,38,39,24.0,63.0,31,8,9,64,5,1,0.0,1.0,0,1.0,La_Liga,2023_2024,43.0,36.0,27.0,63.0,522.0,1162.0,1.0,1.0,0.0,1.0,0.0
Villarreal,32,27,49.0,38,418,3420,38,64,47.0,111.0,59,5,7,110,8,1,1.0,2.0,1,2.0,La_Liga,2023_2024,55.0,50.0,40.0,90.0,654.0,1558.0,2.0,1.0,1.0,2.0,1.0
