squad,#_of_players,average_age,possession,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non-penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals/90,assists/90,goals_+_assists/90,non-penalty_goals/90,npxg_+_xag/90,league,season,xg:_expected_goals,npxg:_non-penalty_xg,xag:_exp._assisted_goals,npxg_+_xag,progressive_carries,progressive_passes,non-penalty_goals_+_assists/90,xg/90,xag/90,xg_+_xag/90,npxg/90
LASK,31,26,54.0,32,352,2880,32,54,37.0,91.0,52,2,2,60,6,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2022_2023,,,,,,,,,,,
Rapid Wien,29,25,52.0,32,352,2880,32,50,34.0,84.0,47,3,5,78,5,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2022_2023,,,,,,,,,,,
RB Salzburg,31,22,56.0,32,352,2880,32,66,51.0,117.0,62,4,4,70,4,2,1.0,3.0,1,3.0,Austrian_Bundesliga,2022_2023,,,,,,,,,,,
Ried,33,25,45.0,32,352,2880,32,26,16.0,42.0,21,5,6,63,8,0,0.0,1.0,0,1.0,Austrian_Bundesliga,2022_2023,,,,,,,,,,,
SC Austria Lustenau,26,24,48.0,32,352,2880,32,49,36.0,85.0,43,6,6,62,4,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2022_2023,,,,,,,,,,,
SCR Altach,32,25,48.0,32,352,2880,32,27,21.0,48.0,27,0,1,75,3,0,0.0,1.0,0,1.0,Austrian_Bundesliga,2022_2023,,,,,,,,,,,
SK Austria Klagenfurt,25,27,46.0,32,352,2880,32,43,32.0,75.0,36,7,8,61,2,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2022_2023,,,,,,,,,,,
Sturm Graz,30,24,49.0,32,352,2880,32,57,37.0,94.0,52,5,7,59,1,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2022_2023,,,,,,,,,,,
Wolfsberger AC,26,24,49.0,32,352,2880,32,50,35.0,85.0,47,3,4,47,1,1,1.0,2.0,1,2.0,Austrian_Bundesliga,2022_2023,,,,,,,,,,,
WSG Tirol,26,24,49.0,32,352,2880,32,42,30.0,72.0,38,4,4,69,3,1,0.0,2.0,1,2.0,Austrian_Bundesliga,2022_2023,,,,,,,,,,,
