Competition Name,Gender,Country,Champion,Top Scorer
Isuzu UTE A-League,M,AUS,Central Coast Mariners FC,Jamie Maclaren - 24
Admiral Bundesliga,M,AUT,FC Red Bull Salzburg,Guido Burgstaller - 21
Jupiler Pro League,M,BEL,Royal Antwerp FC,Hugo Cuypers - 20
efbet League,M,BUL,PFC Ludogorets Razgrad,Ivaylo Chochev - 21
SuperSport HNL,M,CRO,GNK Dinamo Zagreb,Marko Livaja - 19
Fortuna:Liga,M,CZE,,Václav Jurečka - 20
3F Superliga,M,DEN,FC Copenhagen,Gustav Isaksen - 18
Premier League,M,ENG,Manchester City FC,Erling Haaland - 36
LaLiga Santander,M,ESP,FC Barcelona,Robert Lewandowski - 23
Ligue 1 Uber Eats,M,FRA,Paris Saint-Germain FC,Kylian Mbappé - 29
Fußball-Bundesliga,M,GER,FC Bayern Munich,"Niclas Füllkrug, Christopher Nkunku - 16"
Stoiximan Super League,M,GRE,AEK Athens FC,Cédric Bakambu - 18
OTP Bank Liga,M,HUN,Ferencvárosi TC,Barnabás Varga - 19
Hero Indian Super League,M,IND,Mohun Bagan AC,"Diego Maurício, Cleiton Silva - 12"
Persian Gulf Pro League,M,IRN,Persepolis FC,Shahriar Moghanlou - 13
Serie A TIM,M,ITA,SSC Napoli,Victor Osimhen - 26
Roshn Saudi League,M,KSA,Al-Ittihad FC,Abderrazak Hamdallah - 21
Liga BBVA MX,M,MEX,"Pachuca (T), UANL (T)",Henry Martín - 24
Eredivisie,M,NED,Feyenoord Rotterdam,"Anastasios Douvikas, Xavi Simons - 19"
PKO Bank Polski Ekstraklasa,M,POL,Raków Częstochowa,Marc Gual - 16
Liga Portugal Bwin,M,POR,SL Benfica,Mehdi Taremi - 22
SuperLiga,M,ROU,SSC Farul Constanța,Marko Dugandžić - 22
DStv Premiership,M,RSA,Mamelodi Sundowns FC,"Khanyisa Mayo, Peter Shalulile - 12"
Mir Russian Premier League,M,RUS,FC Zenit Saint Petersburg,Malcom - 23
cinch Premiership,M,SCO,Celtic FC,Kyogo Furuhashi - 27
Mozzart Bet SuperLiga,M,SRB,Red Star Belgrade,Ricardo Jorge Pires Gomes - 19
Credit Suisse Super League,M,SUI,BSC Young Boys,Jean-Pierre Nsame - 21
Spor Toto Süper Lig,M,TUR,Galatasaray SK,Enner Valencia - 29
VBet Liha,M,UKR,FC Shakhtar Donetsk,Artem Dovbyk - 24
