Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Žan Rogelj,si SVN,"MF,DF",WSG Tirol,22,1999,29,17,"1,563",17.4,3,1,4,3,0,0,2,0,0.17,0.06,0.23,0.17,0.23,Matches
Thomas Rotter,at AUT,DF,Hartberg,30,1992,17,14,"1,339",14.9,0,2,2,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,Matches
Thomas Sabitzer,at AUT,"FW,MF",WSG Tirol,21,2000,22,20,"1,671",18.6,4,3,7,3,1,1,2,0,0.22,0.16,0.38,0.16,0.32,Matches
Samuel Şahin-Radlinger,at AUT,GK,Ried,29,1992,26,26,"2,340",26.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Raphael Sallinger,at AUT,GK,Hartberg,26,1995,20,20,"1,798",20.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Mamadou Sangare,ml MLI,MF,Hartberg,20,2002,15,10,857,9.5,2,0,2,2,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches
Manprit Sarkaria,at AUT,FW,Sturm Graz,25,1996,28,23,"1,808",20.1,9,9,18,7,2,2,2,0,0.45,0.45,0.90,0.35,0.80,Matches
Nikolas Sattlberger,at AUT,MF,Rapid Wien,18,2004,3,2,208,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dragoljub Savić,rs SRB,MF,Rapid Wien,21,2001,2,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marcel Schantl,at AUT,DF,Hartberg,21,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tizian-Valentino Scharmer,at AUT,DF,Ried,18,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jonathan Scherzer,at AUT,"DF,MF",Wolfsberger AC,27,1995,13,11,833,9.3,0,2,2,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches
Thorsten Schick,at AUT,"DF,MF",Rapid Wien,32,1990,25,13,"1,272",14.1,0,5,5,0,0,0,7,0,0.00,0.35,0.35,0.00,0.35,Matches
Domenik Schierl,at AUT,GK,SC Austria Lustenau,28,1994,29,29,"2,610",29.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Raphael Schifferl,at AUT,DF,Wolfsberger AC,23,1999,20,16,"1,463",16.3,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches
Alexander Schlager,at AUT,GK,LASK,26,1996,25,25,"2,250",25.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Anthony Schmid,at AUT,"FW,MF",SC Austria Lustenau,23,1999,25,8,861,9.6,4,3,7,4,0,0,0,0,0.42,0.31,0.73,0.42,0.73,Matches
Alexander Schmidt,at AUT,FW,LASK,24,1998,2,0,37,0.4,0,1,1,0,0,0,0,0,0.00,2.43,2.43,0.00,2.43,Matches
