Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Taylan Antalyalı,tr TUR,MF,Galatasaray,27,1995,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nicholas Anwan,ng NGA,MF,Fatih Karagümrük,21,2001,19,5,508,5.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Aaron Appindangoyé,ga GAB,DF,Sivasspor,30,1992,18,14,"1,318",14.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Willian Arão,br BRA,MF,Fenerbahçe,29,1992,31,28,"2,296",25.5,0,4,4,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,Matches
Alp Arda,,GK,İstanbulspor,27,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ramón Arias,uy URU,DF,Giresunspor,30,1992,31,30,"2,596",28.8,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches
Batuhan Arici,,DF,Ümraniyespor,19,2003,2,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gboly Ariyibi,us USA,MF,Ankaragücü,27,1995,10,2,282,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hakan Arslan,tr TUR,MF,Sivasspor,34,1988,29,14,"1,347",15.0,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
Muhammet Arslantaş,tr TUR,FW,Başakşehir,21,2001,2,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ömürcan Artan,,"DF,MF",Gaziantep FK,23,1999,5,3,291,3.2,0,1,1,0,0,0,2,0,0.00,0.31,0.31,0.00,0.31,Matches
Serkan Asan,tr TUR,DF,Trabzonspor,23,1999,4,1,102,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Britt Assombalonga,cd COD,FW,Adana Demirspor,29,1992,12,4,408,4.5,2,1,3,2,0,0,1,0,0.44,0.22,0.66,0.44,0.66,Matches
Kerem Atakan Kesgin,tr TUR,MF,Beşiktaş,21,2000,6,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches

Kerem Atakan Kesgin,tr TUR,MF,Sivasspor,21,2000,2,2,155,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Onur Atasayar,,DF,Ümraniyespor,27,1995,18,18,"1,472",16.4,0,1,1,0,0,0,4,1,0.00,0.06,0.06,0.00,0.06,Matches
Christian Atsu,gh GHA,"FW,MF",Hatayspor,30,1992,3,0,48,0.5,1,0,1,1,0,0,0,0,1.87,0.00,1.87,1.87,1.87,Matches
Durel Avounou,cg CGO,MF,Ümraniyespor,24,1997,27,20,"1,739",19.3,5,2,7,5,0,0,3,1,0.26,0.10,0.36,0.26,0.36,Matches
Abdullah Aydın,,MF,İstanbulspor,22,2000,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Oğuz Aydın,tr TUR,"MF,FW",Alanyaspor,21,2000,28,9,"1,242",13.8,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches
Taylan Aydın,tr TUR,DF,Kasımpaşa,16,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Soner Aydoğdu,tr TUR,MF,Antalyaspor,31,1991,13,7,502,5.6,0,1,1,0,0,0,3,1,0.00,0.18,0.18,0.00,0.18,Matches
Berkay Aydoğmuş,,MF,Başakşehir,18,2004,3,1,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kaan Ayhan,tr TUR,DF,Galatasaray,27,1994,5,1,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Onur Ayık,tr TUR,"FW,MF",Ümraniyespor,32,1990,30,14,"1,483",16.5,2,0,2,2,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches
Serdar Aziz,tr TUR,DF,Fenerbahçe,31,1990,14,11,968,10.8,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
Mahamadou Ba,ml MLI,MF,İstanbulspor,22,1999,15,14,"1,142",12.7,1,0,1,1,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
Mame Baba Thiam,sn SEN,"FW,MF",Kayserispor,29,1992,27,22,"1,932",21.5,8,3,11,7,1,2,2,0,0.37,0.14,0.51,0.33,0.47,Matches
Volkan Babacan,tr TUR,GK,Başakşehir,33,1988,21,21,"1,890",21.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
