Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Ibrahim Amadou,fr FRA,"DF,MF",Metz,28,1993,10,10,812,9.0,1,0,1,1,0,0,4,0,0.4,0.4,0.1,0.5,6,21,1,0.11,0.00,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,Matches
Jordan Amavi,fr FRA,DF,Nice,27,1994,8,4,413,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,13,28,21,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Jordan Amavi,fr FRA,"DF,FW",Marseille,27,1994,2,2,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,9,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
Benjamin André,fr FRA,MF,Lille,30,1990,33,33,"2,752",30.6,2,1,3,2,0,0,12,1,1.4,1.4,1.3,2.7,38,178,59,0.07,0.03,0.10,0.07,0.10,0.05,0.04,0.09,0.05,0.09,Matches
Houssem Aouar,dz ALG,"MF,FW",Lyon,23,1998,36,29,"2,504",27.8,6,4,10,6,0,0,1,0,6.3,6.3,4.5,10.8,88,165,169,0.22,0.14,0.36,0.22,0.36,0.22,0.16,0.39,0.22,0.39,Matches

Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,19,2002,35,11,"1,081",12.0,0,4,4,0,0,0,2,0,1.2,1.2,1.6,2.8,43,75,61,0.00,0.33,0.33,0.00,0.33,0.10,0.14,0.23,0.10,0.23,Matches
Dennis Appiah,fr FRA,DF,Nantes,29,1992,32,22,"2,099",23.3,0,0,0,0,0,0,4,0,0.0,0.0,0.3,0.3,25,69,58,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Lorenz Assignon,tg TOG,DF,Rennes,21,2000,20,5,616,6.8,0,2,2,0,0,0,0,0,0.7,0.7,1.1,1.9,19,27,45,0.00,0.29,0.29,0.00,0.29,0.11,0.17,0.27,0.11,0.27,Matches
Youcef Atal,dz ALG,DF,Nice,25,1996,17,13,"1,140",12.7,2,1,3,2,0,0,4,0,0.9,0.9,1.3,2.2,63,44,106,0.16,0.08,0.24,0.16,0.24,0.07,0.11,0.18,0.07,0.18,Matches
Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,24,1997,7,0,84,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,0,7,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
