Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Miha Blažič,si SVN,DF,Lech Poznań,30,1993,24,22,"1,955",21.7,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches
Alexander Bobek,pl POL,GK,Łódzki KS,19,2004,27,27,"2,430",27.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Mateusz Bochnak,pl POL,"MF,FW",Cracovia,25,1998,24,9,857,9.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Damjan Bohar,si SVN,MF,Zagłębie Lubin,31,1991,12,5,401,4.5,1,0,1,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches
Leonardo Borges,br BRA,DF,Pogoń Szczecin,22,2001,24,7,969,10.8,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches
Filip Borowski,pl POL,"MF,FW",Warta Poznań,19,2003,24,8,932,10.4,0,1,1,0,0,0,4,1,0.00,0.10,0.10,0.00,0.10,Matches
Cameron Borthwick-Jackson,eng ENG,"DF,MF",Śląsk Wrocław,26,1997,2,0,27,0.3,0,1,1,0,0,0,0,0,0.00,3.33,3.33,0.00,3.33,Matches
Karol Borys,pl POL,MF,Śląsk Wrocław,16,2006,3,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Raphael Branco,br BRA,DF,Radomiak Radom,33,1990,30,29,"2,579",28.7,1,0,1,1,0,0,11,0,0.03,0.00,0.03,0.03,0.03,Matches
Marius Briceag,ro ROU,DF,Korona Kielce,31,1992,15,14,"1,233",13.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Michał Buchalik,pl POL,GK,Ruch Chorzów,34,1989,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
