Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Bilal Bari,ma MAR,FW,Levski Sofia,25,1998,6,0,109,1.2,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Antoine Baroan,fr FRA,FW,Botev Plovdiv,23,2000,12,9,839,9.3,8,,,6,2,2,2,0,0.86,,,0.64,,Matches
Federico Barrios,co COL,GK,Botev Vratsa,26,1996,23,23,"2,070",23.0,0,,,0,0,0,3,0,0.00,,,0.00,,Matches
Angel Bastunov,bg BUL,FW,PFC Hebar Pazardzhik,24,1999,33,32,"2,824",31.4,4,,,4,0,0,7,1,0.13,,,0.13,,Matches
Alpha Bedor Conteh,sl SLE,FW,Loko Plovdiv,23,2000,20,9,919,10.2,4,,,4,0,0,4,0,0.39,,,0.39,,Matches
Ventsislav Bengyuzov,bg BUL,MF,Pirin Blagoevgrad,32,1991,26,23,"1,877",20.9,2,,,1,1,1,9,0,0.10,,,0.05,,Matches
Javier Betegón,pa PAN,FW,Etar,20,2003,8,0,101,1.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Berk Beyhan,bg BUL,FW,Cherno More,18,2004,8,0,34,0.4,0,,,0,0,0,0,0,0.00,,,0.00,,Matches

Messie Biatoumoussoka,cg CGO,DF,Botev Vratsa,25,1998,12,12,"1,079",12.0,0,,,0,0,0,4,1,0.00,,,0.00,,Matches
Ryan Bidounga,cg CGO,DF,CSKA 1948,26,1997,5,1,112,1.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Nikolay Bodurov,bg BUL,DF,Pirin Blagoevgrad,37,1986,14,11,"1,050",11.7,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Biser Bonev,bg BUL,MF,FK Levski 2005,20,2003,8,0,205,2.3,0,,,0,0,0,3,0,0.00,,,0.00,,Matches
Biser Bonev,bg BUL,MF,Botev Plovdiv,20,2003,1,1,90,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Preslav Borukov,bg BUL,MF,Arda,23,2000,20,13,"1,234",13.7,6,,,6,0,0,4,0,0.44,,,0.44,,Matches
Chahreddine Boukholda,fr FRA,MF,Etar,27,1996,21,13,"1,204",13.4,2,,,2,0,0,0,0,0.15,,,0.15,,Matches
Lazar Boyanov,bg BUL,DF,Pirin Blagoevgrad,20,2003,7,4,339,3.8,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Marto Boychev,bg BUL,FW,CSKA 1948,15,2008,1,0,60,0.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Kristian Boytchev,bg BUL,MF,CSKA 1948,17,2005,4,1,172,1.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Rosen Bozhinov,bg BUL,DF,CSKA 1948,18,2005,16,15,"1,296",14.4,0,,,0,0,0,0,1,0.00,,,0.00,,Matches
Mohamed Brahimi,fr FRA,FW,Botev Plovdiv,24,1998,10,5,523,5.8,0,,,0,0,0,3,0,0.00,,,0.00,,Matches
Bruno,br BRA,DF,Lokomotiv Sofia,25,1998,34,32,"2,800",31.1,0,,,0,0,0,4,0,0.00,,,0.00,,Matches
Aleksandar Buchkov,bg BUL,DF,Pirin Blagoevgrad,19,2003,2,2,168,1.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Ilker Budinov,bg BUL,DF,Botev Vratsa,22,2000,4,3,209,2.3,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Ilker Budinov,bg BUL,DF,Etar,22,2000,8,3,285,3.2,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Gustavo Busatto,br BRA,GK,CSKA Sofia,32,1990,33,33,"2,929",32.5,0,,,0,0,0,5,1,0.00,,,0.00,,Matches
Andreas Calcan,ro ROU,"FW,MF",Cherno More,29,1994,14,8,776,8.6,2,,,2,0,0,2,0,0.23,,,0.23,,Matches
Ronaldo Camará,gw GNB,MF,Beroe,20,2003,10,4,447,5.0,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Marcel Canadi,at AUT,FW,PFC Hebar Pazardzhik,25,1997,12,4,376,4.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Moses Candidus,ng NGA,MF,Etar,21,2002,9,7,582,6.5,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Thalis Cantanhede,br BRA,MF,CSKA 1948,27,1996,23,19,"1,658",18.4,0,,,0,0,0,4,0,0.00,,,0.00,,Matches
Joachim Carcela,be BEL,MF,Etar,23,1999,14,13,"1,074",11.9,3,,,3,0,0,5,0,0.25,,,0.25,,Matches
Gonçalo Cardoso,pt POR,DF,Lokomotiv Sofia,22,2000,17,16,"1,403",15.6,1,,,1,0,0,5,1,0.06,,,0.06,,Matches
Johnathan Carlos Pereira,br BRA,DF,CSKA 1948,28,1995,5,2,244,2.7,0,,,0,0,0,1,0,0.00,,,0.00,,Matches

Marcelino Carreazo,co COL,MF,CSKA Sofia,24,1999,29,29,"2,400",26.7,3,,,3,0,0,6,0,0.11,,,0.11,,Matches
Gustavo Cascardo,br BRA,DF,Arda,26,1997,3,3,214,2.4,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Gustavo Cascardo,br BRA,DF,Beroe,26,1997,18,18,"1,509",16.8,0,,,0,0,0,3,0,0.00,,,0.00,,Matches
Thiago Ceijas,ar ARG,MF,Beroe,22,2001,17,14,"1,311",14.6,0,,,0,0,0,7,0,0.00,,,0.00,,Matches
Francesco Celeste,ar ARG,MF,Beroe,29,1994,10,7,603,6.7,1,,,1,0,0,3,0,0.15,,,0.15,,Matches
Ronaldo Cesar,br BRA,FW,Levski Sofia,22,2000,17,17,"1,479",16.4,4,,,4,0,0,0,0,0.24,,,0.24,,Matches
João Cesco,pt POR,DF,PFC Hebar Pazardzhik,22,2001,25,21,"1,859",20.7,1,,,1,0,0,4,0,0.05,,,0.05,,Matches
Mike Cevallos,ec ECU,FW,Beroe,22,2001,17,11,998,11.1,2,,,2,0,0,1,0,0.18,,,0.18,,Matches
Asen Chandarov,bg BUL,"FW,MF",Levski Sofia,24,1998,26,2,646,7.2,0,,,0,0,0,2,1,0.00,,,0.00,,Matches
Atanas Chernev,bg BUL,DF,Botev Plovdiv,21,2002,20,17,"1,565",17.4,1,,,1,0,0,3,0,0.06,,,0.06,,Matches
Ivaylo Chochev,bg BUL,MF,Ludogorets,30,1993,14,4,506,5.6,1,,,1,0,0,0,0,0.18,,,0.18,,Matches
Ivaylo Chochev,bg BUL,MF,CSKA 1948,30,1993,17,16,"1,485",16.5,6,,,3,3,3,1,0,0.36,,,0.18,,Matches
Georgi Chorbadzhiyski,bg BUL,MF,CSKA Sofia,18,2004,5,1,122,1.4,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Mounir Chouiar,fr FRA,"FW,MF",Ludogorets,24,1999,7,2,259,2.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Jaisen Clifford,za RSA,MF,Etar,27,1996,3,0,55,0.6,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Antoine Conte,gn GUI,DF,Botev Plovdiv,29,1994,15,15,"1,276",14.2,0,,,0,0,0,6,0,0.00,,,0.00,,Matches
Brayan Córdoba,co COL,DF,CSKA Sofia,23,1999,21,18,"1,688",18.8,0,,,0,0,0,3,0,0.00,,,0.00,,Matches
José Cordoba,pa PAN,DF,Levski Sofia,22,2001,29,29,"2,553",28.4,0,,,0,0,0,8,1,0.00,,,0.00,,Matches
Luis Cordova,ec ECU,DF,Etar,20,2003,8,4,457,5.1,0,,,0,0,0,4,1,0.00,,,0.00,,Matches
Jean-Pierre Da Sylva,fr FRA,MF,Botev Vratsa,26,1997,19,3,623,6.9,1,,,1,0,0,3,0,0.14,,,0.14,,Matches
Arlind Dakaj,ch SUI,MF,Cherno More,21,2001,13,1,188,2.1,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Nikolay Danailov,bg BUL,MF,FK Levski 2005,15,2007,1,0,1,0.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Reyan Daskalov,bg BUL,MF,CSKA 1948,28,1995,20,14,"1,300",14.4,0,,,0,0,0,5,0,0.00,,,0.00,,Matches
Petar Debarliev,bg BUL,GK,PFC Hebar Pazardzhik,32,1991,20,20,"1,800",20.0,0,,,0,0,0,2,0,0.00,,,0.00,,Matches
Spas Delev,bg BUL,"FW,MF",Ludogorets,33,1989,27,8,906,10.1,3,,,3,0,0,1,0,0.30,,,0.30,,Matches

Kellian van der Kaap,nl NED,DF,Levski Sofia,24,1998,25,23,"2,119",23.5,0,,,0,0,0,4,0,0.00,,,0.00,,Matches
Kiril Despodov,bg BUL,"FW,MF",Ludogorets,26,1996,4,1,165,1.8,2,,,1,1,1,1,0,1.09,,,0.55,,Matches
Modou Diagne,sn SEN,DF,Pirin Blagoevgrad,29,1994,11,10,815,9.1,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Moussa Diallo,mr MTN,"DF,MF",Beroe,26,1997,3,0,71,0.8,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Cheikh Diamanka,es ESP,DF,PFC Hebar Pazardzhik,22,2001,13,6,671,7.5,3,,,3,0,0,5,0,0.40,,,0.40,,Matches
Alan Dias,br BRA,DF,Lokomotiv Sofia,24,1998,10,10,849,9.4,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Martin Dichev,bg BUL,DF,Cherno More,22,2000,4,1,100,1.1,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
