Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Andreas Hansen,dk DEN,GK,Nordsjælland,27,1995,29,29,"2,610",29.0,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches
Jesper Hansen,dk DEN,GK,AGF,38,1985,13,11,"1,090",12.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Kian Hansen,dk DEN,DF,Nordsjælland,34,1989,29,29,"2,470",27.4,1,1,2,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,Matches
Mads Hansen,dk DEN,"MF,FW",Nordsjælland,21,2002,19,9,836,9.3,2,1,3,2,0,0,1,0,0.22,0.11,0.32,0.22,0.32,Matches
Martin Hansen,dk DEN,GK,Odense,33,1990,10,10,855,9.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sabil Hansen,no NOR,MF,Randers,17,2005,6,1,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marco Harboe Ramkilde,dk DEN,FW,Hvidovre IF,25,1998,6,0,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Conrad Harder,dk DEN,FW,Nordsjælland,18,2005,23,6,601,6.7,5,0,5,5,0,0,4,0,0.75,0.00,0.75,0.75,0.75,Matches

Simon Hedlund,se SWE,"FW,MF",Brøndby,30,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Henrik Heggheim,no NOR,DF,Brøndby,22,2001,13,10,857,9.5,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
Filip Helander,se SWE,DF,Odense,30,1993,22,21,"1,788",19.9,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches
Lundrim Hetemi,dk DEN,MF,Vejle BK,23,2000,3,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Hey,dk DEN,DF,Nordsjælland,20,2003,20,7,839,9.3,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
Lucas Hey,dk DEN,DF,Lyngby,20,2003,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Charly Horneman,dk DEN,MF,Odense,19,2004,24,14,"1,145",12.7,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches
Benjamin Hvidt,dk DEN,MF,AGF,23,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Høegh,dk DEN,DF,Randers,32,1991,27,27,"2,378",26.4,2,1,3,2,0,0,1,0,0.08,0.04,0.11,0.08,0.11,Matches
Emil Højlund,dk DEN,FW,FC Copenhagen,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Oscar Højlund,dk DEN,MF,FC Copenhagen,18,2005,11,5,392,4.4,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches
Frederik Ibsen,dk DEN,DF,Brøndby,23,1999,16,16,"1,429",15.9,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
Ahmed Iljazovski,mk MKD,"DF,MF",Hvidovre IF,26,1997,28,25,"2,125",23.6,0,2,2,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matches
Sverrir Ingi Ingason,is ISL,DF,Midtjylland,29,1993,24,24,"2,083",23.1,2,1,3,2,0,0,7,1,0.09,0.04,0.13,0.09,0.13,Matches
Marcus Ingvartsen,dk DEN,"FW,MF",Nordsjælland,27,1996,28,23,"1,894",21.0,9,3,12,7,2,3,1,0,0.43,0.14,0.57,0.33,0.48,Matches
Mustapha Isah,ng NGA,FW,Randers,19,2004,5,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Gustav Isaksen,dk DEN,MF,Midtjylland,22,2001,2,2,157,1.7,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,Matches
