Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Jonas Abbew,dk DEN,DF,Nordsjælland,20,2002,3,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Elias Achouri,tn TUN,"FW,MF",Viborg,23,1999,24,15,"1,448",16.1,6,5,11,6,0,0,5,0,0.37,0.31,0.68,0.37,0.68,Matches
Tonni Adamsen,dk DEN,FW,Silkeborg,27,1994,28,19,"1,642",18.2,10,1,11,9,1,1,1,0,0.55,0.05,0.60,0.49,0.55,Matches
Aske Adelgaard,dk DEN,DF,Odense,18,2003,22,16,"1,341",14.9,0,1,1,0,0,0,4,2,0.00,0.07,0.07,0.00,0.07,Matches
Martin Agnarsson,fo FRO,DF,Viborg,18,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jakob Ahlmann Nielsen,dk DEN,DF,Aalborg,31,1991,23,12,"1,201",13.3,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches
Akinkunmi Amoo,ng NGA,FW,FC Copenhagen,20,2002,2,0,39,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Andersen,dk DEN,"MF,FW",Aalborg,27,1994,31,20,"1,745",19.4,1,4,5,1,0,0,2,0,0.05,0.21,0.26,0.05,0.26,Matches
Mikael Anderson,is ISL,"MF,FW",AGF,24,1998,26,24,"1,994",22.2,5,1,6,5,0,0,4,0,0.23,0.05,0.27,0.23,0.27,Matches
Adam Andersson,se SWE,DF,Randers,25,1996,26,19,"1,822",20.2,1,3,4,1,0,0,0,0,0.05,0.15,0.20,0.05,0.20,Matches
Hugo Andersson,se SWE,DF,Randers,23,1999,26,22,"2,004",22.3,3,0,3,3,0,0,6,0,0.13,0.00,0.13,0.13,0.13,Matches
Joel Andersson,se SWE,"DF,MF",Midtjylland,25,1996,16,15,"1,150",12.8,0,2,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches
Valdemar Andreasen,dk DEN,MF,Midtjylland,17,2005,5,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Aske Andresen,dk DEN,GK,Silkeborg,17,2005,1,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jakob Ankersen,dk DEN,MF,Randers,31,1990,29,17,"1,590",17.7,3,4,7,3,0,0,1,0,0.17,0.23,0.40,0.17,0.40,Matches
Peter Ankersen,dk DEN,DF,FC Copenhagen,31,1990,12,9,733,8.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Oliver Antman,fi FIN,FW,Nordsjælland,20,2001,16,4,485,5.4,2,1,3,2,0,0,0,0,0.37,0.19,0.56,0.37,0.56,Matches
