Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Shehu Abdullahi,ng NGA,"DF,MF",Levski Sofia,29,1993,8,3,363,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Anicet Abel,mg MAD,"FW,MF",Beroe,32,1990,11,11,955,10.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Martin Achkov,bg BUL,DF,Septemvri Sofia,23,1999,24,15,"1,491",16.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Ahmed Ahmedov,bg BUL,FW,Slavia Sofia,27,1995,32,17,"1,482",16.5,4,0,4,4,0,0,3,0,0.24,0.00,0.24,0.24,0.24,Matches
Oktay Ahmedov Hamdiev,bg BUL,FW,PFC Hebar Pazardzhik,22,2000,33,30,"2,333",25.9,2,0,2,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
Samuel Akere,ng NGA,FW,Botev Plovdiv,18,2004,12,4,432,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Aleksandar Aleksandrov,bg BUL,FW,Lokomotiv Sofia,28,1994,10,2,166,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Denislav Aleksandrov,bg BUL,MF,Loko Plovdiv,25,1997,11,3,310,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Denislav Aleksandrov,bg BUL,MF,CSKA 1948,25,1997,8,1,189,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sasho Aleksandrov,bg BUL,DF,CSKA 1948,36,1986,7,5,439,4.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Simeon Aleksandrov,bg BUL,FW,Septemvri Sofia,18,2003,23,19,"1,589",17.7,5,0,5,5,0,0,4,0,0.28,0.00,0.28,0.28,0.28,Matches
Simeon Aleksandrov,bg BUL,FW,CSKA Sofia,18,2003,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dzhuinet Ali,bg BUL,DF,Arda,27,1994,21,15,"1,259",14.0,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches
Sami El Anabi,be BEL,DF,FC Spartak Varna,22,2000,6,4,344,3.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Petar Andreev,bg BUL,MF,Loko Plovdiv,18,2004,8,1,155,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Plamen Andreev,bg BUL,GK,Levski Sofia,17,2004,32,32,"2,880",32.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
