Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Zé Uilton,br BRA,"FW,MF",Paços,30,1992,29,15,"1,378",15.3,1,1,2,1,0,0,4,1,1.5,1.5,2.3,3.8,40,32,82,0.07,0.07,0.13,0.07,0.13,0.10,0.15,0.25,0.10,0.25,Matches
Ukra,pt POR,"FW,MF",Rio Ave,34,1988,15,2,367,4.1,0,2,2,0,0,0,2,0,0.1,0.1,1.0,1.0,9,21,30,0.00,0.49,0.49,0.00,0.49,0.02,0.24,0.26,0.02,0.26,Matches
Mateus Uribe,co COL,MF,Porto,31,1991,31,29,"2,455",27.3,4,0,4,2,2,2,8,1,4.7,3.1,1.2,4.3,16,221,34,0.15,0.00,0.15,0.07,0.07,0.17,0.04,0.22,0.11,0.16,Matches
Rodrigo Valente,pt POR,"MF,FW",Santa Clara,21,2001,5,0,95,1.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,2,4,1,0.00,0.00,0.00,0.00,0.00,0.32,0.15,0.47,0.32,0.47,Matches
João Valido,pt POR,GK,Arouca,22,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bruno Varela,cv CPV,GK,Vitória,27,1994,27,27,"2,430",27.0,0,1,1,0,0,0,4,0,0.0,0.0,0.9,0.9,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.03,0.03,0.00,0.03,Matches
Fernando Varela,cv CPV,DF,Casa Pia,34,1987,27,25,"2,030",22.6,1,0,1,1,0,0,3,0,1.6,1.6,0.2,1.8,8,49,1,0.04,0.00,0.04,0.04,0.04,0.07,0.01,0.08,0.07,0.08,Matches
Luciano Vega,ar ARG,"MF,FW",Marítimo,23,1999,7,0,186,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,4,8,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.16,0.14,0.16,Matches
Danilo Veiga,pt POR,DF,Gil Vicente FC,19,2002,9,8,681,7.6,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,20,27,37,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
Igor Vekič,si SVN,GK,Paços,24,1998,10,9,821,9.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Bruno Ventura,pt POR,FW,Rio Ave,21,2001,3,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,2,1,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Lucas Veríssimo,br BRA,DF,Benfica,27,1995,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Gabriel Veron,br BRA,"MF,FW",Porto,19,2002,17,2,405,4.5,0,2,2,0,0,0,1,0,1.3,1.3,2.0,3.3,19,17,55,0.00,0.44,0.44,0.00,0.44,0.30,0.45,0.75,0.30,0.75,Matches
Jan Vertonghen,be BEL,DF,Benfica,35,1987,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches

André Vidigal,pt POR,"FW,MF",Marítimo,23,1998,32,28,"2,572",28.6,8,0,8,8,0,0,7,1,8.1,8.1,1.6,9.7,73,70,186,0.28,0.00,0.28,0.28,0.28,0.28,0.06,0.34,0.28,0.34,Matches
Gabriel Vieira,br BRA,"FW,MF",Santa Clara,20,2002,33,24,"2,194",24.4,5,2,7,4,1,2,5,0,6.4,4.9,3.4,8.2,61,33,124,0.21,0.08,0.29,0.16,0.25,0.26,0.14,0.40,0.20,0.34,Matches
João Vigário,pt POR,DF,Paços,26,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mikel Villanueva,ve VEN,DF,Vitória,29,1993,29,29,"2,536",28.2,1,1,2,1,0,0,1,0,1.1,1.1,1.1,2.2,7,65,2,0.04,0.04,0.07,0.04,0.07,0.04,0.04,0.08,0.04,0.08,Matches
Bernardo Vital,pt POR,DF,Estoril,21,2000,26,25,"2,259",25.1,0,0,0,0,0,0,5,0,0.3,0.3,0.1,0.4,10,49,2,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches
Vitinha,pt POR,FW,Braga,22,2000,17,12,"1,097",12.2,7,2,9,7,0,0,2,0,6.1,6.1,1.4,7.5,25,15,85,0.57,0.16,0.74,0.57,0.74,0.50,0.12,0.61,0.50,0.61,Matches
Vitinho,br BRA,"MF,FW",Arouca,22,2000,9,2,245,2.7,0,2,2,0,0,0,1,0,0.2,0.2,1.0,1.2,5,11,25,0.00,0.73,0.73,0.00,0.73,0.07,0.38,0.45,0.07,0.45,Matches
Paulo Vitor,br BRA,"MF,DF",Rio Ave,23,1999,25,11,"1,109",12.3,1,1,2,1,0,0,3,0,0.7,0.7,1.4,2.1,44,18,93,0.08,0.08,0.16,0.08,0.16,0.05,0.12,0.17,0.05,0.17,Matches
Steven Vitória,ca CAN,DF,Chaves,35,1987,31,30,"2,643",29.4,7,0,7,2,5,6,5,1,6.1,1.4,0.7,2.0,4,61,1,0.24,0.00,0.24,0.07,0.07,0.21,0.02,0.23,0.05,0.07,Matches
Odisseas Vlachodimos,gr GRE,GK,Benfica,28,1994,34,34,"3,057",34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ilija Vukotić,me MNE,MF,Boavista,23,1999,13,5,404,4.5,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,18,3,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Wagner,br BRA,DF,Portimonense,23,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Masaki Watai,jp JPN,"MF,FW",Boavista,23,1999,15,5,519,5.8,1,1,2,1,0,0,2,1,0.3,0.3,1.0,1.2,13,26,37,0.17,0.17,0.35,0.17,0.35,0.04,0.17,0.21,0.04,0.21,Matches
Julian Weigl,de GER,MF,Benfica,26,1995,2,0,58,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,9,2,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
Wendell,br BRA,DF,Porto,29,1993,26,24,"1,965",21.8,1,2,3,1,0,0,4,0,0.6,0.6,1.8,2.5,81,78,110,0.05,0.09,0.14,0.05,0.14,0.03,0.08,0.11,0.03,0.11,Matches
Weverson,br BRA,"DF,FW",Arouca,22,2000,4,1,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,3,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.23,0.00,0.23,Matches
Willyan,br BRA,"DF,MF",Portimonense,27,1995,4,4,360,4.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,20,5,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
