Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Amir Abdijanovic,at AUT,FW,SCR Altach,22,2001,15,0,246,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
David Affengruber,at AUT,DF,Sturm Graz,22,2001,28,24,"2,157",24.0,2,0,2,2,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches
Sandro Altunashvili,ge GEO,MF,Wolfsberger AC,26,1997,26,25,"2,121",23.6,0,1,1,0,0,0,9,0,0.00,0.04,0.04,0.00,0.04,Matches
Anderson,br BRA,"DF,MF",SC Austria Lustenau,25,1998,27,25,"2,028",22.5,1,2,3,1,0,0,3,1,0.04,0.09,0.13,0.04,0.13,Matches
Andrés Andrade Cedeño,pa PAN,DF,LASK,24,1998,30,30,"2,700",30.0,0,2,2,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
Jonas Arweiler,de GER,FW,SK Austria Klagenfurt,26,1997,25,16,"1,451",16.1,1,3,4,1,0,0,2,0,0.06,0.19,0.25,0.06,0.25,Matches
Fisnik Asllani,xk KVX,FW,Austria Wien,20,2002,16,11,845,9.4,4,1,5,4,0,0,1,0,0.43,0.11,0.53,0.43,0.53,Matches
Jonas Auer,at AUT,DF,Rapid Wien,22,2000,26,24,"2,134",23.7,1,2,3,1,0,0,5,0,0.04,0.08,0.13,0.04,0.13,Matches
Donis Avdijaj,xk KVX,"MF,FW",Hartberg,26,1996,25,23,"2,009",22.3,12,4,16,12,0,0,5,1,0.54,0.18,0.72,0.54,0.72,Matches
Sanoussy Ba,de GER,MF,LASK,19,2004,11,2,307,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Felix Bacher,at AUT,DF,WSG Tirol,22,2000,28,28,"2,461",27.3,1,1,2,1,0,0,8,1,0.04,0.04,0.07,0.04,0.07,Matches
Nikolai Baden Frederiksen,dk DEN,FW,SC Austria Lustenau,23,2000,10,8,619,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Sofian Bahloul,fr FRA,MF,SCR Altach,23,1999,12,1,332,3.7,2,1,3,2,0,0,3,0,0.54,0.27,0.81,0.54,0.81,Matches
Mike-Steven Bähre,de GER,MF,SCR Altach,27,1995,30,30,"2,477",27.5,5,0,5,2,3,3,13,0,0.18,0.00,0.18,0.07,0.07,Matches
Samson Baidoo,at AUT,DF,RB Salzburg,19,2004,17,14,"1,401",15.6,2,1,3,2,0,0,1,0,0.13,0.06,0.19,0.13,0.19,Matches
Ante Bajic,at AUT,MF,Rapid Wien,27,1995,6,2,232,2.6,1,1,2,1,0,0,2,0,0.39,0.39,0.78,0.39,0.78,Matches
Husein Balic,at AUT,"FW,MF",LASK,27,1996,5,0,119,1.3,1,0,1,1,0,0,0,0,0.76,0.00,0.76,0.76,0.76,Matches
