Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Dilan Ortiz,co COL,FW,Radnički Kragujevac,23,2000,10,7,573,6.4,1,1,2,1,0,0,0,0,0.16,0.16,0.31,0.16,0.31,Matches
Kwaku Osei Bonsu,gh GHA,FW,Spartak Subotic,22,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Leonard Owusu,gh GHA,MF,Partizan,26,1997,18,15,"1,329",14.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches

Samuel Owusu,gh GHA,MF,Čukarički,27,1996,3,1,122,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Filip Pajović,rs SRB,GK,Novi Pazar,30,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Filip Pajović,rs SRB,GK,Radnički Kragujevac,30,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dušan Pantelić,rs SRB,MF,FK Železničar Pančevo,30,1993,17,14,"1,114",12.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Danilo Pantić,rs SRB,MF,Partizan,26,1996,2,0,37,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Miloš Pantović,rs SRB,MF,TSC Bačka Top,20,2002,37,29,"2,293",25.5,11,9,20,10,1,1,1,0,0.43,0.35,0.78,0.39,0.75,Matches
Dejan Parađina,rs SRB,FW,Napredak Kruš,24,1999,2,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Milan Pavkov,rs SRB,FW,Čukarički,29,1994,8,4,402,4.5,2,0,2,2,0,0,2,0,0.45,0.00,0.45,0.45,0.45,Matches
