Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Brenden Aaronson,us USA,"MF,FW",RB Salzburg,20,2000,26,21,"1,889",21.0,4,4,8,3,1,1,1,0,0.19,0.19,0.38,0.14,0.33,Matches
Amir Abdijanovic,at AUT,FW,SCR Altach,20,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Junior Adamu,at AUT,FW,RB Salzburg,20,2001,30,20,"1,632",18.1,7,3,10,7,0,1,1,0,0.39,0.17,0.55,0.39,0.55,Matches
Karim Adeyemi,de GER,FW,RB Salzburg,19,2002,29,24,"1,941",21.6,19,5,24,15,4,4,4,0,0.88,0.23,1.11,0.70,0.93,Matches
David Affengruber,at AUT,DF,Sturm Graz,20,2001,30,29,"2,602",28.9,1,1,2,1,0,0,3,0,0.03,0.03,0.07,0.03,0.07,Matches
Sebastian Aigner,at AUT,MF,SCR Altach,20,2001,22,10,935,10.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Emanuel Aiwum,at AUT,"DF,MF",Rapid Wien,20,2000,23,21,"1,919",21.3,2,2,4,2,0,0,8,0,0.09,0.09,0.19,0.09,0.19,Matches
Emanuel Aiwum,at AUT,DF,Admira,20,2000,5,5,450,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
Alfinete,br BRA,MF,Admira,23,1998,8,2,231,2.6,1,1,2,1,0,0,0,0,0.39,0.39,0.78,0.39,0.78,Matches
Pape Alioune Ndiaye,fr FRA,DF,SCR Altach,23,1998,16,15,"1,289",14.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Gloire Amanda,ca CAN,MF,SK Austria Klagenfurt,22,1998,10,1,126,1.4,1,0,1,1,0,0,0,1,0.71,0.00,0.71,0.71,0.71,Matches
Andrés Andrade Cedeño,pa PAN,DF,LASK,22,1998,2,2,146,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Marc Andre Schmerböck,at AUT,MF,Hartberg,27,1994,12,3,416,4.6,1,1,2,1,0,0,0,0,0.22,0.22,0.43,0.22,0.43,Matches
Mario Andric,at AUT,DF,WSG Tirol,23,1998,3,0,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tobias Anselm,at AUT,FW,WSG Tirol,21,2000,8,8,569,6.3,1,3,4,1,0,0,1,0,0.16,0.47,0.63,0.16,0.63,Matches
Kelvin Arase,at AUT,"MF,FW",Rapid Wien,22,1999,23,9,918,10.2,1,2,3,1,0,0,1,0,0.10,0.20,0.29,0.10,0.29,Matches
Jonas Auer,at AUT,"DF,MF",Rapid Wien,20,2000,21,10,"1,027",11.4,0,3,3,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,Matches
