Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches


Ognjen Abramušić,rs SRB,FW,Vojvodina,17,2003,2,0,18,0.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Almir Aganspahić,ba BIH,FW,Novi Pazar,24,1996,20,20,"1,673",18.6,7,,,4,3,3,2,0,0.38,,,0.22,,Matches
Almir Aganspahić,ba BIH,FW,Čukarički,24,1996,11,4,426,4.7,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Edin Ajdinović,rs SRB,MF,Voždovac,20,2001,28,9,"1,007",11.2,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Nikola Aksentijević,rs SRB,DF,Radnički Niš,28,1993,33,29,"2,513",27.9,1,,,1,0,0,5,0,0.04,,,0.04,,Matches
Semir Alić,rs SRB,DF,Novi Pazar,17,2004,4,0,86,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Aleksandar Andrejević,rs SRB,DF,Proleter NS,29,1992,12,9,813,9.0,0,,,0,0,0,5,1,0.00,,,0.00,,Matches
Nemanja Andrić,rs SRB,MF,FK Kolubara,34,1987,25,5,763,8.5,3,,,3,0,0,0,0,0.35,,,0.35,,Matches
Nikola Andrić,rs SRB,DF,Radnički Kragujevac,29,1992,15,15,"1,350",15.0,0,,,0,0,0,4,0,0.00,,,0.00,,Matches
Eric Ansu Appiah,gh GHA,FW,Metalac GM,20,2001,2,0,29,0.3,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Dimitrije Antić,rs SRB,FW,FK Kolubara,18,2003,3,1,60,0.7,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Goran Antonić,rs SRB,DF,TSC Bačka Top,30,1990,28,21,"2,025",22.5,0,,,0,0,0,4,0,0.00,,,0.00,,Matches
Filip Antonijević,rs SRB,DF,Metalac GM,21,2000,29,28,"2,463",27.4,2,,,2,0,0,3,0,0.07,,,0.07,,Matches
Uros Arsenijevic,rs SRB,MF,Radnički Kragujevac,18,2002,2,2,112,1.2,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Lazar Arsić,rs SRB,MF,Radnički Niš,29,1991,24,16,"1,372",15.2,2,,,1,1,1,9,1,0.13,,,0.07,,Matches
Filip Babić,rs SRB,DF,TSC Bačka Top,26,1995,1,1,74,0.8,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Siniša Babić,rs SRB,FW,Radnik Surdulica,30,1991,14,11,893,9.9,2,,,2,0,0,4,0,0.20,,,0.20,,Matches
Srđan Babić,rs SRB,DF,Red Star,25,1996,3,2,174,1.9,0,,,0,0,0,1,0,0.00,,,0.00,,Matches
Đorđe Babić,rs SRB,FW,Mladost Lučani,20,2000,6,1,137,1.5,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Marko Bačanin,rs SRB,FW,Napredak Kruš,23,1998,26,11,"1,146",12.7,1,,,1,0,0,2,0,0.08,,,0.08,,Matches
