Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90,Matches
Jean Barrientos,uy URU,MF,Volos NFC,30,1990,22,20,"1,715",19.1,0,3,3,0,0,0,8,2,0.00,0.16,0.16,0.00,0.16,Matches
Edwin Fabricio Castro Barros,co COL,MF,Apollon Smyrnis,29,1992,29,26,"2,299",25.5,0,0,0,0,0,0,9,1,0.00,0.00,0.00,0.00,0.00,Matches
Julián Bartolo,ar ARG,"MF,FW",Volos NFC,25,1996,30,24,"2,104",23.4,4,4,8,4,0,0,5,0,0.17,0.17,0.34,0.17,0.34,Matches
Vullnet Basha,al ALB,MF,Ionikos,31,1990,4,0,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Dimos Baxevanidis,gr GRE,DF,Apollon Smyrnis,33,1988,20,16,"1,451",16.1,0,1,1,0,0,0,9,1,0.00,0.06,0.06,0.00,0.06,Matches
Danny Bejarano,bo BOL,MF,PAS Lamia,27,1994,25,24,"2,004",22.3,1,0,1,1,0,0,10,0,0.04,0.00,0.04,0.04,0.04,Matches
Christos Belevonis,gr GRE,MF,Panetolikos,19,2002,11,1,240,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Stathis Belevonis,gr GRE,MF,Panetolikos,23,1998,2,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Yohan Benalouane,tn TUN,DF,Aris,34,1987,6,3,262,2.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Asier Benito,es ESP,FW,Asteras Tripoli,26,1995,22,9,788,8.8,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
Facundo Bertoglio,ar ARG,MF,Aris,31,1990,23,14,"1,089",12.1,1,2,3,1,0,0,3,1,0.08,0.17,0.25,0.08,0.25,Matches
Diego Biseswar,sr SUR,MF,PAOK,33,1988,29,20,"1,750",19.4,1,1,2,1,0,0,1,0,0.05,0.05,0.10,0.05,0.10,Matches
Andreas Bouchalakis,gr GRE,MF,Olympiacos,28,1993,28,21,"1,843",20.5,2,0,2,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
Giannis Bouzoukis,gr GRE,MF,OFI Crete,23,1998,11,4,492,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches

Giannis Bouzoukis,gr GRE,MF,Panathinaikos,23,1998,4,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jakub Brabec,cz CZE,DF,Aris,28,1992,35,35,"3,150",35.0,2,0,2,2,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches
Fabricio Brener,ar ARG,MF,PAS Giannina,23,1998,22,9,869,9.7,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
Alberto Brignoli,it ITA,GK,Panathinaikos,29,1991,25,25,"2,250",25.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Alberto Bueno,es ESP,MF,Ionikos,33,1988,3,1,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jerson Cabral,nl NED,"MF,FW",Ionikos,30,1991,23,13,"1,041",11.6,1,2,3,1,0,0,4,0,0.09,0.17,0.26,0.09,0.26,Matches
Aguibou Camara,gn GUI,MF,Olympiacos,20,2001,26,24,"2,049",22.8,5,4,9,5,0,0,5,0,0.22,0.18,0.40,0.22,0.40,Matches
Mohamed Camara,gn GUI,MF,Olympiacos,24,1997,28,19,"1,758",19.5,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches
José Cañas,es ESP,MF,Ionikos,34,1987,27,20,"1,905",21.2,2,0,2,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches
Aitor Cantalapiedra,es ESP,"FW,MF",Panathinaikos,25,1996,30,26,"2,047",22.7,7,5,12,5,2,3,4,0,0.31,0.22,0.53,0.22,0.44,Matches
Eneko Capilla,es ESP,MF,Asteras Tripoli,26,1995,16,7,625,6.9,1,1,2,1,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches
Carlitos,es ESP,"FW,MF",Panathinaikos,31,1990,30,18,"1,591",17.7,10,4,14,10,0,1,3,0,0.57,0.23,0.79,0.57,0.79,Matches
David Carmona,es ESP,DF,Asteras Tripoli,24,1997,30,26,"2,290",25.4,1,2,3,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,Matches
João Carvalho,pt POR,MF,Olympiacos,24,1997,13,10,776,8.6,2,2,4,2,0,0,1,0,0.23,0.23,0.46,0.23,0.46,Matches
Luc Castaignos,nl NED,FW,OFI Crete,28,1992,12,6,535,5.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
José Castaño,es ESP,DF,Asteras Tripoli,22,1998,21,20,"1,751",19.5,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
Dani Castellano,es ESP,"DF,MF",Atromitos,33,1987,31,29,"2,547",28.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
Charis Charisis,gr GRE,MF,Atromitos,26,1995,23,22,"1,854",20.6,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Vasilis Chatziemmanouil,gr GRE,GK,AEK Athens,21,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Anastasios Chatzigiovannis,gr GRE,"MF,FW",Panathinaikos,24,1997,28,8,915,10.2,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
