Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90,Matches
Kristian Arnstad,no NOR,MF,Anderlecht,18,2003,27,12,"1,263",14.0,1,2,3,1,0,0,5,1,0.8,0.8,1.2,2.1,36,53,59,0.07,0.14,0.21,0.07,0.21,0.06,0.09,0.15,0.06,0.15,Matches
Tolu Arokodare,ng NGA,"FW,MF",Genk,21,2000,5,2,139,1.5,1,1,2,1,0,0,1,0,0.5,0.5,0.0,0.5,3,0,8,0.65,0.65,1.29,0.65,1.29,0.30,0.00,0.30,0.30,0.30,Matches
Gerardo Arteaga,mx MEX,DF,Genk,23,1998,32,32,"2,804",31.2,2,2,4,2,0,0,8,1,1.7,1.7,2.0,3.6,64,172,148,0.06,0.06,0.13,0.06,0.13,0.05,0.06,0.12,0.05,0.12,Matches
Majeed Ashimeru,gh GHA,MF,Anderlecht,24,1997,28,21,"1,841",20.5,2,3,5,2,0,0,4,0,1.0,1.0,1.4,2.4,49,110,48,0.10,0.15,0.24,0.10,0.24,0.05,0.07,0.13,0.05,0.13,Matches
David Atanga,gh GHA,"FW,MF",Oostende,25,1996,28,13,"1,252",13.9,5,1,6,5,0,0,2,1,5.0,5.0,1.7,6.8,28,44,132,0.36,0.07,0.43,0.36,0.43,0.36,0.12,0.48,0.36,0.48,Matches

Christalino Atemona,de GER,"DF,MF",Kortrijk,20,2002,10,6,539,6.0,0,1,1,0,0,0,0,0,0.1,0.1,1.2,1.3,14,12,9,0.00,0.17,0.17,0.00,0.17,0.02,0.20,0.22,0.02,0.22,Matches
Lynnt Audoor,be BEL,"MF,DF",Club Brugge,18,2003,6,0,83,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Felipe Avenatti,uy URU,FW,Kortrijk,29,1993,28,21,"1,941",21.6,7,1,8,7,0,0,6,0,4.5,4.5,2.1,6.6,17,71,101,0.32,0.05,0.37,0.32,0.37,0.21,0.10,0.30,0.21,0.30,Matches
Gastón Ávila,ar ARG,DF,Antwerp,20,2001,16,10,983,10.9,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.1,13,72,22,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Matches
